DateTime,AddedIPs,RemovedIPs
1537182326,0,2
1537185915,3,0
1537189537,2,0
1537193142,1,2
1537196730,1,0
1537200328,2,1
1537203931,1,2
1537207537,1,2
1537211130,0,2
1537214734,1,0
1537218322,1,2
1537221931,1,0
1537225520,0,1
1537229159,2,1
1537232783,1,1
1537236345,2,1
1537239943,0,1
1537243557,1,1
1537247137,4,2
1537250748,2,2
1537254329,2,3
1537257961,2,1
1537261527,1,4
1537265151,3,2
1537268743,1,1
1537272344,1,2
1537275947,0,1
1537279550,2,1
1537283137,1,1
1537286752,1,0
1537290347,2,2
1537293936,3,1
1537297532,1,1
1537301142,1,1
1537304732,1,3
1537308355,1,1
1537311937,1,1
1537315556,1,1
1537319145,0,2
1537322745,2,0
1537326356,3,2
1537329964,1,1
1537333546,2,1
1537337152,1,5
1537340734,3,3
1537344345,1,0
1537347934,2,1
1537351538,0,3
1537355145,1,2
1537358748,2,1
1537362337,2,3
1537365979,2,2
1537369539,3,1
1537373157,1,1
1537376738,1,0
1537380344,1,0
1537383938,1,1
1537387549,1,6
1537394735,0,1
1537398334,2,0
1537401964,1,2
1537405527,3,0
1537409132,1,0
1537412759,2,2
1537416349,3,0
1537419946,2,1
1537423543,3,1
1537427134,2,2
1537430743,2,5
1537434325,3,2
1537437922,2,2
1537441550,1,3
1537445143,2,1
1537448750,2,0
1537452337,3,3
1537455942,2,1
1537459537,2,1
1537466728,1,4
1537470338,1,2
1537473947,0,1
1537477555,0,1
1537481147,2,2
1537484753,3,4
1537488366,5,2
1537491946,1,0
1537495532,3,2
1537499163,0,1
1537502741,1,3
1537506333,5,1
1537509940,2,2
1537517156,0,2
1537520750,1,4
1537524331,2,1
1537527941,1,1
1537531563,2,1
1537535137,1,0
1537542344,2,1
1537545937,2,2
1537549545,0,1
1537553153,0,2
1537556739,0,1
1537560341,1,0
1537567561,1,2
1537571143,3,0
1537574762,0,1
1537578343,2,1
1537581958,1,0
1537585554,1,0
1537589122,0,5
1537592731,4,2
1537596332,3,2
1537599939,2,1
1537603543,2,1
1537607143,1,1
1537610755,1,0
1537614328,1,3
1537617943,1,2
1537621527,1,1
1537628739,1,1
1537632344,1,1
1537635945,2,1
1537639548,0,1
1537643158,0,2
1537646746,2,2
1537653952,0,1
1537657548,0,2
1537661186,5,0
1537664733,1,2
1537668327,3,0
1537671934,1,0
1537675531,0,1
1537679134,3,2
1537682724,1,0
1537686329,1,2
1537689941,1,1
1537693539,2,4
1537697138,1,0
1537700732,0,3
1537704346,0,1
1537707937,3,1
1537711537,1,0
1537718735,3,1
1537722332,1,3
1537725932,1,3
1537729527,2,0
1537733111,1,0
1537736720,1,1
1537740345,2,1
1537743938,1,2
1537748019,0,1
1537751116,3,1
1537754752,0,3
1537758324,1,1
1537761924,2,0
1537765535,2,1
1537772709,1,1
1537776348,2,1
1537779935,0,2
1537783537,2,1
1537787118,2,3
1537790734,3,1
1537794333,3,1
1537797914,2,1
1537801545,1,2
1537805135,2,2
1537808735,3,4
1537812325,1,1
1537815944,0,1
1537819518,1,2
1537823146,0,1
1537826723,1,1
1537833941,2,1
1537837550,1,1
1537841129,0,3
1537844727,2,1
1537848328,1,1
1537851933,1,0
1537855535,3,1
1537859137,3,2
1537862727,0,3
1537866337,1,0
1537869920,1,4
1537873539,2,1
1537877137,0,1
1537880748,1,2
1537884349,0,1
1537887955,1,1
1537891544,3,1
1537895147,3,1
1537898741,2,2
1537902330,1,2
1537905946,0,1
1537913133,2,2
1537916776,1,2
1537920361,0,1
1537923932,1,0
1537927538,1,2
1537931147,3,1
1537934734,1,0
1537941957,2,1
1537945523,2,1
1537949142,2,1
1537952739,2,2
1537956342,0,3
1537959956,3,1
1537963543,0,2
1537967141,2,3
1537970747,1,2
1537977946,2,1
1537981533,1,2
1537985136,1,0
1537988751,1,0
1537992347,0,2
1537995940,2,2
1537999525,1,1
1538003153,3,2
1538006756,2,0
1538010346,0,2
1538013943,2,0
1538017543,3,1
1538021145,1,1
1538024732,2,1
1538028354,2,2
1538031949,1,4
1538035533,1,1
1538039157,0,1
1538042743,2,4
1538046341,2,1
1538049955,1,2
1538053543,1,0
1538057141,1,0
1538060725,0,2
1538064334,4,2
1538067945,2,1
1538071550,1,1
1538075137,0,2
1538078733,0,1
1538085932,1,0
1538089541,0,2
1538093177,2,1
1538096777,1,0
1538100350,3,2
1538103967,2,0
1538107544,2,1
1538111134,1,0
1538114741,1,4
1538118355,0,1
1538121963,1,1
1538125545,2,0
1538129158,1,2
1538132754,2,2
1538136347,2,1
1538139942,2,2
1538143547,3,1
1538147135,1,2
1538150764,1,2
1538154324,2,2
1538157946,1,1
1538161541,1,1
1538165146,0,1
1538168757,0,2
1538172339,0,1
1538175948,2,2
1538179573,3,2
1538183143,1,0
1538190347,2,1
1538193954,1,2
1538197546,2,1
1538201137,1,1
1538204763,1,4
1538208334,1,0
1538215545,1,1
1538219151,1,2
1538222746,2,2
1538226324,2,1
1538233557,2,2
1538237150,0,1
1538240759,1,2
1538244362,4,1
1538247940,0,3
1538251545,1,0
1538255136,4,0
1538258759,0,2
1538262325,2,1
1538265953,1,3
1538269540,1,1
1538276735,1,1
1538280345,2,4
1538283907,4,0
1538287556,1,0
1538291131,0,1
1538294755,1,0
1538298336,1,1
1538301960,0,1
1538305540,1,2
1538309134,1,2
1538312762,1,0
1538316334,1,1
1538319944,1,3
1538323540,2,1
1538327151,1,0
1538334334,2,0
1538337961,1,3
1538341543,2,1
1538345134,0,1
1538348751,1,2
1538352355,2,2
1538355977,1,1
1538359576,1,0
1538363178,1,1
1538366772,0,2
1538370373,3,1
1538373971,2,0
1538377586,1,2
1538381183,1,0
1538384774,1,0
1538388386,1,2
1538391950,1,1
1538395552,1,1
1538399139,0,2
1538402746,3,2
1538406333,1,0
1538409946,0,3
1538413537,2,2
1538417150,1,1
1538420753,0,1
1538424363,1,1
1538427958,1,0
1538431564,0,1
1538435156,1,1
1538438752,1,3
1538442353,0,1
1538445935,4,0
1538449535,2,1
1538453143,2,0
1538460341,2,1
1538463941,3,3
1538467539,2,1
1538471137,2,2
1538474751,2,3
1538478343,1,1
1538481958,1,1
1538485532,2,3
1538489143,2,2
1538492761,1,1
1538496349,1,2
1538499939,1,1
1538503543,1,3
1538507166,2,1
1538510748,1,0
1538514346,1,1
1538517963,2,2
1538521556,1,1
1538528730,3,2
1538532335,2,1
1538535928,1,1
1538539529,2,2
1538543122,2,1
1538546733,0,2
1538550327,2,2
1538553921,3,1
1538557546,2,1
1538561141,1,1
1538564737,0,2
1538568325,1,3
1538571944,2,1
1538575531,1,0
1538579127,1,1
1538582748,1,3
1538589921,0,1
1538593533,2,4
1538597128,0,2
1538600720,4,0
1538607953,1,1
1538611552,2,0
1538615139,1,1
1538618756,1,1
1538622334,0,1
1538625942,2,1
1538629531,1,1
1538633156,0,2
1538636734,1,1
1538640336,4,0
1538643919,1,1
1538647545,1,0
1538651150,2,2
1538654740,1,2
1538658332,1,3
1538661935,2,1
1538665557,2,3
1538669125,1,0
1538676343,2,1
1538679942,1,3
1538683531,1,2
1538690747,1,1
1538694341,0,1
1538697953,1,0
1538701535,1,1
1538705124,2,0
1538708738,2,0
1538712345,2,2
1538715952,0,1
1538719543,0,3
1538723138,3,2
1538726752,1,3
1538730348,2,1
1538733921,1,1
1538737550,2,4
1538741135,3,0
1538744728,2,0
1538748356,0,2
1538751939,2,1
1538755548,1,1
1538759131,1,2
1538762751,1,3
1538766336,1,2
1538773545,2,1
1538777154,1,1
1538780733,1,1
1538784358,2,0
1538787933,1,3
1538791537,1,1
1538795136,3,1
1538798740,1,0
1538802332,1,1
1538805929,0,2
1538809546,2,1
1538813134,1,3
1538816727,1,0
1538820353,1,1
1538823939,1,2
1538827538,3,2
1538831142,3,1
1538834749,1,0
1538838348,0,3
1538841932,3,1
1538845523,4,0
1538849149,1,4
1538852722,1,0
1538856327,1,0
1538859955,1,2
1538863534,1,2
1538867141,1,2
1538870794,1,2
1538874335,2,1
1538877943,0,1
1538881541,0,1
1538885149,1,2
1538888759,2,0
1538892339,1,1
1538899541,1,0
1538903145,1,0
1538906737,0,2
1538910328,2,1
1538913958,2,1
1538917546,2,2
1538921140,1,1
1538924737,1,1
1538928335,2,1
1538931945,1,2
1538935536,0,1
1538939138,1,1
1538946332,0,1
1538949928,1,2
1538953530,1,3
1538957153,3,3
1538960745,4,0
1538964351,2,0
1538967945,4,1
1538971533,1,3
1538975147,1,3
1538978752,3,2
1538982358,1,3
1538985934,3,1
1538989539,2,2
1538993142,2,2
1538996728,4,1
1539000334,1,4
1539003943,2,3
1539007570,0,1
1539011147,1,1
1539014725,2,2
1539018337,1,1
1539021955,0,1
1539025537,1,2
1539029137,1,1
1539032760,1,1
1539036339,2,0
1539039933,2,1
1539043559,0,1
1539047143,0,1
1539050740,1,1
1539054333,1,0
1539057928,2,1
1539061541,2,1
1539065139,1,0
1539068746,1,3
1539072334,3,2
1539075948,4,1
1539079540,1,3
