DateTime,AddedIPs,RemovedIPs
1537279921,5,8
1537283543,10,4
1537287174,4,4
1537290776,3,6
1537294335,6,3
1537297932,3,3
1537301548,3,1
1537305107,7,6
1537308758,5,5
1537312309,4,4
1537315960,2,4
1537319567,15,7
1537323123,7,3
1537326737,7,3
1537330334,3,22
1537333959,5,8
1537337546,3,12
1537341118,8,7
1537344761,3,2
1537348356,6,4
1537351923,3,7
1537355520,7,4
1537359138,4,3
1537362748,6,5
1537366365,5,6
1537369923,4,8
1537373544,9,2
1537377144,2,5
1537380781,4,4
1537384341,3,6
1537387943,4,6
1537391570,3,2
1537395132,3,3
1537398733,3,3
1537402364,12,8
1537405893,14,3
1537409512,9,2
1537413171,8,10
1537416706,4,8
1537420333,7,9
1537423955,6,11
1537427528,7,3
1537431153,2,8
1537434731,4,5
1537438334,6,4
1537441959,3,6
1537445564,4,4
1537449141,4,2
1537452772,5,5
1537456349,5,4
1537459933,4,4
1537463528,2,2
1537467107,4,6
1537470757,4,5
1537474365,4,2
1537477954,3,2
1537481583,5,4
1537485130,3,6
1537488767,32,7
1537492389,12,4
1537495945,5,5
1537499563,4,21
1537503124,5,9
1537506753,7,5
1537510341,7,4
1537513943,3,6
1537517553,3,4
1537521160,4,8
1537524731,7,8
1537528340,3,4
1537531956,3,4
1537535545,4,3
1537539171,2,5
1537542744,7,2
1537546346,9,5
1537549940,4,2
1537553531,2,6
1537557086,2,4
1537560723,5,4
1537564367,2,3
1537567940,4,6
1537571532,7,5
1537575191,9,5
1537578805,27,3
1537582383,4,3
1537585943,2,16
1537589519,4,24
1537593105,6,9
1537596698,10,3
1537600358,5,3
1537603917,5,3
1537607506,6,5
1537611150,3,3
1537614714,4,3
1537618301,3,8
1537621887,0,3
1537625565,5,6
1537629143,2,4
1537632750,4,2
1537636323,10,3
1537639902,1,7
1537643550,1,4
1537647119,5,8
1537650736,8,1
1537654333,6,4
1537657948,2,4
1537661915,22,6
1537665139,4,5
1537668738,7,6
1537672373,4,17
1537675955,0,5
1537679551,4,2
1537683151,2,0
1537686720,4,2
1537690333,3,4
1537693941,3,4
1537697545,2,1
1537701118,3,8
1537704756,1,0
1537708330,4,3
1537711946,2,1
1537715575,3,3
1537719127,4,1
1537722767,5,5
1537726310,4,10
1537729936,1,2
