DateTime,Entries,UniqueIPs
1537222031,135,135
1537225616,136,136
1537229255,135,135
1537232878,134,134
1537236443,135,135
1537240034,135,135
1537243650,136,136
1537247223,135,135
1537250839,136,136
1537254422,134,134
1537258063,137,137
1537261621,137,137
1537265248,137,137
1537268840,136,136
1537272437,136,136
1537276045,135,135
1537279648,135,135
1537283225,137,137
1537286852,137,137
1537290445,136,136
1537294022,137,137
1537297624,136,136
1537301241,136,136
1537304828,136,136
1537308453,136,136
1537312030,135,135
1537315651,135,135
1537319242,133,133
1537322829,135,135
1537326451,138,138
1537330059,137,137
1537333642,136,136
1537337250,136,136
1537340830,134,134
1537344442,132,132
1537348029,133,133
1537351631,134,134
1537355239,135,135
1537358842,135,135
1537362434,137,137
1537366072,135,135
1537373253,136,136
1537376832,133,133
1537380436,135,135
1537384026,134,134
1537387639,134,134
1537391252,136,136
1537394831,137,137
1537398423,134,134
1537402060,134,134
1537405623,135,135
1537409231,136,136
1537412853,135,135
1537416446,135,135
1537420040,134,134
1537423641,135,135
1537427227,136,136
1537430841,137,137
1537434416,137,137
1537438021,138,138
1537441647,137,137
1537445237,136,136
1537448846,136,136
1537452434,135,135
1537456033,134,134
1537459630,134,134
1537463229,134,134
1537466826,135,135
1537470431,136,136
1537474044,138,138
1537477653,136,136
1537481241,136,136
1537484847,136,136
1537488474,135,135
1537492107,137,137
1537495629,137,137
1537499263,138,138
1537502842,135,135
1537506434,135,135
1537510033,135,135
1537513652,133,133
1537517257,133,133
1537520848,135,135
1537524422,136,136
1537528041,136,136
1537531662,136,136
1537535241,136,136
1537538857,135,135
1537542442,136,136
1537546029,136,136
1537553254,135,135
1537556829,136,136
1537560444,136,136
1537564060,134,134
1537567667,134,134
1537571246,133,133
1537574860,134,134
1537578498,134,134
1537582056,134,134
1537585648,133,133
1537589211,133,133
1537592827,134,134
1537596430,134,134
1537600034,134,134
1537603643,137,137
1537607235,138,138
1537610854,137,137
1537614422,138,138
1537618040,136,136
1537621624,136,136
1537625259,136,136
1537628836,136,136
1537632436,136,136
1537636042,137,137
1537639641,135,135
1537643254,134,134
1537646839,132,132
1537650452,134,134
1537654045,136,136
1537657645,135,135
1537661584,135,135
1537664823,135,135
