DateTime,AddedIPs,RemovedIPs
1535702957,2,3
1535706531,1,1
1535710126,1,2
1535713735,1,1
1535717354,1,1
1535720926,2,1
1535724525,2,1
1535728131,2,2
1535731727,2,3
1535735326,1,1
1535738955,2,1
1535742535,1,2
1535746142,2,2
1535749734,1,1
1535753304,2,2
1535756927,3,2
1535760542,2,2
1535764137,28,2
1535767857,2,1
1535771526,2,3
1535774962,1,17
1535778568,2,2
1535782194,2,2
1535785755,2,1
1535789343,2,3
1535792998,1,2
1535796527,1,1
1535800152,2,1
1535803735,1,2
1535807386,1,1
1535810933,1,2
1535814536,2,1
1535818130,2,1
1535821747,2,2
1535825326,1,2
1535828944,1,2
1535832512,2,2
1535836167,2,1
1535839723,2,1
1535843347,1,1
1535846950,3,2
1535850539,15,2
1535854142,3,2
1535857739,1,2
1535861342,2,19
1535864929,1,3
1535868556,1,1
1535872145,2,1
1535875729,2,2
1535879360,2,2
1535882937,2,2
1535886530,2,2
1535890135,1,2
1535893770,1,2
1535897338,2,3
1535900942,1,1
1535904524,2,1
1535908138,1,2
1535911735,1,1
1535915356,1,1
1535918925,1,1
1535922553,2,1
1535926130,2,2
1535929728,1,1
1535933371,18,1
1535936894,0,1
1535940523,0,2
1535944120,0,14
1535958522,1,0
1535962108,0,1
1536001719,0,1
1536023327,19,0
1536026925,1,0
1536030531,0,1
1536034110,1,25
1536041314,1,1
1536044894,1,0
1536048510,0,1
1536052100,0,1
1536055710,1,1
1536062914,0,1
1536066528,1,0
1536080921,0,1
1536084515,1,0
1536091719,1,1
1536095342,0,1
1536098922,1,0
1536102523,1,0
1536106154,24,1
1536109726,0,1
1536113372,2,0
1536116921,1,13
1536120538,0,2
1536124151,0,1
1536127703,0,1
1536134923,1,1
1536138530,1,0
1536142140,1,1
1536145736,1,1
1536149322,1,1
1536152923,0,1
1536156523,1,1
1536160126,0,1
1536167351,0,1
1536170934,1,0
1536174528,1,0
1536178115,1,0
1536181722,0,1
1536185315,1,0
1536188921,0,1
1536196112,19,1
1536199719,1,0
1536203308,1,1
1536206920,0,20
1536210511,0,1
1536214114,1,0
1536221314,1,1
1536228534,1,1
1536232106,1,0
1536235735,0,1
1536239312,0,1
1536242936,1,0
1536246522,1,1
1536250112,1,0
1536253724,0,1
1536260923,1,0
1536271722,0,1
1536278951,1,1
1536282520,12,0
1536286101,0,1
1536289741,0,1
1536293323,0,18
1536332922,2,0
1536343716,0,1
1536368934,10,0
1536379723,0,23
1536451926,16,0
1536462491,0,16
1536538162,15,0
1536548934,0,12
1536628147,16,0
1536638914,0,8
1536710959,16,0
1536718121,1,0
1536721709,1,18
1536725317,1,2
1536728900,0,1
1536736114,1,1
1536743302,1,0
1536746937,0,1
1536754125,0,1
1536757725,1,0
1536761324,1,1
1536768521,0,1
1536772118,1,0
1536775710,0,1
1536779331,1,0
1536786510,0,1
1536797437,33,0
1536804506,1,1
1536808111,0,16
1536811740,1,2
1536815335,1,1
1536818925,1,0
1536822521,1,1
1536829706,0,2
1536833329,1,1
1536836932,0,1
1536840527,1,0
1536844136,1,0
1536847728,0,1
1536851328,1,1
1536854922,0,1
1536858516,1,0
1536862104,1,1
1536869288,0,1
1536872938,0,1
1536876527,1,0
1536880135,1,0
1536883741,2,0
1536887296,10,1
1536890919,1,0
1536894519,1,1
1536898113,1,19
1536901728,1,1
1536905302,1,1
1536908916,1,1
1536912516,1,1
1536916130,1,1
1536919709,1,1
1536923333,0,1
1536926930,1,1
1536930509,1,1
1536937719,0,1
1536944937,0,1
1536948523,1,0
1536952123,1,0
1536955717,1,0
1536959338,0,1
1536962889,1,1
1536973717,10,0
1536980911,0,1
1536984533,0,13
1537031335,1,0
1537060125,29,0
1537063712,1,0
1537067321,1,0
1537070917,0,31
1537074513,1,1
1537078127,1,0
1537081719,0,1
1537085307,1,1
1537092511,1,0
1537096112,0,2
1537099698,0,1
1537103321,1,1
1537106919,1,0
1537110500,2,1
1537117707,1,0
1537121290,1,1
1537128520,1,1
1537132128,0,2
1537135720,1,0
1537139308,1,1
1537142973,7,1
