DateTime,Entries,UniqueIPs
1538104817,19593,19593
1538106750,20977,20977
1538108661,21923,21923
1538110591,22698,22698
1538112502,24040,24040
1538114453,25391,25391
1538116490,25185,25185
1538118510,24181,24181
1538120665,24180,24180
1538122608,24235,24235
1538124505,24029,24029
1538126441,23946,23946
1538128346,23895,23895
1538130261,22951,22951
1538132196,22706,22706
1538134098,22778,22778
1538136093,22618,22618
1538137963,22362,22362
1538139879,22116,22116
1538141791,22192,22192
1538143708,22192,22192
1538145618,22120,22120
1538147549,22079,22079
1538149465,22594,22594
1538151394,23415,23415
1538153300,23561,23561
1538155225,23574,23574
1538157139,23603,23603
1538159062,23766,23766
1538160987,24325,24325
1538162898,24570,24570
1538164863,24731,24731
1538166756,25403,25403
1538168672,26940,26940
1538170596,28055,28055
1538172515,28042,28042
1538174442,29164,29164
1538176747,31217,31217
1538178753,32606,32606
1538180663,33358,33358
1538182592,34664,34664
1538184489,35148,35148
1538186448,36073,36073
1538188353,36298,36298
1538190263,36147,36147
1538192193,36795,36795
1538194131,36882,36882
1538196024,36498,36498
1538197961,35824,35824
1538199861,35000,35000
1538201797,34201,34201
1538203698,34577,34577
1538205617,34647,34647
1538207540,36695,36695
1538209464,36817,36817
1538211387,37202,37202
1538213292,37319,37319
1538215285,37419,37419
1538217154,38902,38902
1538219322,40450,40450
1538221233,40073,40073
1538223139,40336,40336
1538225070,40566,40566
1538226989,40556,40556
1538228905,40707,40707
1538230828,41087,41087
1538232756,41216,41216
1538234663,41165,41165
1538236573,41145,41145
1538238489,40944,40944
1538241393,40913,40913
1538243311,40903,40903
1538245229,41222,41222
1538247151,40951,40951
1538249064,40858,40858
1538250991,40819,40819
1538252888,40530,40530
1538254834,39570,39570
1538256754,38835,38835
1538258663,39061,39061
1538260590,38546,38546
1538262514,37599,37599
1538264429,36152,36152
1538266356,35481,35481
1538268252,34805,34805
1538270186,35392,35392
1538272093,35422,35422
1538274032,35354,35354
1538275939,34980,34980
1538277867,32922,32922
1538279768,31415,31415
1538281789,31266,31266
1538283626,31398,31398
1538285540,31161,31161
1538287475,31303,31303
