DateTime,AddedIPs,RemovedIPs
1537827397,2,1
1537829298,3,2
1537831220,0,2
1537833166,1,1
1537835076,5,2
1537836995,1,2
1537842772,2,0
1537844683,0,2
1537846573,3,4
1537848522,2,0
1537850437,1,1
1537852341,0,1
1537854257,2,2
1537856212,2,2
1537858097,0,2
1537860039,1,3
1537861980,1,2
1537863875,0,3
1537865776,0,3
1537867711,170,0
1537871806,1,0
1537873715,1,0
1537877575,3,0
1537879460,1,0
1537881400,3,1
1537885242,1,0
1537887139,0,1
1537889292,3,0
1537893400,1,0
1537895320,1,1
1537897234,1,0
1537899159,1,0
1537901061,1,0
1537903001,1,0
1537904924,1,0
1537906836,3,0
1537908762,1,0
1537910674,2,0
1537912593,4,0
1537914516,0,1
1537916480,1,0
1537918363,1,0
1537922200,2,0
1537924120,1,0
1537927956,1,1
1537933705,1,2
1537939472,2,0
1537943314,1,0
1537945262,1,0
1537949093,3,0
1537952927,3,0
1537954813,3,0
1537958905,2,0
1537964905,1,0
1537966822,2,0
1537968758,2,0
1537970696,1,0
1537972571,1,0
1537974524,1,0
1537978394,2,0
1537980275,3,0
1537982204,2,0
1537984097,4,0
1537986023,2,0
1537987962,6,0
1537989872,5,0
1537991802,3,0
1537993715,3,0
1537995790,2,0
1537998026,1,0
1537999946,1,0
1538001864,1,0
1538003790,5,0
1538005704,5,0
1538007621,3,0
1538009542,3,0
1538011458,3,0
1538013412,1,0
1538015309,3,0
1538018200,4,0
1538020346,2,1
1538024166,1,0
1538028274,4,0
1538032113,3,0
1538034283,2,0
1538036196,4,0
1538038354,4,0
1538040262,1,0
1538042482,3,1
1538044455,1,0
1538046284,2,0
1538050127,1,0
1538052022,1,0
1538053949,2,0
1538057789,1,0
1538059709,1,0
1538061793,2,0
1538063771,2,0
1538065943,1,287
1538067868,1,3
1538069797,1,0
1538071708,3,5
1538073625,281,0
1538075558,0,4
1538079394,0,1
1538081317,0,2
1538085143,1,1
1538087077,1,0
1538088985,0,1
1538090907,3,2
1538092890,1,0
1538094923,2,1
1538096889,2,0
1538099088,3,0
1538101009,3,0
1538102915,2,0
1538104818,2,0
1538106752,1,0
1538108671,5,0
1538112503,6,0
1538114480,0,1
1538116494,3,0
1538118511,2,0
1538120667,2,0
1538124506,3,0
1538128347,1,0
1538130262,6,1
1538132199,5,0
1538134106,3,0
1538136113,4,0
1538137964,1,0
1538139900,1,0
1538141792,3,0
1538143710,1,0
1538145620,3,0
1538147551,2,0
1538149466,1,0
1538157145,1,0
1538160989,1,29
1538162900,1,0
1538164892,0,1
1538166758,3,0
1538168674,3,0
1538170597,4,6
1538172517,1,0
1538174444,1,0
1538176749,5,0
1538180665,1,0
1538182596,2,0
1538184490,1,0
1538186488,1,1
1538188354,2,1
1538192194,0,1
1538199862,3,1
1538203700,1,1
1538205618,2,0
1538211389,3,0
1538213294,1,1
1538215299,2,3
1538219323,1,4
1538223140,2,0
1538225071,1,0
1538226990,1,1
1538228906,1,0
1538230829,1,0
1538232757,4,0
1538236574,1,53
1538238490,3,11
1538241395,2,1
1538243319,5,0
1538245230,1,0
1538247153,1,1
1538249066,2,0
1538252889,3,3
1538254860,1,1
1538256756,2,2
1538258664,2,0
1538262515,0,2
1538264430,0,328
1538266357,1,0
1538268253,2,0
1538270188,0,2
1538272094,0,2
1538274034,1,0
1538275940,3,2
1538277868,3,0
1538279769,4,0
1538281790,2,0
1538285541,2,2
1538287476,2,0
1538289369,1,0
1538291329,1,1
1538293245,0,1
1538297073,6,1
1538298986,1,0
1538300915,1,2
1538302818,4,3
1538306657,0,1
1538308895,0,1
1538310747,2,2
1538312705,1,1
1538314577,1,1
1538316502,258,0
1538318426,1,2
1538320345,0,2
1538322264,0,3
1538324191,0,3
1538326105,1,2
1538328022,0,1
1538329938,0,3
1538331866,1,3
1538333791,0,1
1538335698,0,2
1538338604,0,3
1538342419,0,2
1538344338,0,2
1538346260,3,1
1538350100,1,0
1538352087,0,2
1538353943,2,1
1538355885,2,1
1538357776,1,0
1538359701,3,0
1538361687,2,4
1538363550,1,2
1538365478,2,5
1538369549,1,2
1538371942,5,2
1538373879,3,2
1538375790,2,1
1538377721,4,1
1538379611,1,0
1538381556,1,0
1538383454,1,5
1538387292,1,1
1538389231,1,6
1538395301,3,0
1538397144,0,2
1538399111,1,1
1538401005,0,1
1538402901,2,181
1538404835,2,1
1538406766,1,0
1538408667,1,0
1538410595,1,0
1538412505,0,1
1538416345,1,0
1538418261,1,2
1538422106,1,0
1538424108,4,0
1538425948,2,0
1538430026,1,28
1538431947,1,0
1538435804,3,0
1538437702,1,0
1538439618,2,0
1538441549,2,0
1538443471,1,1
1538445385,1,0
1538447772,2,0
1538449730,3,0
1538451637,2,0
1538453557,3,0
1538455700,3,0
1538457637,1,0
1538459537,2,0
1538461474,2,1
1538463373,1,0
1538465291,3,0
1538467289,3,0
1538469401,3,0
1538471330,1,0
1538473217,1,31
1538475157,0,2
1538477082,1,0
1538478978,4,0
1538483080,6,5
1538484991,1,0
1538486890,0,2
1538488881,3,2
1538490745,1,1
1538492677,2,5
1538494596,3,0
1538498434,1,0
1538500359,1,0
1538502275,1,1
1538504187,1,4
1538506104,0,29
1538508024,2,0
1538509943,1,0
1538511850,2,0
1538514993,4,0
1538516910,3,0
1538520740,2,0
1538526495,1,0
1538536334,1,0
1538538252,3,0
1538540201,1,0
1538542254,1,0
1538548121,2,0
1538550067,1,0
1538551996,2,3
1538553873,2,2
1538557732,1,0
1538559640,1,0
1538563461,1,0
1538567325,1,0
1538569464,1,1
1538573316,2,0
1538575249,7,0
1538579069,1,0
1538581001,1,0
1538582962,1,0
1538584833,4,0
1538586748,1,1
1538588674,1,14
1538590600,0,68
1538592496,1,0
1538594663,0,3
1538598502,0,3
1538600466,2,3
1538602348,2,0
1538604265,2,3
1538606202,0,1
1538608122,1,0
1538610024,1,0
1538611944,0,2
1538623698,1,3
1538625666,0,2
1538627546,1,0
1538629617,1,1
1538631622,2,0
1538633817,0,2
1538635701,0,1
1538637621,1,1
1538639547,0,1
1538641466,1,2
1538645300,2,2
1538651076,0,1
1538655027,0,2
1538658990,0,1
1538660900,0,6
1538662819,0,2
1538664740,0,1
1538668589,1,2
1538670500,3,3
1538673387,1,2
1538675300,0,1
1538677220,1,0
1538679147,1,1
1538683006,1,0
1538686862,1,2
1538688749,0,2
1538690676,1,2
1538692586,1,0
1538694522,1,1
1538696416,1,1
1538702430,2,0
1538704357,1,0
1538706281,1,0
1538710113,1,1
1538712114,2,0
1538713954,0,1
1538715881,1,1
1538717805,0,2
1538721636,1,0
1538723818,1,1
1538727637,0,1
1538729544,2,0
1538731473,1,2
1538737264,1,0
1538739167,1,0
1538743002,1,0
1538749016,1,0
1538752845,2,0
1538754747,1,1
1538756676,2,2
1538758879,0,2
1538763151,1,1
1538765091,0,1
1538768911,0,1
1538772767,1,1
1538778496,2,2
1538780446,2,1
1538782348,0,1
1538788128,0,1
1538790041,2,2
1538791964,1,0
1538793861,2,1
1538795793,2,0
1538797713,1,2
1538799645,1,1
1538801568,2,0
1538803482,0,1
1538807324,0,1
1538809248,1,0
1538811165,0,1
1538815010,0,1
1538816928,1,1
1538818841,0,1
1538822657,1,0
1538824605,1,1
1538826525,1,1
1538828450,0,1
1538830385,1,0
1538832279,3,0
1538834465,0,1
1538840202,0,2
1538842158,2,3
1538845962,1,0
1538847876,1,0
1538849789,1,1
