DateTime,AddedIPs,RemovedIPs
1538030672,0,1
1538032621,1,2
1538034768,1,0
1538036671,0,1
1538038583,1,0
1538040503,1,0
1538042487,1,1
1538044456,3,0
1538048184,1,0
1538050127,1,2
1538052023,1,0
1538053949,0,1
1538055871,1,0
1538057790,3,1
1538061793,1,4
1538063771,1,0
1538065943,3,4
1538067868,2,1
1538069798,0,1
1538071708,1,0
1538073625,1,1
1538075558,2,1
1538077482,2,2
1538079394,1,4
1538081317,0,1
1538083227,3,1
1538085144,1,4
1538087077,1,0
1538088985,1,3
1538090907,0,2
1538092893,1,3
1538094923,0,1
1538096889,1,2
1538099088,1,1
1538101009,1,1
1538102915,2,3
1538106752,3,2
1538108671,0,2
1538110592,0,5
1538112504,1,0
1538114482,1,2
1538116494,1,1
1538118512,1,1
1538120667,1,1
1538122609,1,0
1538124506,4,1
1538126443,3,0
1538128348,2,2
1538130263,4,2
1538132199,3,1
1538134106,1,1
1538136113,1,1
1538137964,1,0
1538139906,1,2
1538141793,2,1
1538143710,1,3
1538145621,3,0
1538147551,0,1
1538149467,3,1
1538151403,1,1
1538153302,2,1
1538155235,3,0
1538157145,2,0
1538159064,1,1
1538160990,4,3
1538162909,3,1
1538164893,6,0
1538166758,5,1
1538168674,2,2
1538170597,1,3
1538172517,1,0
1538174444,0,1
1538176749,0,1
1538178755,3,0
1538180665,4,1
1538182596,1,0
1538184491,1,2
1538188355,2,1
1538190264,2,3
1538192194,2,1
1538194133,0,2
1538196025,1,0
1538197962,2,1
1538201799,1,1
1538203700,1,1
1538205619,1,3
1538207541,3,0
1538209465,0,2
1538211389,4,4
1538213294,0,3
1538215300,1,5
1538217155,0,1
1538219323,0,3
1538221234,2,1
1538223140,0,1
1538225071,0,2
1538228906,1,4
1538230830,2,0
1538232758,0,3
1538234665,1,0
1538236574,0,3
1538238490,1,1
1538241395,2,5
1538243319,3,2
1538245230,3,0
1538247153,1,3
1538249067,2,4
1538250992,0,4
1538252890,1,5
1538254878,2,2
1538256756,0,2
1538258664,2,1
1538260591,3,0
1538262518,1,0
1538264430,3,0
1538266357,1,4
1538268254,3,3
1538270188,1,1
1538272094,2,1
1538274034,0,2
1538275940,2,0
1538277868,1,3
1538279769,1,0
1538281790,4,0
1538283667,0,2
1538287476,2,2
1538289370,1,1
1538291330,1,0
1538293245,6,1
1538295147,0,3
1538297073,0,1
1538298987,2,6
1538300915,0,1
1538304739,1,0
1538306658,0,2
1538308898,3,1
1538312706,2,0
1538316502,2,2
1538320345,1,0
1538322264,0,1
1538324192,2,1
1538326106,1,1
1538328022,2,3
1538329938,2,3
1538331866,1,1
1538333791,2,1
1538335698,1,2
1538338605,4,2
1538340502,5,1
1538342420,3,1
1538344338,2,1
1538346261,1,1
1538348189,0,3
1538350101,1,2
1538352093,1,1
1538353943,2,2
1538355886,0,2
1538357776,0,1
1538359707,5,1
1538361695,2,1
1538363550,4,3
1538365478,1,0
1538367554,2,5
1538369549,4,0
1538373879,2,2
1538375790,1,1
1538377721,0,1
1538379611,0,6
1538381556,1,0
1538383454,1,0
1538385405,2,2
1538387293,1,0
1538389231,1,0
1538391159,0,1
1538395304,2,2
1538397144,1,1
1538399112,2,1
1538401006,1,0
1538402902,2,1
1538406766,0,1
1538410596,1,2
1538412506,1,0
1538414418,2,2
1538416349,2,3
1538418261,1,2
1538420183,1,2
1538422107,2,1
1538424111,5,4
1538425948,5,3
1538427878,2,3
1538430027,2,2
1538431948,1,1
1538433861,0,1
1538435804,1,0
1538437703,3,2
1538441549,1,2
1538443472,1,0
1538445385,1,2
1538447773,1,6
1538449731,2,3
1538451637,1,2
1538453557,0,2
1538455700,2,4
1538459537,1,1
1538461474,1,2
1538463373,56,0
1538465292,57,0
1538467294,58,1
1538469401,58,1
1538471330,54,2
1538473218,59,1
1538475158,54,0
1538477082,50,1
1538478978,16,0
1538480929,0,1
1538483081,1,1
1538484991,2,3
1538486890,1,0
1538488888,1,3
1538490745,2,1
1538492677,2,0
1538494596,3,1
1538496550,1,0
1538498434,0,2
1538500359,0,2
1538502276,4,1
1538504187,0,2
1538506104,1,0
1538508024,1,3
1538509943,1,1
1538511850,2,7
1538514993,3,2
1538516910,4,1
1538518842,4,1
1538520740,1,1
1538524604,0,2
1538526496,2,0
1538528498,0,1
1538530349,1,2
1538532290,1,0
1538534427,1,1
1538536334,0,2
1538538252,1,1
1538540202,1,0
1538542254,3,2
1538544265,2,0
1538548121,3,1
1538550077,0,58
1538551997,0,53
1538553873,2,54
1538555807,0,50
1538557732,2,52
1538559640,1,60
1538561558,0,54
1538563462,2,54
1538565411,2,18
