DateTime,Entries,UniqueIPs
1538030672,64,64
1538032621,63,63
1538034768,64,64
1538036671,63,63
1538038583,64,64
1538040503,65,65
1538042487,65,65
1538044456,68,68
1538048184,69,69
1538050127,68,68
1538052023,69,69
1538053949,68,68
1538055871,69,69
1538057790,71,71
1538061793,68,68
1538063771,69,69
1538065943,68,68
1538067868,69,69
1538069798,68,68
1538071708,69,69
1538073625,69,69
1538075558,70,70
1538077482,70,70
1538079394,67,67
1538081317,66,66
1538083227,68,68
1538085144,65,65
1538087077,66,66
1538088985,64,64
1538090907,62,62
1538092893,60,60
1538094923,59,59
1538096889,58,58
1538099088,58,58
1538101009,58,58
1538102915,57,57
1538106752,58,58
1538108671,56,56
1538110592,51,51
1538112504,52,52
1538114482,51,51
1538116494,51,51
1538118512,51,51
1538120667,51,51
1538122609,52,52
1538124506,55,55
1538126443,58,58
1538128348,58,58
1538130263,60,60
1538132199,62,62
1538134106,62,62
1538136113,62,62
1538137964,63,63
1538139906,62,62
1538141793,63,63
1538143710,61,61
1538145621,64,64
1538147551,63,63
1538149467,65,65
1538151403,65,65
1538153302,66,66
1538155235,69,69
1538157145,71,71
1538159064,71,71
1538160990,72,72
1538162909,74,74
1538164893,80,80
1538166758,84,84
1538168674,84,84
1538170597,82,82
1538172517,83,83
1538174444,82,82
1538176749,81,81
1538178755,84,84
1538180665,87,87
1538182596,88,88
1538184491,87,87
1538188355,88,88
1538190264,87,87
1538192194,88,88
1538194133,86,86
1538196025,87,87
1538197962,88,88
1538201799,88,88
1538203700,88,88
1538205619,86,86
1538207541,89,89
1538209465,87,87
1538211389,87,87
1538213294,84,84
1538215300,80,80
1538217155,79,79
1538219323,76,76
1538221234,77,77
1538223140,76,76
1538225071,74,74
1538228906,71,71
1538230830,73,73
1538232758,70,70
1538234665,71,71
1538236574,68,68
1538238490,68,68
1538241395,65,65
1538243319,66,66
1538245230,69,69
1538247153,67,67
1538249067,65,65
1538250992,61,61
1538252890,57,57
1538254878,57,57
1538256756,55,55
1538258664,56,56
1538260591,59,59
1538262518,60,60
1538264430,63,63
1538266357,60,60
1538268254,60,60
1538270188,60,60
1538272094,61,61
1538274034,59,59
1538275940,61,61
1538277868,59,59
1538279769,60,60
1538281790,64,64
1538283667,62,62
1538287476,62,62
1538289370,62,62
1538291330,63,63
1538293245,68,68
1538295147,65,65
1538297073,64,64
1538298987,60,60
1538300915,59,59
1538304739,60,60
1538306658,58,58
1538308898,60,60
1538312706,62,62
1538316502,62,62
1538320345,63,63
1538322264,62,62
1538324192,63,63
1538326106,63,63
1538328022,62,62
1538329938,61,61
1538331866,61,61
1538333791,62,62
1538335698,61,61
1538338605,63,63
1538340502,67,67
1538342420,69,69
1538344338,70,70
1538346261,70,70
1538348189,67,67
1538350101,66,66
1538352093,66,66
1538353943,66,66
1538355886,64,64
1538357776,63,63
1538359707,67,67
1538361695,68,68
1538363550,69,69
1538365478,70,70
1538367554,67,67
1538369549,71,71
1538373879,71,71
1538375790,71,71
1538377721,70,70
1538379611,64,64
1538381556,65,65
1538383454,66,66
1538385405,66,66
1538387293,67,67
1538389231,68,68
1538391159,67,67
1538395304,67,67
1538397144,67,67
1538399112,68,68
1538401006,69,69
1538402902,70,70
1538406766,69,69
1538410596,68,68
1538412506,69,69
1538414418,69,69
1538416349,68,68
1538418261,67,67
1538420183,66,66
1538422107,67,67
1538424111,68,68
1538425948,70,70
1538427878,69,69
1538430027,69,69
1538431948,69,69
1538433861,68,68
1538435804,69,69
1538437703,70,70
1538441549,69,69
1538443472,70,70
1538445385,69,69
1538447773,64,64
1538449731,63,63
1538451637,62,62
1538453557,60,60
1538455700,58,58
1538459537,58,58
1538461474,57,57
1538463373,113,113
1538465292,170,170
1538467294,227,227
1538469401,284,284
1538471330,336,336
1538473218,394,394
1538475158,448,448
1538477082,497,497
1538478978,513,513
1538480929,512,512
1538483081,512,512
1538484991,511,511
1538486890,512,512
1538488888,510,510
1538490745,511,511
1538492677,513,513
1538494596,515,515
1538496550,516,516
1538498434,514,514
1538500359,512,512
1538502276,515,515
1538504187,513,513
1538506104,514,514
1538508024,512,512
1538509943,512,512
1538511850,507,507
1538514993,508,508
1538516910,511,511
1538518842,514,514
1538520740,514,514
1538524604,512,512
1538526496,514,514
1538528498,513,513
1538530349,512,512
1538532290,513,513
1538534427,513,513
1538536334,511,511
1538538252,511,511
1538540202,512,512
1538542254,513,513
1538544265,515,515
1538548121,517,517
1538550077,459,459
1538551997,406,406
1538553873,354,354
1538555807,304,304
1538557732,254,254
1538559640,195,195
1538561558,141,141
1538563462,89,89
1538565411,73,73
1538567326,74,74
1538569465,76,76
1538571373,74,74
1538573316,74,74
1538576181,72,72
1538578101,71,71
1538580028,68,68
1538581956,66,66
1538583869,67,67
1538585802,66,66
1538587693,66,66
1538589678,63,63
1538591547,64,64
1538595367,64,64
1538597310,65,65
1538599473,65,65
1538601404,64,64
1538603303,62,62
1538605220,61,61
1538607137,60,60
1538609073,59,59
1538612902,58,58
1538615067,58,58
1538616977,54,54
1538618909,55,55
1538620824,58,58
1538624683,58,58
1538626591,57,57
1538628503,57,57
1538630411,53,53
1538632326,54,54
1538634265,51,51
1538636199,51,51
1538638112,50,50
1538640073,50,50
1538641957,51,51
1538643862,49,49
1538645798,52,52
1538647722,55,55
1538649638,53,53
1538651567,51,51
1538653474,53,53
1538655666,53,53
1538657545,54,54
1538659475,56,56
1538661410,57,57
1538663291,58,58
1538665259,60,60
1538667161,61,61
1538669082,60,60
1538672928,64,64
1538674832,65,65
1538676739,61,61
1538680589,64,64
1538682519,64,64
1538684440,65,65
1538686333,63,63
1538688271,60,60
1538690192,57,57
1538694092,59,59
1538695948,60,60
1538697897,62,62
1538699772,62,62
1538701714,66,66
1538703870,69,69
1538705799,68,68
1538707726,68,68
1538709630,69,69
1538711549,70,70
1538713482,71,71
1538715384,72,72
1538717316,74,74
1538719279,73,73
1538721150,74,74
1538723110,74,74
1538726924,72,72
1538728814,72,72
1538730995,71,71
1538732902,69,69
1538734833,69,69
1538736749,70,70
1538738664,71,71
1538740588,68,68
1538742520,67,67
1538744497,69,69
1538746351,67,67
1538748293,64,64
1538750424,64,64
1538752345,60,60
1538754291,61,61
1538756193,60,60
1538758344,58,58
1538760283,55,55
1538762197,54,54
1538766082,53,53
1538767973,56,56
1538769876,56,56
1538771803,57,57
1538773704,59,59
1538775644,62,62
1538777564,61,61
1538779463,62,62
1538781393,62,62
1538783328,66,66
1538785234,66,66
1538787162,64,64
1538789117,61,61
1538791023,59,59
1538792932,57,57
1538796757,57,57
1538798670,56,56
