DateTime,AddedIPs,RemovedIPs
1537052674,0,1
1537054625,0,1
1537064197,1,0
1537066100,1,0
1537071884,0,1
1537077688,0,2
1537081480,1,0
1537087238,1,0
1537102868,0,1
1537108617,0,1
1537112449,0,1
1537124492,1,0
1537126351,1,0
1537128319,1,0
1537134018,1,0
1537136205,0,1
1537138124,1,0
1537151813,0,2
1537167400,0,1
1537169302,1,0
1537171286,1,0
1537173164,0,1
1537184669,1,0
1537210112,0,1
1537212027,0,1
1537213954,0,1
1537219707,1,1
1537225705,1,1
1537233401,1,0
1537256458,2,1
1537258467,0,1
1537272096,0,1
1537278063,1,0
1537305378,0,1
1537311153,1,0
1537313078,0,1
1537319066,0,1
1537336341,1,0
1537342355,0,2
1537346057,2,0
1537351724,2,0
1537363235,0,1
1537378822,1,0
1537394185,1,0
1537398996,0,1
1537424431,0,1
1537428274,1,0
1537432360,0,2
1537438122,0,2
1537440032,1,0
1537445808,1,0
1537464042,0,1
1537477492,1,0
1537481329,0,1
1537499077,1,0
1537514624,0,1
1537520799,1,0
1537526687,0,1
1537532440,0,1
1537564587,0,1
1537584278,1,1
1537588349,1,0
1537603954,2,0
1537607792,0,1
1537628906,1,0
1537657705,1,0
1537669273,0,1
1537674981,0,1
1537680751,2,0
1537690349,1,2
1537698025,1,0
1537715302,0,1
1537717218,1,0
1537721069,1,0
1537744341,0,1
1537755860,1,0
1537763550,1,0
1537767392,0,2
1537776994,0,1
1537784671,0,1
1537803860,0,1
1537807703,0,1
1537809872,1,0
1537821637,1,0
1537842772,0,1
1537850438,1,1
1537856212,1,0
1537858097,2,0
1537860039,1,0
1537871806,1,0
1537897234,0,1
1537906837,0,1
1537920280,1,0
1537937541,1,1
1537941398,1,1
1537943315,1,1
1537945282,0,2
1537956763,2,0
1537958905,0,1
1537980275,2,0
1537982205,5,0
1537984098,5,0
1537986024,4,0
1537987963,6,0
1537989873,6,0
1537991802,5,0
1537993715,5,0
1537995791,4,0
1537998026,2,0
1537999947,4,0
1538001865,2,0
1538003791,7,0
1538005705,7,1
1538007622,1,0
1538009543,3,0
1538011458,3,0
1538013413,4,0
1538018201,13,0
1538020346,3,0
1538024167,3,1
1538026352,2,1
1538028275,3,0
1538030192,3,1
1538032113,5,0
1538034283,4,0
1538036196,2,0
1538038355,2,0
1538040263,2,0
1538042492,2,0
1538044456,3,2
1538046285,4,0
1538048184,4,0
1538050128,3,0
1538052023,2,0
1538055871,1,0
1538059710,1,0
1538061794,2,0
1538063771,3,0
1538065943,3,1
1538067869,3,3
1538069798,0,4
1538071708,1,5
1538073625,3,5
1538075559,0,3
1538077483,1,3
1538079394,3,4
1538081317,0,5
1538083228,3,1
1538085144,1,1
1538087078,2,4
1538088985,3,3
1538090908,0,5
1538092894,0,7
1538094923,2,2
1538096890,1,2
1538099089,2,3
1538101009,1,4
1538102915,1,4
1538104819,1,8
1538106753,0,3
1538108672,0,1
1538110593,1,3
1538112504,1,1
1538114483,1,2
1538116495,0,3
1538118512,1,5
1538120668,0,1
1538122610,2,2
1538124507,0,2
1538126443,2,3
1538128348,2,1
1538130263,3,2
1538132200,4,3
1538134107,1,3
1538136114,1,3
1538137965,1,2
1538139911,0,1
1538141793,2,3
1538143711,1,1
1538145621,1,2
1538147552,1,0
1538149467,0,3
1538151404,0,3
1538153302,4,1
1538155236,2,2
1538157145,2,1
1538159064,3,1
1538160990,0,3
1538162909,2,1
1538164893,1,5
1538166758,1,1
1538168675,2,2
1538170598,1,0
1538172517,1,2
1538174445,0,2
1538176750,0,3
1538178755,3,1
1538180666,0,2
1538182596,0,1
1538184491,0,1
1538186502,1,4
1538188355,0,1
1538190265,0,4
1538192194,1,0
1538194133,1,0
1538197963,0,2
1538199863,0,1
1538201799,0,1
1538205619,2,1
1538207542,0,1
1538211389,2,0
1538213294,0,2
1538215301,1,4
1538217156,0,2
1538219323,0,4
1538221235,0,2
1538223141,1,2
1538225071,1,1
1538228907,0,2
1538230830,0,2
1538232758,1,0
1538234665,2,2
1538236575,1,0
1538238490,1,0
1538241395,0,6
1538243319,0,2
1538245230,0,4
1538249067,0,2
1538250992,1,0
1538252890,0,1
1538254887,2,3
1538256756,1,1
1538258664,1,1
1538260591,1,0
1538264430,1,1
1538266357,1,1
1538268254,1,0
1538274035,1,1
1538277869,0,1
1538279769,2,0
1538281791,0,1
1538289370,1,0
1538291330,0,1
1538293246,0,1
1538297073,1,1
1538298987,0,1
1538300915,2,0
1538302818,0,1
1538304739,1,0
1538308900,1,1
1538310747,0,1
1538312708,0,1
1538314578,1,0
1538318426,0,1
1538320345,0,2
1538324192,0,1
1538338605,0,1
1538342420,0,2
1538344339,0,1
1538346261,5,1
1538348189,1,1
1538350101,2,0
1538352097,0,1
1538353943,3,2
1538355887,2,0
1538359707,0,1
1538361695,2,0
1538365479,3,0
1538367554,0,2
1538369549,1,0
1538371943,1,0
1538373886,3,0
1538375791,0,1
1538379612,1,0
1538383455,0,1
1538385406,2,0
1538387293,1,2
1538391159,1,1
1538393179,1,1
1538395305,2,1
1538397145,1,0
1538399113,1,0
1538401006,0,1
1538406766,1,0
1538408668,1,0
1538410596,2,0
1538416350,3,0
1538420184,1,0
1538424114,2,0
1538427878,2,0
1538430027,1,0
1538431948,0,1
1538433861,1,4
1538435805,1,0
1538437703,2,2
1538439618,0,2
1538441549,0,3
1538447773,2,3
1538451637,1,3
1538453558,2,0
1538457637,1,2
1538459537,2,2
1538461475,0,1
1538463374,174,0
1538465292,203,1
1538467297,34,0
1538471331,0,1
1538473218,2,1
1538475158,3,0
1538477083,0,1
1538478978,0,1
1538480929,0,2
1538483081,1,1
1538484991,2,0
1538486890,1,0
1538492679,2,1
1538496550,1,2
1538500369,1,0
1538502276,1,1
1538504187,1,1
1538506105,0,1
1538508024,3,0
1538509944,0,2
1538511851,1,0
1538514994,2,2
1538516910,1,1
1538520740,0,1
1538522675,1,1
1538524605,3,1
1538526496,1,0
1538528503,0,1
1538530349,1,1
1538534428,1,2
1538536334,1,1
1538538252,1,1
1538540202,1,2
1538544265,0,1
1538546203,0,3
1538548122,0,5
1538550081,2,198
1538551997,2,205
1538553874,0,3
1538557732,2,0
1538559640,1,2
1538561558,0,3
1538569465,1,1
1538571374,1,2
