DateTime,Entries,UniqueIPs
1537052674,8,8
1537054625,7,7
1537064197,8,8
1537066100,9,9
1537071884,8,8
1537077688,6,6
1537081480,7,7
1537087238,8,8
1537102868,7,7
1537108617,6,6
1537112449,5,5
1537124492,6,6
1537126351,7,7
1537128319,8,8
1537134018,9,9
1537136205,8,8
1537138124,9,9
1537151813,7,7
1537167400,6,6
1537169302,7,7
1537171286,8,8
1537173164,7,7
1537184669,8,8
1537210112,7,7
1537212027,6,6
1537213954,5,5
1537219707,5,5
1537225705,5,5
1537233401,6,6
1537256458,7,7
1537258467,6,6
1537272096,5,5
1537278063,6,6
1537305378,5,5
1537311153,6,6
1537313078,5,5
1537319066,4,4
1537336341,5,5
1537342355,3,3
1537346057,5,5
1537351724,7,7
1537363235,6,6
1537378822,7,7
1537394185,8,8
1537398996,7,7
1537424431,6,6
1537428274,7,7
1537432360,5,5
1537438122,3,3
1537440032,4,4
1537445808,5,5
1537464042,4,4
1537477492,5,5
1537481329,4,4
1537499077,5,5
1537514624,4,4
1537520799,5,5
1537526687,4,4
1537532440,3,3
1537564587,2,2
1537584278,2,2
1537588349,3,3
1537603954,5,5
1537607792,4,4
1537628906,5,5
1537657705,6,6
1537669273,5,5
1537674981,4,4
1537680751,6,6
1537690349,5,5
1537698025,6,6
1537715302,5,5
1537717218,6,6
1537721069,7,7
1537744341,6,6
1537755860,7,7
1537763550,8,8
1537767392,6,6
1537776994,5,5
1537784671,4,4
1537803860,3,3
1537807703,2,2
1537809872,3,3
1537821637,4,4
1537842772,3,3
1537850438,3,3
1537856212,4,4
1537858097,6,6
1537860039,7,7
1537871806,8,8
1537897234,7,7
1537906837,6,6
1537920280,7,7
1537937541,7,7
1537941398,7,7
1537943315,7,7
1537945282,5,5
1537956763,7,7
1537958905,6,6
1537980275,8,8
1537982205,13,13
1537984098,18,18
1537986024,22,22
1537987963,28,28
1537989873,34,34
1537991802,39,39
1537993715,44,44
1537995791,48,48
1537998026,50,50
1537999947,54,54
1538001865,56,56
1538003791,63,63
1538005705,69,69
1538007622,70,70
1538009543,73,73
1538011458,76,76
1538013413,80,80
1538018201,93,93
1538020346,96,96
1538024167,98,98
1538026352,99,99
1538028275,102,102
1538030192,104,104
1538032113,109,109
1538034283,113,113
1538036196,115,115
1538038355,117,117
1538040263,119,119
1538042492,121,121
1538044456,122,122
1538046285,126,126
