DateTime,Entries,UniqueIPs
1537682717,108,108
1537684608,106,106
1537686504,92,92
1537690350,91,91
1537692267,93,93
1537694197,97,97
1537696106,100,100
1537698026,103,103
1537699945,109,109
1537701862,100,100
1537703795,96,96
1537705705,94,94
1537707673,100,100
1537709546,100,100
1537711467,96,96
1537713399,95,95
1537717219,105,105
1537719180,103,103
1537722992,104,104
1537726822,102,102
1537728759,99,99
1537730663,107,107
1537732744,104,104
1537734751,100,100
1537736672,101,101
1537738598,112,112
1537740505,103,103
1537742424,100,100
1537744342,100,100
1537746262,93,93
1537748198,89,89
1537752020,87,87
1537755861,84,84
1537759697,85,85
1537763550,81,81
1537765465,77,77
1537767393,78,78
1537769307,83,83
1537771221,85,85
1537773148,94,94
1537776994,99,99
1537778901,97,97
1537780821,93,93
1537782842,102,102
1537784672,99,99
1537786600,93,93
1537794286,87,87
1537796204,86,86
1537798127,87,87
1537801963,88,88
1537803861,78,78
1537805813,80,80
1537807704,90,90
1537809873,91,91
1537811796,93,93
1537815901,92,92
1537817804,91,91
1537819728,88,88
1537823556,77,77
1537825461,81,81
1537827398,82,82
1537829299,78,78
1537831222,77,77
1537844685,82,82
1537846574,81,81
1537848523,86,86
1537850443,88,88
1537852343,92,92
1537854258,96,96
1537856213,93,93
1537858098,93,93
1537860040,86,86
1537861982,89,89
1537863877,85,85
1537865777,88,88
1537869672,75,75
1537875637,80,80
1537879461,82,82
1537881402,89,89
1537883325,91,91
1537885243,102,102
1537887140,101,101
1537891488,107,107
1537893402,100,100
1537895321,101,101
1537897235,100,100
1537899160,107,107
1537903002,100,100
1537904926,98,98
1537910675,96,96
1537912594,87,87
1537914517,90,90
1537916486,97,97
1537920280,98,98
1537929876,102,102
1537931799,101,101
1537933707,108,108
1537935637,106,106
1537937541,101,101
1537939474,101,101
1537941399,97,97
1537943316,95,95
1537945286,107,107
1537947160,102,102
1537951002,102,102
1537952929,107,107
1537954814,113,113
1537958906,114,114
1537962991,109,109
1537964907,111,111
1537966833,109,109
1537968759,104,104
1537970710,107,107
1537972573,104,104
1537974525,107,107
1537976439,121,121
1537978396,119,119
1537980276,120,120
1537993716,122,122
1537995792,126,126
1537998027,136,136
1537999948,151,151
1538001865,158,158
1538007623,163,163
1538011459,164,164
1538017292,165,165
1538019157,122,122
1538021070,123,123
1538022999,123,123
1538024921,122,122
1538026830,118,118
1538028780,126,126
1538030673,128,128
1538032622,127,127
1538036672,126,126
1538038584,136,136
1538040504,189,189
1538042497,190,190
1538044457,195,195
1538046288,202,202
1538048185,205,205
1538050137,211,211
1538052024,210,210
1538055872,205,205
1538057791,197,197
1538059711,194,194
1538061794,187,187
1538063772,174,174
1538065944,180,180
1538067869,182,182
1538069799,191,191
1538071709,196,196
1538073626,199,199
1538075559,204,204
1538077483,209,209
1538081318,203,203
1538083228,209,209
1538085145,188,188
1538087078,177,177
1538088986,178,178
1538092896,176,176
1538094924,174,174
1538096890,173,173
1538099090,179,179
1538101010,192,192
1538102916,195,195
1538104820,194,194
1538108673,190,190
1538112505,194,194
1538114484,208,208
1538116495,195,195
1538118513,199,199
1538120668,196,196
1538122611,197,197
1538124508,193,193
1538126444,121,121
1538128349,119,119
1538132200,106,106
1538136114,96,96
1538143711,97,97
1538147552,108,108
1538149468,116,116
1538151405,116,116
1538153303,118,118
1538155237,115,115
1538157146,106,106
1538159065,101,101
1538160991,97,97
1538162910,91,91
1538168693,85,85
1538172518,84,84
1538174446,83,83
1538180666,82,82
1538184492,77,77
1538186505,67,67
1538188356,60,60
1538197963,61,61
1538199864,50,50
1538201800,41,41
1538203701,39,39
1538205620,36,36
1538207542,35,35
1538209466,34,34
1538219324,42,42
1538221236,47,47
1538223141,51,51
1538225072,55,55
1538226992,56,56
1538228907,55,55
1538232759,53,53
1538234666,39,39
1538236575,36,36
1538238491,35,35
1538241396,26,26
1538243320,28,28
1538245231,30,30
1538247154,31,31
1538258665,32,32
1538260592,33,33
1538262519,35,35
1538266358,38,38
1538274035,47,47
1538275941,53,53
1538277870,64,64
1538279770,69,69
1538281791,70,70
1538283692,96,96
1538285542,99,99
1538287477,101,101
1538289371,102,102
1538300916,105,105
1538302819,110,110
1538304740,126,126
1538306659,118,118
1538308903,115,115
