DateTime,Entries,UniqueIPs
1538102916,2228,2228
1538104821,2228,2228
1538106754,2180,2180
1538108673,2150,2150
1538110594,2085,2085
1538112519,1927,1927
1538114485,1819,1819
1538116496,1667,1667
1538118514,1153,1153
1538120669,1031,1031
1538122611,1062,1062
1538124508,773,773
1538126445,627,627
1538128349,632,632
1538130264,629,629
1538132201,637,637
1538134114,642,642
1538136115,641,641
1538137966,700,700
1538139915,701,701
1538141794,701,701
1538143712,701,701
1538145622,709,709
1538147553,708,708
1538149469,716,716
1538151405,716,716
1538153304,713,713
1538155238,710,710
1538157147,708,708
1538159066,707,707
1538160991,706,706
1538162911,772,772
1538164895,1263,1263
1538166760,1260,1260
1538168716,1266,1266
1538170599,1268,1268
1538172519,1247,1247
1538174446,1270,1270
1538176751,1291,1291
1538178756,1292,1292
1538180667,1286,1286
1538182598,1369,1369
1538184493,1370,1370
1538186506,1371,1371
1538188357,1374,1374
1538190266,1374,1374
1538192196,1832,1832
1538194134,1829,1829
1538196027,1834,1834
1538197964,1833,1833
1538199864,1827,1827
1538201800,1769,1769
1538203702,1837,1837
1538205621,1841,1841
1538207543,3956,3956
1538209467,3958,3958
1538211391,3939,3939
1538213296,3942,3942
1538215302,3940,3940
1538217157,3935,3935
1538219325,3925,3925
1538221236,3925,3925
1538223142,3923,3923
1538225073,3845,3845
1538226993,3841,3841
1538228908,3837,3837
1538230831,3834,3834
1538232765,3830,3830
1538234667,3829,3829
1538236576,4316,4316
1538238492,4314,4314
1538241397,4314,4314
1538243321,4311,4311
1538245232,4312,4312
1538247155,4315,4315
1538249069,4315,4315
1538250994,3960,3960
1538252891,3959,3959
1538254896,3955,3955
1538256758,4024,4024
1538258666,4260,4260
1538260593,4479,4479
1538262520,4451,4451
1538264432,4450,4450
1538266359,4490,4490
1538268256,4455,4455
1538270190,4537,4537
1538272096,4530,4530
1538274036,4529,4529
1538275942,4525,4525
1538277870,4528,4528
1538279771,4231,4231
1538281792,4390,4390
1538283700,4389,4389
1538285543,4387,4387
1538287478,4388,4388
1538289371,4596,4596
1538291339,4610,4610
1538293247,4612,4612
1538295148,4704,4704
1538297075,4700,4700
1538298997,4722,4722
1538300917,4715,4715
1538302820,4720,4720
1538304741,4720,4720
1538306660,5468,5468
1538308904,5465,5465
1538310749,5466,5466
1538312712,5470,5470
1538314579,5518,5518
