DateTime,AddedIPs,RemovedIPs
1538106754,5,53
1538108674,4,33
1538110594,4,68
1538112519,7,164
1538114486,46,153
1538116496,1,152
1538118514,1,516
1538120669,3,126
1538122612,44,12
1538124509,19,309
1538126446,5,151
1538128350,7,2
1538130264,6,7
1538132202,13,5
1538134114,10,3
1538136116,6,8
1538137966,63,4
1538139915,6,5
1538141795,6,6
1538143712,4,4
1538145623,9,1
1538147553,4,6
1538149470,13,5
1538151405,7,6
1538153304,4,8
1538155238,1,7
1538157147,6,7
1538159067,3,4
1538160992,3,3
1538162911,69,4
1538164896,497,4
1538166760,4,7
1538168724,10,4
1538170599,5,3
1538172519,5,25
1538174447,26,3
1538176751,25,5
1538178757,5,4
1538180668,4,9
1538182598,87,3
1538184493,8,7
1538186507,8,7
1538188357,6,5
1538190266,5,5
1538192205,463,3
1538194135,3,6
1538196027,7,5
1538197965,8,8
1538199865,9,15
1538201801,11,66
1538203702,73,5
1538205621,6,2
1538207544,2119,5
1538209468,5,4
1538211391,7,26
1538213296,11,6
1538215317,6,9
1538217158,2,7
1538219326,5,16
1538221237,7,7
1538223143,11,13
1538225074,8,84
1538226993,2,6
1538228909,2,6
1538230832,3,6
1538232766,3,7
1538234667,4,6
1538236577,498,11
1538238492,5,8
1538241397,4,3
1538243322,4,7
1538245233,4,3
1538247155,5,3
1538249069,4,3
1538250994,11,366
1538252892,3,4
1538254896,2,6
1538256759,76,6
1538258666,240,3
1538260593,243,24
1538262520,42,70
1538264433,5,5
1538266360,46,6
1538268256,4,40
1538270190,89,6
1538272096,3,10
1538274037,4,5
1538275943,3,7
1538277871,10,9
1538279771,159,457
1538281794,169,6
1538283701,3,4
1538285543,6,9
1538287478,4,7
1538289372,218,8
1538291339,23,7
1538293248,4,2
1538295149,94,2
1538297075,6,9
1538298998,26,4
1538300917,2,10
1538302820,9,4
1538304741,3,2
1538306660,752,6
1538308905,6,6
1538310749,6,5
1538312712,9,5
1538314580,49,1
1538316504,4,3
1538318429,257,2
1538320347,2,3
1538322267,5,2118
1538324194,3,431
1538326108,4,0
1538328025,3,8
1538329941,2,3
1538331868,2,5
1538333802,7,4
1538335700,6,5
1538338607,3,10
1538340504,5,3
1538342423,1,1
1538344341,7,246
1538346263,135,4
1538348191,1,232
1538350103,107,3
1538352102,3,5
1538353945,3,4
1538355890,0,81
1538357778,2,1
1538359709,1,1
1538361697,4,7
1538363552,7,3
1538365480,136,17
1538367556,28,265
1538369557,969,36
1538371945,832,3
1538373903,8,4
1538375793,2155,13
1538377724,83,18
1538379614,1,5
1538381559,1,71
1538383457,5,5
1538385408,1,21
1538387295,4,2
1538389234,15,6
1538391161,113,1
1538393181,31,578
1538395308,591,3
1538397154,1248,4
1538399116,1233,6
1538401008,1037,24
1538402904,793,3
1538404837,53,208
1538406769,15,0
1538408670,29,1
1538410599,24,2
1538412508,50,2
1538414421,29,1
1538416352,28,1
1538418264,32,1
1538420186,31,4
1538422110,29,2
1538424116,10,1
1538425950,2,1
1538427881,2,1
1538430030,15,2
1538431950,12,61
1538433863,200,2
1538435808,4,78
1538437705,4,3
1538439623,1,1
1538441551,1,1
1538443474,2,2
1538445388,4,1
1538447779,2,1
1538449742,2,2
1538451640,6,92
1538453560,5,28
1538455703,155,684
1538457644,1,575
1538459540,4,417
1538461477,2,2
1538463376,4,1154
1538465294,5,5
1538467305,6,1
1538469404,1,3
1538471334,4,2
1538473220,4,2
1538475170,1,6
1538477085,1,127
1538478980,8,28
1538480932,3,246
1538483083,3,1376
1538484993,4,1671
1538486892,31,1125
1538488900,17,1297
1538490747,4,23
1538492720,2,68
1538494598,9,209
1538496552,7,30
1538498436,222,24
1538500372,776,57
1538502279,4,21
1538504190,10,35
1538506107,31,35
1538508034,31,33
1538509946,32,18
1538511853,29,5
1538514073,42,1
1538515946,30,11
1538517875,29,16
1538519775,400,38
1538521725,59,7
1538523640,31,3
1538525563,34,6
1538527458,25,0
1538529387,32,2
1538531313,22,5
1538533231,32,1
1538535151,28,3
1538537072,31,5
1538538979,17,3
1538540898,2,230
1538543120,4,1
1538545004,4,5
1538547187,5,24
1538549081,4,255
1538550995,6,3
1538552918,4,5
1538554830,57,5
1538556759,3,4
1538558685,2,5
1538560599,3,2
1538562499,3,1
1538564482,2,6
1538566378,55,4
1538568344,2,39
1538570439,3,5
1538572339,3,6
1538574290,5,5
1538576183,3,14
1538578102,6,5
1538580031,2,9
1538581958,2,5
1538583872,8,4
1538585803,6,1
1538587695,2,3
1538589688,153,1002
1538591549,7,3
1538593519,6,2
1538595378,3,5
1538597312,4,2
1538599475,3,7
1538601406,3,10
1538603305,6,1
1538605222,6,1
1538607147,4,378
1538609075,5,6
1538610985,7,6
1538612904,5,4
1538615069,1,5
1538616984,6,3
1538618911,4,3
1538620826,1,3
1538622744,7,1
1538624685,4,2
1538626593,2,5
1538628504,8,2
1538630412,1,5
1538632327,0,3
1538634267,7,5
1538636201,4,107
1538638114,7,4
1538640080,5,3
1538641959,4,56
1538643864,1,3
1538645799,2,0
1538647724,2,3
1538649640,1,4
1538651569,3,59
1538653476,3,5
1538655668,6,4
1538657547,17,8
1538659477,3,6
1538661412,7,5
1538663292,375,4
1538665279,453,4
1538667162,2,2
1538669085,1,1
1538670999,4,10
1538672930,4,3
1538674834,4,86
1538676741,54,73
1538678689,8,7
1538680591,174,8
1538682521,4,6
1538684442,5,2
1538686335,3,2
1538688274,1,3
1538690194,3,6
1538692117,340,67
1538694098,3,208
1538695949,1,4
1538697900,6,6
1538699774,4,4
1538701716,7,2
1538703872,3,4
1538705801,3,5
1538707731,0,2
1538709632,811,4
1538711551,264,4
1538713492,60,8
1538715386,12,1
1538717318,3,0
1538719282,3,2
1538721152,6,168
1538723112,7,5
1538724971,2,6
1538726926,2,3
1538728816,0,3
1538730997,6,2
1538732904,5,0
1538734835,2,1
1538736752,3,2
1538738666,3,3
1538740590,4,3
1538742522,4,9
1538744499,4,14
1538746353,1,2
1538748314,109,5
1538750426,2,0
1538752347,1,829
1538754292,3,1
1538756194,5,3
1538758346,4,92
1538760285,4,1
1538762199,3,47
1538764229,5,6
1538766089,2,7
1538767975,4,182
1538769879,4,5
1538771804,3,3
1538773705,5,0
1538775646,5,3
1538777566,5,66
1538779464,23,312
1538781395,3,0
1538783330,7,4
1538785236,3,6
1538787164,6,3
1538789126,4,23
1538791025,1,35
1538792935,7,30
1538794888,1,30
1538796760,2,1099
1538798672,1,34
1538800611,1,110
1538802534,5,34
1538804571,6,33
1538806855,0,35
1538808767,5,197
1538810669,3,33
1538812604,2,34
1538814505,5,27
1538816498,7,35
1538818342,9,35
1538820278,9,37
1538822217,3,30
1538824107,7,8
1538826022,5,3
1538827958,631,4
1538829879,2026,4
1538831786,2230,0
1538833962,3,110
1538835875,1,1
1538837794,8,0
1538839697,0,2
1538841683,4,3
1538843558,4,5
1538845505,8,2
1538847378,61,4
1538851221,0,4
1538853145,2,7
1538855065,1,0
1538856997,1,5
1538858897,1,1
1538860837,2,4
1538862744,4,5
1538864676,2,7
