DateTime,AddedIPs,RemovedIPs
1538110595,8,3
1538112527,4,5
1538114495,7,9
1538116497,10,12
1538118514,11,9
1538120670,9,1
1538122612,16,7
1538124520,6,9
1538126446,10,10
1538128350,17,8
1538130265,16,15
1538132202,7,33
1538134115,7,14
1538136116,17,16
1538137967,7,9
1538139915,8,11
1538141795,11,15
1538143713,13,19
1538145623,9,19
1538147554,11,13
1538149470,3,10
1538151406,7,7
1538153305,19,10
1538155239,12,8
1538157147,9,10
1538159067,7,5
1538160992,10,9
1538162911,5,13
1538164897,13,13
1538166760,24,8
1538168730,18,4
1538170600,10,5
1538172519,2,5
1538174447,9,3
1538176752,9,7
1538178757,5,4
1538180668,9,4
1538182599,13,3
1538184493,21,18
1538186507,13,4
1538188357,11,7
1538190267,12,3
1538192206,16,17
1538194135,10,6
1538196028,6,9
1538197965,11,8
1538199865,6,7
1538201801,18,7
1538203703,17,9
1538205621,9,9
1538207544,9,9
1538209468,4,12
1538211392,7,10
1538213296,5,10
1538215322,3,17
1538217158,4,13
1538219326,5,10
1538221237,3,15
1538223143,7,15
1538225074,14,7
1538226993,5,13
1538228909,7,11
1538230832,5,12
1538232766,2,7
1538234667,4,9
1538236577,6,6
1538238493,3,5
1538241398,12,29
1538243322,6,11
1538245233,11,10
1538247156,5,12
1538249069,4,7
1538250995,4,10
1538252901,4,26
1538254897,6,16
1538256760,7,12
1538258667,14,4
1538260594,5,6
1538262521,4,11
1538264434,10,3
1538266361,9,11
1538268257,5,12
1538270191,6,22
1538272097,2,17
1538274037,3,12
1538275943,3,16
1538277871,5,13
1538279772,7,13
1538281794,4,6
1538283701,1,12
1538285544,5,6
1538287479,7,11
1538289372,8,24
1538291340,4,11
1538293248,3,3
1538295149,6,4
1538297085,5,3
1538298998,5,3
1538300918,4,3
1538302821,4,2
1538304741,2,7
1538306660,1,5
1538308905,5,5
1538310749,2,13
1538312713,4,11
1538314580,1,3
1538316504,2,7
1538318429,4,4
1538320348,2,5
1538322267,5,2
1538324194,8,5
1538326108,6,5
1538328025,6,10
1538329941,3,9
1538331868,13,8
1538333802,15,6
1538335702,13,3
1538337650,4,5
1538339546,7,2
1538341467,8,4
1538343400,9,4
1538345314,15,12
1538347225,11,6
1538349141,6,4
1538351083,3,11
1538352988,7,11
1538354906,7,8
1538356818,9,5
1538358748,5,1
1538360672,8,6
1538362576,6,3
1538364499,9,5
1538366469,6,7
1538368339,6,1
1538370294,5,4
1538372453,5,6
1538374366,6,7
1538376278,5,7
1538378194,3,3
1538380120,3,6
1538382021,9,8
1538383947,5,6
1538385859,3,3
1538387804,2,2
1538389700,5,5
1538391650,11,4
1538393546,3,3
1538395724,4,2
1538397633,9,4
1538399561,3,3
1538401463,6,3
1538403410,4,1
1538405302,6,5
1538407238,5,5
1538409157,6,6
1538411072,1,6
1538412974,5,8
1538414917,11,5
1538416882,7,9
1538418763,9,17
1538420689,7,11
1538422599,6,14
1538424522,2,4
1538426445,8,5
1538428614,3,3
1538430519,3,12
1538432411,7,18
1538434365,9,8
1538436277,7,4
1538438192,6,1
1538440100,3,5
1538442076,3,10
1538443952,7,5
1538445873,6,10
1538447779,3,5
1538449742,5,4
1538451640,4,8
1538453560,2,4
1538455703,5,7
1538457646,7,4
1538459540,7,10
1538461477,6,7
1538463376,5,6
1538465294,5,5
1538467305,1,4
1538469404,6,4
1538471334,5,6
1538473221,2,8
1538475170,3,4
1538477085,3,7
1538478981,6,8
1538480932,7,4
1538483083,6,9
1538484994,7,5
1538486892,4,3
1538488900,3,4
1538490748,6,4
1538492722,4,7
1538494598,2,4
1538496553,1,5
1538498436,4,1
1538500372,1,6
1538502280,7,13
1538504190,5,3
1538506107,7,5
1538508035,54,6
1538509946,3,2
1538511853,4,7
1538514074,7,5
1538515946,5,0
1538517876,14,4
1538519775,41,9
1538521726,29,6
1538523641,28,6
1538525563,26,3
1538527458,32,3
1538529388,20,4
1538531313,18,5
1538533232,19,6
1538535151,22,4
1538537073,18,4
1538538979,23,4
1538540899,22,2
1538543121,20,6
1538545013,19,5
1538547187,22,9
1538549081,31,4
1538550996,26,8
1538552918,15,5
1538554830,4,2
1538556760,5,9
1538558686,17,4
1538560600,7,1
1538562499,7,2
1538564482,6,5
1538566378,15,6
1538568344,6,6
1538570440,13,7
1538572340,4,5
1538574290,6,6
1538576183,9,4
1538578103,6,7
1538580031,7,3
1538581959,4,3
1538583872,16,3
1538585804,12,4
1538587696,8,5
1538589689,11,5
1538591549,8,6
1538593520,7,5
1538595378,11,55
1538597312,13,3
1538599475,24,6
1538601406,17,3
1538603305,8,4
1538605223,3,19
1538607148,3,27
1538609076,5,27
1538610986,10,23
1538612904,4,23
1538615070,6,17
1538616984,3,18
1538618912,3,16
1538620827,7,14
1538622744,3,13
1538624685,8,24
1538626594,9,21
1538628505,7,17
1538630413,9,16
1538632328,10,14
1538634267,11,30
1538636201,12,29
1538638114,13,28
1538640082,13,12
1538641960,11,5
1538643864,10,4
1538645800,9,12
1538647724,12,5
1538649641,2,11
1538651569,26,12
1538653476,31,12
1538655669,29,10
1538657547,13,15
1538659478,8,6
1538661413,5,7
1538663293,2,9
1538665282,8,7
1538667163,7,7
1538669085,7,10
1538670999,6,18
1538672931,3,10
1538674835,3,6
1538676741,15,12
1538678690,8,7
1538680591,6,9
1538682521,2,16
1538684442,7,15
1538686336,1,30
1538688274,5,16
1538690195,4,8
1538692117,10,4
1538694098,6,5
1538695950,2,7
1538697916,2,10
1538699774,4,3
1538701717,6,3
1538703872,9,3
1538705801,12,5
1538707732,15,2
1538709632,8,4
1538711551,1,5
1538713493,1,5
1538715387,0,11
1538717319,0,9
1538719283,4,11
1538721152,8,8
1538723113,24,14
1538724971,14,10
1538726927,10,10
1538728817,26,6
1538730997,22,12
1538732904,6,14
1538734836,5,6
1538736752,15,7
1538738666,16,37
1538740590,22,33
1538742522,25,21
1538744499,21,18
1538746353,18,2
1538748315,19,8
1538750426,9,2
1538752347,5,16
1538754293,3,6
1538756194,4,4
1538758346,7,7
1538760285,16,2
1538762199,8,2
1538764229,10,16
1538766091,12,6
1538767975,14,2
1538769880,18,5
1538771805,13,4
1538773706,17,5
1538775646,14,4
1538777566,3,7
1538779464,7,5
1538781395,7,4
1538783331,20,3
1538785237,8,2
1538787164,4,5
1538789134,16,5
1538791025,11,14
1538792940,9,11
1538794889,8,15
1538796760,7,0
1538798673,8,2
1538800612,7,1
1538802534,4,1
1538804572,6,3
1538806855,11,9
1538808767,7,21
1538810669,7,14
1538812604,13,9
1538814505,3,17
1538816498,4,18
1538818342,4,12
1538820278,1,4
1538822217,7,8
1538824107,5,23
1538826023,0,20
1538827958,3,22
1538829879,1,22
1538831786,10,13
1538833962,14,19
1538835875,9,11
1538837794,6,8
1538839698,11,3
1538841684,10,9
1538843558,7,3
1538845508,6,11
1538847378,1,10
1538849328,9,7
1538851222,8,9
1538853146,5,8
1538855066,1,22
1538856997,7,14
1538858897,3,17
1538860837,5,22
1538862744,10,11
1538864676,7,9
1538866588,3,9
1538868503,2,10
1538870445,1,20
1538872358,3,4
1538874728,7,13
1538876686,6,19
1538878600,3,10
1538880514,7,5
1538882444,11,11
1538884338,5,7
1538886275,5,7
1538888213,4,8
1538890095,3,3
1538892176,9,8
1538894427,11,8
1538896354,12,11
1538898264,9,14
1538900193,14,5
1538902131,19,3
1538904018,5,1
1538905941,9,5
1538907864,1,7
1538909778,9,6
1538911718,17,2
1538914598,14,1
1538916510,7,3
1538918435,6,9
1538920370,3,15
1538922269,13,8
1538924204,8,9
1538926103,5,11
1538928111,2,13
1538929950,4,4
1538931920,4,5
1538933781,5,3
1538935956,13,11
1538937860,4,4
1538939801,4,4
1538941710,2,4
1538943628,3,8
1538945561,5,6
1538947480,16,5
1538949375,9,4
1538951324,4,11
1538953281,8,5
1538955167,5,1
1538957093,0,1
1538959218,3,3
1538961395,6,8
1538963307,3,2
1538965235,8,3
1538967154,5,6
1538969081,2,8
1538970985,7,6
1538972907,7,9
1538974885,11,2
1538976764,17,6
1538978681,3,10
1538980574,5,11
1538982506,2,11
1538984432,4,10
1538986361,5,15
1538988262,1,17
1538990201,5,6
1538992126,2,9
1538994037,5,1
1538995964,9,10
1538997861,5,17
1538999796,3,8
1539001716,3,2
1539003690,2,13
1539005557,1,5
1539007458,4,1
1539009639,9,16
1539011546,12,5
1539013478,10,2
1539015389,12,5
1539017293,16,3
1539019235,9,6
1539021150,6,7
1539023079,5,12
1539024979,3,4
1539027153,23,4
1539029100,5,5
1539030982,7,5
1539032868,7,6
1539034839,2,19
1539036764,10,12
1539038677,13,6
1539040613,9,11
1539042506,6,0
1539044439,11,3
1539046367,27,2
1539048304,16,7
1539050200,13,5
1539052096,10,9
1539054093,16,1
1539055959,14,6
1539057891,24,6
1539059809,20,5
1539061727,5,14
1539063622,5,15
1539065833,5,4
1539067703,3,1
1539069630,2,5
1539071805,9,4
1539073753,4,3
1539075864,4,2
1539078027,8,6
1539079954,4,7
