DateTime,AddedIPs,RemovedIPs
1538110596,31,17
1538112537,28,17
1538114496,27,16
1538116498,11,23
1538118516,41,7
1538120671,20,0
1538122613,26,0
1538124521,66,0
1538126447,38,0
1538128351,53,154
1538130266,82,391
1538132203,169,401
1538134116,443,385
1538136117,280,425
1538137968,15,317
1538139916,17,181
1538141796,8,17
1538143714,14,12
1538145624,12,23
1538147555,6,33
1538149471,8,16
1538151407,12,28
1538153306,35,12
1538155240,9,19
1538157148,34,9
1538159068,17,22
1538160993,14,17
1538162912,3,11
1538164898,8,23
1538166761,30,23
1538168732,24,32
1538170601,31,22
1538172521,43,37
1538174448,24,42
1538176753,22,23
1538178758,30,31
1538180669,26,21
1538182600,38,55
1538184494,46,12
1538186508,41,11
1538188358,37,9
1538190268,31,21
1538192207,24,11
1538194137,32,47
1538196029,27,18
1538197966,43,41
1538199866,39,20
1538201802,23,37
1538203705,35,16
1538205622,36,30
1538207545,16,18
1538209469,18,42
1538211393,20,48
1538213297,21,56
1538215323,23,36
1538217159,39,112
1538219327,34,329
1538221238,38,488
1538223144,41,129
1538225075,22,26
1538226994,22,9
1538228910,27,11
1538230833,25,15
1538232767,26,9
1538234669,15,10
1538236585,25,6
1538238502,19,32
1538241399,33,22
1538243323,13,37
1538245234,15,16
1538247157,21,18
1538249070,21,2
1538250996,17,5
1538252902,13,30
1538254898,15,28
1538256761,36,27
1538258669,15,45
1538260595,13,28
1538262522,12,15
1538264435,8,28
1538266363,28,32
1538268258,21,25
1538270192,23,47
1538272098,15,42
1538274038,19,38
1538275944,11,37
1538277884,24,28
1538279773,32,26
1538281796,35,28
1538283702,26,51
1538285545,33,34
1538287481,22,30
1538289373,16,21
1538291341,17,41
1538293249,14,35
1538295150,29,9
1538297086,15,23
1538298999,22,24
1538300919,15,16
1538302822,25,38
1538304743,9,33
1538306662,19,35
1538308907,18,40
1538310759,26,27
1538312714,11,21
1538314581,10,25
1538316505,33,30
1538318430,35,20
1538320348,30,20
1538322268,14,26
1538324195,21,16
1538326109,20,13
1538328026,41,29
1538329942,22,11
1538331869,21,19
1538333803,9,19
1538335702,32,20
1538337680,17,17
1538339547,13,14
1538341468,14,16
1538343401,15,37
1538345315,22,17
1538347226,28,10
1538349142,24,14
1538351084,37,15
1538352989,24,21
1538354907,16,21
1538356820,16,25
1538358749,21,15
1538360674,77,20
1538362577,65,12
1538364500,36,20
1538366492,30,36
1538368340,25,32
1538370308,19,27
1538372454,60,33
1538374367,47,25
1538376280,43,13
1538378195,51,20
1538380121,26,15
1538382022,66,25
1538383948,49,15
1538385860,35,22
1538387805,28,19
1538389709,24,17
1538391679,53,9
1538393546,31,20
1538395726,42,21
1538397634,41,24
1538399562,29,11
1538401464,49,15
1538403411,24,29
1538405303,32,44
1538407239,49,17
1538409158,29,12
1538411073,27,25
1538412975,34,21
1538414918,43,39
1538416897,39,20
1538418764,23,19
1538420693,27,10
1538422600,40,36
1538424523,33,11
1538426446,62,16
1538428615,11,16
1538430520,12,19
1538432412,15,20
1538434366,10,28
1538436278,17,29
1538438193,13,29
1538440101,31,28
1538442095,48,11
1538443953,19,18
1538445876,27,36
1538447780,35,71
1538449743,32,68
1538451641,24,32
1538453562,31,25
1538455704,29,23
1538457648,24,24
1538459541,18,57
1538461478,19,48
1538463377,15,43
1538465301,23,46
1538467306,14,30
1538469405,13,75
1538471335,20,42
1538473222,8,25
1538475171,32,29
1538477086,26,49
1538478982,19,33
1538480933,19,34
1538483085,12,41
1538484995,19,32
1538486893,3,49
1538488902,16,31
1538490749,6,27
1538492725,12,29
1538494600,6,51
1538496554,9,28
1538498438,5,21
1538500373,12,41
1538502281,4,53
1538504191,12,23
1538506108,10,25
1538508036,9,36
1538509947,6,42
1538511860,13,37
1538514079,17,47
1538515947,9,9
1538517877,21,18
1538519776,5,14
1538521727,20,13
1538523642,8,17
1538525564,19,18
1538527459,6,38
1538529389,15,40
1538531314,5,21
1538533233,15,32
1538535152,12,40
1538537074,11,24
1538538980,6,36
1538540900,7,24
1538543122,11,32
1538545014,6,19
1538547188,8,26
1538549082,6,10
1538550996,11,20
1538552919,9,18
1538554831,10,17
1538556761,7,16
1538558687,134,12
1538560600,195,19
1538562500,183,22
1538564484,202,28
1538566379,184,13
1538568345,191,22
1538570441,208,8
1538572341,183,20
1538574291,198,6
1538576184,99,15
1538578103,50,7
1538580032,75,9
1538581959,80,5
1538583873,16,9
1538585804,18,8
1538587696,50,7
1538589690,49,7
1538591555,101,6
1538593522,50,19
1538595379,67,3
1538597313,44,21
1538599476,32,6
1538601407,38,20
1538603306,30,17
1538605224,33,11
1538607148,20,12
1538609077,59,15
1538610986,48,11
1538612905,33,15
1538615070,19,11
1538616985,15,9
1538618912,19,14
1538620828,13,7
1538622745,16,19
1538624686,12,7
1538626594,35,6
1538628505,32,7
1538630413,23,7
1538632329,21,7
1538634268,20,7
1538636202,24,9
1538638115,21,8
1538640084,20,11
1538641961,21,14
1538643865,29,1
1538645801,15,177
1538647725,20,185
1538649642,32,195
1538651570,28,179
1538653477,39,186
1538655669,28,208
1538657548,22,190
1538659479,16,186
1538661414,17,196
1538663294,16,71
1538665284,16,58
1538667164,15,79
1538669088,31,53
1538671012,20,16
1538672932,27,34
1538674836,21,45
1538676742,18,56
1538678692,19,103
1538680592,11,43
1538682522,20,62
1538684443,17,46
1538686337,20,28
1538688275,28,38
1538690196,24,28
1538692118,31,35
1538694100,20,34
1538695951,14,48
1538697927,15,49
1538699775,12,29
1538701718,12,14
1538703873,7,19
1538705802,8,16
1538707732,6,16
1538709633,22,14
1538711552,17,14
1538713510,9,37
1538715388,8,39
1538717320,11,29
1538719284,19,16
1538721153,12,16
1538723114,15,29
1538724972,9,25
1538726928,19,17
1538728818,8,24
1538730998,20,27
1538732905,8,16
1538734837,17,27
1538736753,9,33
1538738667,7,31
1538740591,4,30
1538742523,4,27
1538744501,8,22
1538746354,2,15
1538748317,4,17
1538750427,4,16
1538752349,7,14
1538754294,4,28
1538756195,4,20
1538758347,0,27
1538760286,3,22
1538762200,7,19
1538764230,4,15
1538766092,9,15
1538767976,4,14
1538769882,17,24
1538771805,9,11
1538773706,28,33
1538775647,9,22
1538777567,26,33
1538779465,7,20
1538781396,14,23
1538783332,7,13
1538785238,21,16
1538787171,20,8
1538789136,13,14
1538791026,2,3
1538792940,9,7
1538794891,8,23
1538796761,10,14
1538798674,26,15
1538800613,4,5
1538802535,11,8
1538804573,5,12
1538806856,23,23
1538808768,9,10
1538810670,11,15
1538812606,21,18
1538814506,9,7
1538816500,27,16
1538818343,10,9
1538820279,33,18
1538822218,18,10
1538824109,32,10
1538826024,16,3
1538827959,31,5
1538829881,11,4
1538831787,7,6
1538833963,14,6
1538835876,18,0
1538837795,24,8
1538839699,26,4
1538841685,18,6
1538843559,18,1
1538845511,13,0
1538847379,9,6
1538849329,7,9
1538851223,14,5
1538853146,16,7
1538855067,12,5
1538856998,49,17
1538858898,19,14
1538860838,22,24
1538862745,15,14
1538864686,12,14
1538866589,7,15
1538868504,3,9
1538870463,26,14
1538872359,7,11
1538874729,25,29
1538876687,3,4
1538878601,30,4
1538880515,3,8
1538882445,29,9
1538884339,6,8
1538886276,13,6
1538888214,5,20
1538890096,3,4
1538892177,3,8
1538894428,3,7
1538896355,17,29
1538898265,2,10
1538900194,17,11
1538902132,2,18
1538904028,7,17
1538905942,2,21
1538907866,8,22
1538909779,3,21
1538911720,7,25
1538914599,8,43
1538916511,2,20
1538918436,11,10
1538920371,2,9
1538922269,6,12
1538924205,3,15
1538926104,3,11
1538928112,14,31
1538929951,5,17
1538931921,4,25
1538933782,5,15
1538935964,6,17
1538937861,2,6
1538939802,7,6
1538941711,2,13
1538943629,3,16
1538945562,2,32
1538947481,3,35
1538949375,3,16
1538951325,2,15
1538953283,3,24
1538955168,3,7
1538957096,4,2
1538959220,3,6
1538961406,3,27
1538963308,3,6
1538965236,3,18
1538967155,2,4
1538969082,5,14
1538970986,4,18
1538972908,3,27
1538974890,1,5
1538976765,4,8
1538978682,3,5
1538980575,1,1
1538982507,2,7
1538984433,3,3
1538986362,7,6
1538988263,1,2
1538990202,7,8
1538992127,2,2
1538994038,5,13
1538995965,4,1
1538997862,6,12
1538999797,4,4
1539001717,5,7
1539003698,5,6
1539005558,2,3
1539007459,6,6
1539009640,2,3
1539011547,9,5
1539013479,2,3
1539015390,7,6
1539017294,2,2
1539019236,5,3
1539021151,3,3
1539023080,5,7
1539024980,4,3
1539027154,5,3
1539029101,4,0
1539030983,2,6
1539032879,5,4
1539034841,1,1
1539036765,5,4
1539038678,7,2
1539040614,8,5
1539042507,6,3
1539044440,7,4
1539046368,7,0
1539048306,7,0
1539050201,1,3
1539052097,5,2
1539054094,7,3
1539055960,4,1
1539057892,9,4
1539059810,5,3
1539061728,7,7
1539063623,3,3
1539065834,7,4
1539067704,7,2
1539069631,5,3
1539071805,5,8
1539073754,7,3
1539075865,6,5
1539078028,5,2
1539079955,7,4
