DateTime,Entries,UniqueIPs
1538110597,1087,1087
1538112556,1092,1092
1538114499,1087,1087
1538116499,1084,1084
1538118517,1084,1084
1538120672,1094,1094
1538122620,1099,1099
1538124524,1102,1102
1538126451,1102,1102
1538128359,1112,1112
1538130268,1120,1120
1538132207,1100,1100
1538134117,1094,1094
1538136119,1092,1092
1538137978,1094,1094
1538139919,1091,1091
1538141798,1090,1090
1538143715,1080,1080
1538145629,1073,1073
1538147556,1072,1072
1538149473,1067,1067
1538151408,1083,1083
1538153307,1099,1099
1538155242,1114,1114
1538157150,1124,1124
1538159070,1131,1131
1538160995,1108,1108
1538162915,1111,1111
1538164900,1121,1121
1538166763,1151,1151
1538168736,1166,1166
1538170602,1175,1175
1538172523,1180,1180
1538174451,1190,1190
1538176755,1195,1195
1538178761,1202,1202
1538180671,1212,1212
1538182602,1226,1226
1538184496,1236,1236
1538186510,1247,1247
1538188360,1255,1255
1538190270,1265,1265
1538192209,1267,1267
1538194139,1275,1275
1538196031,1276,1276
1538197968,1286,1286
1538199868,1288,1288
1538201805,1306,1306
1538203706,1314,1314
1538205624,1317,1317
1538207547,1323,1323
1538209471,1319,1319
1538211405,1323,1323
1538213299,1319,1319
1538215336,1307,1307
1538217162,1297,1297
1538219330,1283,1283
1538221240,1275,1275
1538223152,1268,1268
1538225077,1271,1271
1538226997,1261,1261
1538228913,1259,1259
1538230836,1255,1255
1538232769,1254,1254
1538234671,1252,1252
1538236586,1196,1196
1538238504,1185,1185
1538240471,1167,1167
1538242355,1162,1162
1538244278,1161,1161
1538246194,1156,1156
1538248113,1144,1144
1538250031,1140,1140
1538251953,1117,1117
1538253861,1102,1102
1538255798,1092,1092
1538257691,1095,1095
1538259632,1097,1097
1538261572,1099,1099
1538263470,786,786
1538265386,791,791
1538267298,800,800
1538269273,786,786
1538271142,769,769
1538273076,750,750
1538274973,737,737
1538276920,731,731
1538278831,733,733
1538280748,728,728
1538282668,724,724
1538284580,715,715
1538286505,710,710
1538288433,697,697
1538290346,683,683
1538292265,687,687
1538294191,687,687
1538296097,686,686
1538298054,688,688
1538299940,688,688
1538301864,692,692
1538303803,694,694
1538305802,688,688
1538307623,690,690
1538309793,677,677
1538311698,666,666
1538313619,667,667
1538315551,912,912
1538317469,912,912
1538319389,903,903
1538321296,898,898
1538323257,894,894
1538325160,901,901
1538327065,891,891
1538328989,878,878
1538330911,1007,1007
1538332824,1009,1009
1538334738,1022,1022
1538336662,1065,1065
1538338608,1059,1059
1538340507,1072,1072
1538342425,1076,1076
1538344342,1078,1078
1538346264,1087,1087
1538348192,1085,1085
1538350104,1083,1083
1538352102,1074,1074
1538353946,1068,1068
1538355893,1065,1065
1538357779,1061,1061
1538359710,1074,1074
1538361698,1072,1072
1538363553,1073,1073
1538365481,1077,1077
1538367557,1074,1074
1538369558,1076,1076
1538371946,1083,1083
1538373905,1083,1083
1538375794,1080,1080
1538377724,1083,1083
1538379615,1077,1077
1538381559,1076,1076
1538383458,1072,1072
1538385409,1065,1065
1538387296,1058,1058
1538389237,1057,1057
1538391163,1055,1055
1538393182,1054,1054
1538395309,1062,1062
1538397155,1059,1059
1538399119,1065,1065
1538401009,1063,1063
1538402905,893,893
1538404838,895,895
1538406770,895,895
1538408671,893,893
1538410601,887,887
1538412509,881,881
1538414422,868,868
1538416358,868,868
1538418265,860,860
1538420187,845,845
1538422112,794,794
1538424117,797,797
1538425951,803,803
1538427887,797,797
1538430032,758,758
1538431951,745,745
