DateTime,Entries,UniqueIPs
1538110598,2727,2727
1538112557,2732,2732
1538114511,2741,2741
1538116500,2713,2713
1538118518,2724,2724
1538120673,2745,2745
1538122621,2745,2745
1538124525,2727,2727
1538126458,2646,2646
1538128359,2644,2644
1538130269,2649,2649
1538132214,2646,2646
1538134118,2641,2641
1538136120,2628,2628
1538137979,2628,2628
1538139920,2625,2625
1538141799,2638,2638
1538143716,2625,2625
1538145635,2597,2597
1538147557,2609,2609
1538149473,2624,2624
1538151409,2623,2623
1538153308,2659,2659
1538155243,2670,2670
1538157151,2680,2680
1538159071,2704,2704
1538160995,2703,2703
1538162915,2719,2719
1538164901,2732,2732
1538166764,2727,2727
1538168744,2740,2740
1538170603,2741,2741
1538172524,2729,2729
1538174452,2745,2745
1538176756,2747,2747
1538178770,2804,2804
1538180672,2791,2791
1538182603,2817,2817
1538184497,2825,2825
1538186511,2871,2871
1538188361,2857,2857
1538190271,2839,2839
1538192210,2831,2831
1538194139,2854,2854
1538196032,2850,2850
1538197969,2856,2856
1538199869,2842,2842
1538201805,2869,2869
1538203707,2854,2854
1538205625,2848,2848
1538207547,2890,2890
1538209481,2885,2885
1538211406,2879,2879
1538213300,2905,2905
1538215337,2894,2894
1538217162,4111,4111
1538219331,5987,5987
1538221241,6009,6009
1538223153,5999,5999
1538225078,6020,6020
1538226998,6017,6017
1538228914,6001,6001
1538230837,6058,6058
1538232770,6048,6048
1538234671,6026,6026
1538236594,6023,6023
1538238505,6034,6034
1538240473,6028,6028
1538242356,6022,6022
1538244279,6011,6011
1538246195,6014,6014
1538248114,6018,6018
1538250031,6023,6023
1538251954,5999,5999
1538253862,6009,6009
1538255798,6003,6003
1538257692,6012,6012
1538259633,6024,6024
1538261573,6082,6082
1538263471,6062,6062
1538265387,6047,6047
1538267299,6061,6061
1538269279,6057,6057
1538271143,5984,5984
1538273077,5990,5990
1538274974,6017,6017
1538276921,6043,6043
1538278838,6065,6065
1538280749,6045,6045
1538282669,6067,6067
1538284581,6091,6091
1538286506,6086,6086
1538288434,6100,6100
1538290347,6123,6123
1538292266,6176,6176
1538294192,6166,6166
1538296098,6170,6170
1538298074,6174,6174
1538299940,6159,6159
1538301865,6171,6171
1538303804,4420,4420
1538305802,2839,2839
1538307641,2832,2832
1538309794,2837,2837
1538311699,2818,2818
1538313626,2823,2823
1538315551,2830,2830
1538317470,2777,2777
1538319389,2799,2799
1538321297,2800,2800
1538323272,2809,2809
1538325161,2806,2806
1538327069,2808,2808
1538328989,2806,2806
1538330912,2817,2817
1538332825,2793,2793
1538334739,2784,2784
1538336663,2781,2781
1538338608,2792,2792
1538340508,2784,2784
1538342432,2798,2798
1538344342,2782,2782
1538346264,2778,2778
1538348192,2719,2719
1538350105,2723,2723
1538352103,2730,2730
1538353947,2722,2722
1538355894,2706,2706
1538357780,2714,2714
1538359711,2709,2709
1538361698,2689,2689
1538363554,2664,2664
1538365482,2651,2651
1538367558,2647,2647
1538369559,2633,2633
1538371946,2616,2616
1538373906,2614,2614
1538375794,2583,2583
1538377725,2531,2531
1538379615,2508,2508
1538381560,2529,2529
1538383458,2510,2510
1538385409,2516,2516
1538387297,2526,2526
1538389243,2520,2520
1538391163,2537,2537
1538393182,2545,2545
1538395310,2552,2552
1538397156,2551,2551
1538399127,2552,2552
1538401010,2554,2554
1538402906,2568,2568
1538404839,2572,2572
1538406770,2575,2575
1538408672,2575,2575
1538410607,2585,2585
1538412510,2583,2583
1538414422,2580,2580
1538416359,2583,2583
1538418266,2587,2587
1538420188,2576,2576
1538422118,2581,2581
1538424118,2563,2563
1538425952,2593,2593
1538427895,2596,2596
1538430038,2590,2590
1538431952,2586,2586
1538433865,2594,2594
1538435809,2570,2570
1538437707,2581,2581
1538439640,2565,2565
1538441553,2571,2571
1538443476,2583,2583
1538445390,2573,2573
1538447786,2568,2568
1538449745,2568,2568
1538451644,2566,2566
1538453565,2572,2572
1538455707,2536,2536
1538457658,2521,2521
1538459543,2524,2524
1538461481,2509,2509
1538463379,2519,2519
1538465303,2526,2526
1538467309,2523,2523
1538469408,2519,2519
1538471338,2512,2512
1538473224,2513,2513
1538475174,2525,2525
1538477089,2517,2517
1538478984,2528,2528
1538480935,2526,2526
1538483088,2551,2551
1538484997,2562,2562
1538486896,2557,2557
1538488904,2562,2562
1538490751,2550,2550
1538492729,3059,3059
1538494602,3045,3045
1538496557,3022,3022
1538498440,3047,3047
1538500376,3039,3039
1538502283,3040,3040
1538504194,3034,3034
1538506128,3026,3026
1538508038,3045,3045
1538509949,3031,3031
1538511863,3021,3021
1538514093,3026,3026
1538515950,3039,3039
1538517879,3059,3059
1538519778,3085,3085
1538521737,3071,3071
1538523646,3066,3066
1538525566,3060,3060
1538527461,3065,3065
1538529399,3074,3074
1538531316,3066,3066
1538533243,3081,3081
1538535155,3075,3075
1538537077,3077,3077
1538538990,3074,3074
1538540902,3092,3092
1538543127,3117,3117
1538545017,3114,3114
1538547194,3146,3146
1538549085,3163,3163
1538550999,3150,3150
1538552921,3167,3167
1538554834,3189,3189
1538556764,3185,3185
1538558689,3209,3209
1538560603,3199,3199
1538562506,3185,3185
1538564492,3178,3178
1538566396,3208,3208
1538568348,3193,3193
1538570443,3170,3170
1538572343,3175,3175
1538574293,3179,3179
1538576186,3197,3197
1538578106,2673,2673
1538580037,2692,2692
1538581962,2710,2710
1538583876,2719,2719
1538585807,2699,2699
1538587707,2698,2698
1538589693,2707,2707
1538591557,2727,2727
1538593534,2741,2741
1538595381,2727,2727
1538597315,2745,2745
1538599478,2747,2747
1538601409,2755,2755
1538603309,2768,2768
1538605228,2767,2767
1538607151,2780,2780
1538609079,2819,2819
1538610989,2840,2840
1538612908,2868,2868
1538615073,2876,2876
1538616987,2902,2902
1538618914,2909,2909
1538620837,2934,2934
1538622747,2947,2947
1538624688,2977,2977
1538626597,2975,2975
1538628507,2981,2981
1538630415,2981,2981
1538632331,2989,2989
1538634271,2981,2981
1538636204,2990,2990
1538638118,2999,2999
1538640086,3000,3000
1538641963,3014,3014
1538643867,3013,3013
1538645803,3007,3007
1538647727,3014,3014
1538649652,3018,3018
1538651586,3009,3009
1538653479,2993,2993
1538655672,3004,3004
1538657550,2992,2992
1538659481,2968,2968
1538661424,2958,2958
1538663296,2961,2961
1538665301,2949,2949
1538667166,2967,2967
1538669097,2987,2987
1538671024,3010,3010
1538672934,3040,3040
1538674839,3071,3071
1538676744,3079,3079
1538678694,3114,3114
1538680595,3140,3140
1538682529,3170,3170
1538684446,3180,3180
1538686348,3195,3195
1538688277,3231,3231
1538690198,3269,3269
1538692120,3278,3278
1538694103,3322,3322
1538695953,3351,3351
1538697931,3379,3379
1538699778,3405,3405
1538701724,3455,3455
1538703876,3492,3492
1538705814,3535,3535
1538707735,3562,3562
1538709636,3584,3584
1538711555,3639,3639
1538713518,3675,3675
1538715391,3732,3732
1538717322,3762,3762
1538719287,3805,3805
1538721155,3860,3860
1538723117,3905,3905
1538724974,3910,3910
1538726932,3920,3920
1538728821,3947,3947
1538731001,3998,3998
1538732907,4032,4032
1538734839,4057,4057
1538736757,4106,4106
1538738670,4168,4168
1538740594,4227,4227
1538742527,4256,4256
1538744504,4321,4321
1538746357,4371,4371
1538748320,4432,4432
1538750430,4453,4453
1538752351,4478,4478
1538754296,4501,4501
1538756198,4552,4552
1538758350,4595,4595
1538760289,4626,4626
1538762203,4655,4655
1538764234,4687,4687
1538766096,4697,4697
1538767979,4702,4702
1538769888,4714,4714
1538771808,4733,4733
1538773709,4738,4738
1538775650,4730,4730
1538777570,4707,4707
1538779468,4720,4720
1538781399,4686,4686
1538783335,4674,4674
1538785240,4682,4682
1538787173,4658,4658
1538789138,4655,4655
1538791029,4645,4645
1538792951,4653,4653
1538794904,4651,4651
1538796764,4648,4648
1538798676,4621,4621
1538800615,4628,4628
1538802538,4628,4628
1538804575,4630,4630
1538806859,4619,4619
1538808770,4631,4631
1538810672,4645,4645
1538812609,4667,4667
1538814508,4657,4657
1538816503,4637,4637
1538818354,4627,4627
1538820301,4634,4634
1538822220,4620,4620
1538824112,4742,4742
1538826026,4714,4714
1538827962,4706,4706
1538829883,4715,4715
1538831789,4714,4714
1538833965,4698,4698
1538835879,4693,4693
