DateTime,Entries,UniqueIPs
1538110598,3128,3128
1538112557,3139,3139
1538114512,3150,3150
1538116500,3138,3138
1538118518,3172,3172
1538120674,3192,3192
1538122621,3219,3219
1538124525,3284,3284
1538126458,3323,3323
1538128360,3219,3219
1538130269,2912,2912
1538132214,2678,2678
1538134118,2739,2739
1538136120,2593,2593
1538137979,2290,2290
1538139920,2127,2127
1538141800,2118,2118
1538143716,2120,2120
1538145635,2109,2109
1538147557,2082,2082
1538149474,2074,2074
1538151409,2058,2058
1538153308,2081,2081
1538155243,2071,2071
1538157151,2096,2096
1538159071,2091,2091
1538160996,2088,2088
1538162916,2080,2080
1538164902,2065,2065
1538166764,2072,2072
1538168744,2064,2064
1538170603,2073,2073
1538172525,2079,2079
1538174452,2061,2061
1538176757,2060,2060
1538178771,2060,2060
1538180673,2064,2064
1538182603,2047,2047
1538184497,2081,2081
1538186511,2111,2111
1538188362,2139,2139
1538190271,2149,2149
1538192210,2162,2162
1538194140,2147,2147
1538196032,2157,2157
1538197969,2158,2158
1538199869,2177,2177
1538201806,2163,2163
1538203707,2181,2181
1538205625,2188,2188
1538207548,2186,2186
1538209481,2162,2162
1538211407,2133,2133
1538213300,2099,2099
1538215338,2087,2087
1538217163,2013,2013
1538219331,1718,1718
1538221241,1267,1267
1538223153,1181,1181
1538225087,1176,1176
1538226998,1189,1189
1538228914,1205,1205
1538230837,1217,1217
1538232771,1232,1232
1538234672,1237,1237
1538236594,1256,1256
1538238505,1243,1243
1538240474,1250,1250
1538242356,1241,1241
1538244280,1228,1228
1538246195,1225,1225
1538248114,1239,1239
1538250032,1264,1264
1538251954,1251,1251
1538253862,1236,1236
1538255799,1245,1245
1538257693,1223,1223
1538259634,1197,1197
1538261573,1196,1196
1538263471,1182,1182
1538265387,1171,1171
1538267299,1172,1172
1538269280,1159,1159
1538271143,1125,1125
1538273078,1108,1108
1538274974,1081,1081
1538276921,1067,1067
1538278838,1069,1069
1538280750,1070,1070
1538282669,1073,1073
1538284582,1060,1060
1538286506,1049,1049
1538288434,1044,1044
1538290347,1023,1023
1538292266,1004,1004
1538294193,1004,1004
1538296098,1008,1008
1538298075,1006,1006
1538299941,1007,1007
1538301866,996,996
1538303804,979,979
1538305803,959,959
1538307641,941,941
1538309794,920,920
1538311699,922,922
1538313626,916,916
1538315552,907,907
1538317470,912,912
1538319390,931,931
1538321297,929,929
1538323276,925,925
1538325161,925,925
1538327072,932,932
1538328990,946,946
1538330913,957,957
1538332825,947,947
1538334739,948,948
1538336663,952,952
1538338609,956,956
1538340510,956,956
1538342432,941,941
1538344343,932,932
1538346265,946,946
1538348193,957,957
1538350105,984,984
1538352103,991,991
1538353947,989,989
1538355894,980,980
1538357780,977,977
1538359711,1007,1007
1538361699,1073,1073
1538363554,1106,1106
1538365482,1107,1107
1538367558,1097,1097
1538369559,1092,1092
1538371947,1105,1105
1538373906,1137,1137
1538375795,1158,1158
1538377725,1198,1198
1538379616,1206,1206
1538381560,1227,1227
1538383459,1278,1278
1538385410,1293,1293
1538387297,1308,1308
1538389243,1312,1312
1538391164,1345,1345
1538393183,1366,1366
1538395310,1392,1392
1538397156,1409,1409
1538399127,1411,1411
1538401010,1459,1459
1538402906,1456,1456
1538404839,1447,1447
1538406771,1450,1450
1538408672,1487,1487
1538410608,1490,1490
1538412510,1503,1503
1538414423,1493,1493
1538416359,1521,1521
1538418266,1524,1524
1538420188,1541,1541
1538422118,1553,1553
1538424118,1569,1569
1538425952,1594,1594
1538427911,1619,1619
1538430039,1611,1611
1538431952,1601,1601
1538433865,1587,1587
1538435809,1573,1573
1538437707,1560,1560
1538439641,1563,1563
1538441554,1582,1582
1538443476,1598,1598
1538445390,1597,1597
1538447787,1553,1553
1538449746,1518,1518
1538451645,1510,1510
1538453565,1516,1516
1538455707,1522,1522
1538457658,1522,1522
1538459544,1483,1483
1538461481,1454,1454
1538463380,1426,1426
1538465304,1402,1402
1538467309,1388,1388
1538469408,1325,1325
1538471338,1303,1303
1538473224,1286,1286
1538475175,1289,1289
1538477090,1266,1266
1538478985,1252,1252
1538480936,1237,1237
1538483088,1208,1208
1538484998,1195,1195
1538486896,1149,1149
1538488905,1134,1134
1538490751,1113,1113
1538492729,1096,1096
1538494603,1051,1051
1538496557,1032,1032
1538498441,1016,1016
1538500376,987,987
1538502284,938,938
1538504194,927,927
1538506128,913,913
1538508038,885,885
1538509950,849,849
1538511863,825,825
1538514094,795,795
1538515950,795,795
1538517879,798,798
1538519779,789,789
1538521737,796,796
1538523646,787,787
1538525566,788,788
1538527461,756,756
1538529399,731,731
1538531316,715,715
1538533243,698,698
1538535155,670,670
1538537077,657,657
1538538990,627,627
1538540902,609,609
1538543127,589,589
1538545017,576,576
1538547194,558,558
1538549085,554,554
1538550999,545,545
1538552921,536,536
1538554835,529,529
1538556764,520,520
1538558689,642,642
1538560603,818,818
1538562507,980,980
1538564492,1154,1154
1538566396,1326,1326
1538568348,1493,1493
1538570443,1693,1693
1538572344,1856,1856
1538574294,2048,2048
1538576187,2132,2132
1538578107,2175,2175
1538580037,2241,2241
1538581962,2316,2316
1538583876,2323,2323
1538585807,2333,2333
1538587708,2376,2376
1538589693,2419,2419
1538591557,2513,2513
1538593535,2544,2544
1538595381,2608,2608
1538597315,2631,2631
1538599479,2657,2657
1538601410,2675,2675
1538603309,2688,2688
1538605228,2710,2710
1538607151,2718,2718
1538609080,2762,2762
1538610989,2799,2799
1538612908,2817,2817
1538615074,2825,2825
1538616987,2831,2831
1538618915,2836,2836
1538620838,2842,2842
1538622747,2839,2839
1538624689,2844,2844
1538626597,2873,2873
1538628508,2898,2898
1538630416,2914,2914
1538632331,2928,2928
1538634271,2941,2941
1538636205,2956,2956
1538638118,2969,2969
1538640087,2978,2978
1538641963,2985,2985
1538643867,3013,3013
1538645803,2851,2851
1538647727,2685,2685
1538649653,2522,2522
1538651586,2369,2369
1538653480,2225,2225
1538655672,2045,2045
1538657550,1877,1877
1538659481,1707,1707
1538661424,1528,1528
1538663296,1473,1473
1538665302,1429,1429
1538667166,1367,1367
1538669100,1345,1345
1538671025,1349,1349
1538672934,1342,1342
