DateTime,AddedIPs,RemovedIPs
1538092921,2,3
1538094947,1,2
1538096897,2,1
1538099098,2,2
1538101017,3,2
1538102922,4,6
1538104834,3,3
1538106777,6,3
1538108690,3,2
1538110600,2,1
1538112558,0,3
1538114514,1,4
1538116501,6,2
1538118520,2,1
1538120675,2,3
1538122622,4,2
1538124528,1,1
1538126459,1,0
1538128361,3,8
1538130284,5,0
1538132215,10,1
1538134119,1,2
1538136121,4,3
1538137981,3,2
1538139922,3,4
1538141801,4,3
1538143717,4,2
1538145637,11,43
1538147559,9,5
1538149475,6,1
1538151411,21,3
1538153310,40,4
1538155248,9,5
1538157152,4,5
1538159073,7,0
1538160997,3,0
1538162918,1,2
1538164905,1,5
1538166765,4,7
1538168746,37,13
1538170605,1,1
1538172526,4,1
1538174453,1,5
1538176758,4,1
1538178772,52,5
1538180674,1,1
1538182604,4,1
1538184499,1,4
1538186513,1,2
1538188363,3,4
1538190273,1,4
1538192211,6,7
1538194141,6,2
1538196033,0,2
1538197970,1,1
1538199870,1,1
1538201807,29,2
1538203709,3,6
1538205630,2,3
1538207549,55,4
1538209483,2,3
1538211408,1,1
1538215339,0,4
1538217164,1250,4
1538219333,1900,9
1538221243,0,3
1538223155,1,1
1538225096,0,2
1538227003,2,3
1538228919,1,1
1538230839,59,2
1538232772,5,3
1538234673,1,5
1538238508,2,3
1538240476,0,2
1538242358,2,2
1538244281,3,2
1538246197,2,4
1538248116,2,1
1538250033,1,0
1538251956,3,2
1538253864,4,3
1538255800,2,1
1538257694,1,1
1538259635,2,2
1538261575,61,0
1538263473,3,6
1538265389,0,1
1538267301,3,0
1538269282,4,3
1538271145,2,2
1538273079,4,1
1538274975,9,3
1538276922,6,3
1538278840,3,4
1538280751,0,4
1538282671,0,2
1538284583,1,1
1538286507,1,0
1538288436,2,0
1538290349,16,1
1538292267,63,1
1538294194,2,0
1538296100,5,3
1538298078,0,3
1538301867,1,1
1538303806,3,1771
1538305804,3,1594
1538307646,2,3
1538309796,1,2
1538311701,3,3
1538313627,5,1
1538315553,1,0
1538317471,2,59
1538319391,5,6
1538321299,5,3
1538323282,5,3
1538325163,1,0
1538327077,4,0
1538328991,1,4
1538330923,2,1
1538332827,4,3
1538334740,2,2
1538336665,3,4
1538338610,5,3
1538340512,7,4
