DateTime,Entries,UniqueIPs
1538110599,1343,1343
1538112558,1345,1345
1538114514,1344,1344
1538116501,1322,1322
1538118519,1320,1320
1538120675,1336,1336
1538122622,1318,1318
1538124527,1306,1306
1538126459,1308,1308
1538128360,1315,1315
1538130284,1307,1307
1538132215,1305,1305
1538134119,1303,1303
1538136121,1295,1295
1538137980,1303,1303
1538139922,1301,1301
1538141800,1308,1308
1538143717,1310,1310
1538145636,1320,1320
1538147558,1319,1319
1538149475,1308,1308
1538151410,1295,1295
1538153309,1297,1297
1538155248,1308,1308
1538157152,1322,1322
1538159072,1331,1331
1538160997,1333,1333
1538162918,1342,1342
1538164904,1358,1358
1538166765,1363,1363
1538168745,1357,1357
1538170604,1365,1365
1538172526,1358,1358
1538174453,1370,1370
1538176758,1372,1372
1538178772,1370,1370
1538180673,1364,1364
1538182604,1380,1380
1538184498,1403,1403
1538186512,1461,1461
1538188362,1461,1461
1538190272,1455,1455
1538192211,1457,1457
1538194141,1475,1475
1538196033,1465,1465
1538197970,1468,1468
1538199870,1482,1482
1538201806,1488,1488
1538203708,1497,1497
1538205630,1496,1496
1538207549,1499,1499
1538209482,1508,1508
1538211407,1509,1509
1538213301,1522,1522
1538215339,1524,1524
1538217164,1523,1523
1538219332,1522,1522
1538221242,1540,1540
1538223154,1534,1534
1538225088,1548,1548
1538227003,1543,1543
1538228918,1529,1529
1538230838,1527,1527
1538232772,1522,1522
1538234673,1516,1516
1538236595,1509,1509
1538238508,1512,1512
1538240475,1511,1511
1538242358,1507,1507
1538244281,1494,1494
1538246196,1504,1504
1538248115,1504,1504
1538250033,1506,1506
1538251956,1488,1488
1538253863,1499,1499
1538255800,1506,1506
1538257693,1519,1519
1538259635,1535,1535
1538261574,1534,1534
1538263472,1517,1517
1538265388,1505,1505
1538267300,1527,1527
1538269281,1525,1525
1538271145,1439,1439
1538273079,1445,1445
1538274975,1459,1459
1538276922,1468,1468
1538278839,1463,1463
1538280750,1444,1444
1538282670,1460,1460
1538284582,1463,1463
1538286507,1458,1458
1538288435,1469,1469
1538290348,1471,1471
1538292267,1465,1465
1538294193,1458,1458
1538296100,1463,1463
1538298078,1474,1474
1538299942,1468,1468
1538301866,1468,1468
1538303805,1457,1457
1538305803,1446,1446
1538307645,1439,1439
1538309795,1454,1454
1538311700,1442,1442
1538313627,1444,1444
1538315553,1442,1442
1538317471,1448,1448
1538319390,1449,1449
1538321299,1452,1452
1538323281,1449,1449
1538325162,1457,1457
1538327073,1461,1461
1538328991,1457,1457
1538330923,1474,1474
1538332826,1462,1462
1538334740,1469,1469
1538336664,1470,1470
1538338610,1470,1470
1538340511,1456,1456
1538342433,1468,1468
1538344344,1450,1450
1538346265,1443,1443
1538348193,1439,1439
1538350106,1446,1446
1538352104,1436,1436
1538353948,1420,1420
1538355895,1409,1409
1538357781,1420,1420
1538359712,1422,1422
1538361700,1411,1411
1538363555,1391,1391
1538365483,1391,1391
1538367559,1388,1388
1538369560,1392,1392
1538371948,1378,1378
1538373907,1367,1367
1538375795,1349,1349
1538377726,1344,1344
1538379616,1328,1328
1538381561,1337,1337
1538383460,1314,1314
1538385410,1312,1312
1538387298,1317,1317
1538389256,1318,1318
1538391165,1328,1328
1538393184,1338,1338
1538395312,1325,1325
1538397157,1317,1317
1538399128,1319,1319
1538401011,1320,1320
1538402907,1334,1334
1538404840,1325,1325
1538406772,1325,1325
1538408673,1326,1326
1538410609,1337,1337
1538412511,1318,1318
1538414424,1320,1320
1538416360,1326,1326
1538418267,1324,1324
1538420189,1311,1311
1538422119,1314,1314
1538424119,1308,1308
1538425962,1327,1327
1538427932,1318,1318
1538430039,1319,1319
1538431953,1321,1321
1538433866,1326,1326
1538435810,1303,1303
1538437714,1315,1315
1538439642,1311,1311
1538441555,1321,1321
1538443477,1317,1317
1538445391,1304,1304
1538447788,1299,1299
1538449746,1303,1303
1538451647,1313,1313
1538453566,1308,1308
1538455708,1274,1274
1538457659,1264,1264
1538459545,1276,1276
1538461493,1260,1260
1538463380,1271,1271
1538465305,1285,1285
1538467310,1287,1287
1538469409,1285,1285
1538471339,1290,1290
1538473243,1281,1281
1538475176,1284,1284
1538477099,1288,1288
1538478985,1292,1292
1538480936,1287,1287
1538483089,1299,1299
1538484998,1298,1298
1538486897,1293,1293
1538488906,1301,1301
1538490752,1297,1297
1538492730,1830,1830
1538494604,1832,1832
1538496558,1818,1818
1538498442,1841,1841
1538500378,1849,1849
1538502285,1849,1849
1538504195,1852,1852
1538506129,1850,1850
1538508039,1866,1866
1538509950,1857,1857
1538511864,1859,1859
1538514096,1868,1868
1538515951,1877,1877
1538517881,1897,1897
1538519779,1908,1908
1538521738,1908,1908
1538523647,1911,1911
1538525567,1916,1916
1538527471,1921,1921
1538529400,1936,1936
1538531317,1931,1931
1538533247,1938,1938
1538535156,1941,1941
1538537078,1939,1939
1538538991,1950,1950
1538540903,1968,1968
1538543128,2000,2000
1538545018,1997,1997
1538547202,2036,2036
1538549086,2053,2053
1538551000,2037,2037
1538552922,2052,2052
1538554839,2057,2057
1538556765,2059,2059
1538558690,2056,2056
1538560604,2059,2059
1538562508,2064,2064
1538564497,2073,2073
1538566397,2094,2094
1538568349,2094,2094
1538570444,2094,2094
1538572345,2102,2102
1538574294,2101,2101
1538576188,2111,2111
1538578107,1567,1567
1538580038,1597,1597
1538581963,1612,1612
1538583877,1619,1619
1538585808,1601,1601
1538587709,1600,1600
1538589695,1593,1593
1538591558,1609,1609
1538593536,1621,1621
1538595382,1611,1611
1538597316,1607,1607
1538599480,1594,1594
1538601410,1600,1600
1538603310,1609,1609
1538605229,1616,1616
1538607156,1627,1627
1538609081,1645,1645
1538610990,1654,1654
1538612916,1668,1668
1538615076,1662,1662
1538616988,1683,1683
1538618916,1686,1686
1538620839,1686,1686
1538622748,1692,1692
1538624689,1706,1706
1538626598,1708,1708
1538628509,1709,1709
1538630416,1701,1701
1538632332,1695,1695
1538634272,1680,1680
1538636206,1670,1670
1538638119,1677,1677
1538640088,1671,1671
1538641964,1678,1678
1538643868,1677,1677
1538645804,1692,1692
1538647728,1685,1685
1538649653,1684,1684
1538651587,1673,1673
1538653481,1675,1675
1538655673,1672,1672
1538657551,1666,1666
1538659482,1651,1651
1538661425,1645,1645
1538663297,1635,1635
1538665303,1599,1599
1538667167,1569,1569
1538669102,1565,1565
1538671025,1568,1568
1538672935,1562,1562
1538674841,1561,1561
1538676754,1547,1547
1538678696,1555,1555
1538680596,1542,1542
1538682531,1548,1548
1538684451,1546,1546
1538686349,1535,1535
1538688279,1531,1531
1538690199,1545,1545
1538692122,1527,1527
1538694104,1543,1543
1538695954,1524,1524
1538697932,1513,1513
1538699779,1523,1523
1538701725,1530,1530
1538703877,1530,1530
1538705815,1541,1541
1538707740,1554,1554
1538709637,1552,1552
1538711556,1570,1570
1538713521,1577,1577
1538715392,1577,1577
1538717324,1600,1600
1538719288,1621,1621
1538721156,1648,1648
1538723118,1659,1659
1538724975,1649,1649
1538726933,1655,1655
1538728826,1658,1658
1538731013,1676,1676
1538732909,1677,1677
1538734840,1675,1675
1538736759,1691,1691
1538738672,1715,1715
1538740595,1739,1739
1538742528,1740,1740
1538744505,1767,1767
1538746358,1773,1773
1538748327,1798,1798
1538750431,1806,1806
1538752353,1825,1825
1538754297,1838,1838
1538756199,1850,1850
1538758351,1873,1873
1538760290,1891,1891
1538762206,1914,1914
1538764239,1942,1942
1538766101,1971,1971
1538767980,1985,1985
1538769894,1996,1996
1538771809,2013,2013
1538773710,2028,2028
1538775651,2037,2037
1538777571,2034,2034
1538779469,2052,2052
1538781400,2049,2049
1538783336,2058,2058
1538785242,2065,2065
1538787174,2057,2057
1538789140,2063,2063
1538791030,2043,2043
1538792953,2049,2049
1538794905,2048,2048
1538796765,2037,2037
1538798677,2024,2024
1538800616,2036,2036
1538802539,2028,2028
1538804576,2022,2022
1538806877,1994,1994
1538808771,1997,1997
1538810673,2003,2003
1538812610,2000,2000
1538814510,1988,1988
1538816504,1994,1994
1538818355,1990,1990
1538820310,1994,1994
1538822222,1998,1998
1538824113,1970,1970
1538826027,1956,1956
1538827963,1964,1964
1538829884,1978,1978
1538831790,1987,1987
1538833968,1979,1979
1538835881,1979,1979
1538837799,1992,1992
1538839702,2011,2011
1538841689,2002,2002
1538843563,1985,1985
1538845517,2054,2054
1538847383,2056,2056
1538849358,2055,2055
1538851234,2081,2081
1538853160,2071,2071
1538855070,2076,2076
1538857002,2094,2094
1538858903,2096,2096
1538860842,2075,2075
1538862748,2079,2079
1538864690,2080,2080
1538866593,2085,2085
1538868508,1983,1983
1538870526,1981,1981
1538872363,1984,1984
1538874734,1993,1993
1538876697,2002,2002
1538878605,2004,2004
1538880519,1993,1993
1538882449,2002,2002
1538884342,2000,2000
1538886280,1995,1995
1538888218,1984,1984
1538890101,1971,1971
1538892182,1984,1984
1538894440,1969,1969
1538896359,1949,1949
1538898268,1953,1953
1538900198,1954,1954
1538902136,1959,1959
1538904036,1954,1954
1538905946,1968,1968
1538907869,1969,1969
1538909783,1967,1967
1538911724,1989,1989
1538913701,1983,1983
1538915560,1973,1973
1538917516,1965,1965
1538919388,1966,1966
1538921305,1962,1962
1538923224,1959,1959
1538925138,1936,1936
1538927062,1930,1930
1538928991,1909,1909
1538930901,1913,1913
1538932830,1825,1825
1538935501,1809,1809
1538937394,1799,1799
1538939318,1789,1789
1538941221,1770,1770
1538943142,1753,1753
1538945077,1734,1734
1538946999,1730,1730
1538948902,1708,1708
1538950845,1686,1686
1538952744,1684,1684
1538954661,1683,1683
1538956579,1663,1663
1538958502,1648,1648
1538960487,1634,1634
1538962364,1611,1611
1538964281,1590,1590
1538966177,1585,1585
1538968126,1581,1581
1538970037,1565,1565
1538971956,1545,1545
1538973875,1542,1542
1538975812,1538,1538
1538977727,1527,1527
1538979889,1508,1508
1538981778,1515,1515
1538983717,1507,1507
1538985691,1488,1488
1538987541,1470,1470
1538989460,1452,1452
1538991640,1437,1437
1538993550,1416,1416
1538995483,1405,1405
1538997405,1398,1398
1538999303,1385,1385
1539001241,1377,1377
1539003148,1388,1388
1539005086,1380,1380
1539007023,1396,1396
1539009149,1393,1393
1539011138,1406,1406
1539012986,1411,1411
1539014963,1429,1429
1539016832,1434,1434
1539018743,1442,1442
1539020683,1456,1456
1539022606,1462,1462
1539024527,1464,1464
1539026703,1460,1460
1539028592,1469,1469
1539030516,1470,1470
1539032892,1506,1506
1539034844,1520,1520
1539036769,1526,1526
1539038682,1530,1530
1539040618,1519,1519
1539042511,1525,1525
1539044451,1544,1544
1539046373,1557,1557
1539048310,1563,1563
1539050205,1573,1573
1539052101,1603,1603
1539054124,1624,1624
1539055972,1620,1620
1539057898,1635,1635
1539059814,1640,1640
1539061732,1639,1639
1539063627,1669,1669
1539065846,1680,1680
1539067723,1682,1682
1539069634,1706,1706
1539071809,1736,1736
1539073764,1662,1662
1539075870,1683,1683
1539078040,1703,1703
1539079960,1712,1712
