DateTime,AddedIPs,RemovedIPs
1538026837,3,3
1538028787,1,1
1538032639,3,2
1538034785,4,2
1538038595,2,0
1538040512,1,5
1538042507,1,0
1538044471,4,1
1538046335,1,3
1538048201,1,0
1538050154,2,1
1538052032,1,2
1538053960,1,0
1538055879,1,0
1538057815,3,0
1538059717,1,1
1538061801,2,1
1538063779,1,2
1538065957,0,2
1538067877,1,1
1538069806,2,1
1538071721,1,1
1538075575,1,1
1538077495,0,1
1538079402,0,2
1538081325,0,2
1538083248,0,4
1538087090,0,3
1538090915,0,1
1538092921,0,1
1538096897,0,2
1538099098,8,0
1538101017,3,1
1538102922,4,1
1538104834,0,1
1538106786,4,3
1538108699,2,2
1538110600,2,2
1538112559,2,2
1538114514,1,2
1538116502,3,0
1538118520,1,1
1538120676,3,4
1538122623,5,2
1538124528,2,0
1538126459,4,2
1538128361,3,1
1538130285,2,2
1538132216,1,3
1538134120,4,1
1538136122,1,1
1538137981,1,1
1538139922,4,1
1538141801,1,0
1538143718,1,3
1538145637,2,1
1538147559,1,2
1538149475,1,2
1538151419,3,0
1538155249,2,3
1538157153,2,2
1538160997,2,1
1538162919,1,1
1538168746,1,0
1538170605,1,1
1538184499,0,6
1538186513,1,6
1538188363,1,2
1538190273,0,2
1538192212,0,1
1538194142,3,3
1538196034,1,2
1538197971,4,3
1538199871,1,0
1538201807,1,1
1538203709,2,2
1538205631,1,1
1538207549,3,2
1538209483,2,5
1538211409,2,4
1538213302,5,2
1538215339,2,4
1538217164,531,2
1538219333,53,4
1538221243,1,1
1538223155,0,1
1538225096,0,4
1538227004,2,2
1538230839,1,1
1538232773,0,1
1538234674,1,1
1538236596,1,1
1538238509,3,2
1538240478,1,0
1538242359,0,2
1538244281,0,1
1538246197,0,1
1538248116,0,2
1538250033,1,1
1538251957,2,0
1538253864,1,1
1538255801,0,1
1538263473,2,1
1538265389,1,0
1538267301,1,0
1538269282,4,0
1538273079,3,1
1538274976,2,1
1538276923,2,2
1538278840,2,0
1538280756,1,3
1538282671,1,1
1538284583,2,4
1538286508,1,1
1538288436,3,1
1538290349,1,0
1538292268,0,1
1538294194,0,4
1538296100,1,2
1538298079,0,1
1538299943,1,7
1538301867,0,1
1538303806,0,582
1538305804,1,1
1538307646,2,1
1538309796,2,0
1538311701,1,0
1538313628,2,1
1538315553,3,0
1538317472,2,1
1538319391,3,0
1538321299,0,1
1538323283,0,1
1538325163,1,3
1538327090,1,2
1538334740,0,1
1538336665,1,1
1538338610,0,2
1538340514,4,1
1538342434,1,0
1538346266,1,0
1538350106,0,1
1538352105,3,1
1538353949,2,1
1538355896,2,4
1538357782,2,0
1538359712,2,4
1538361701,0,4
1538365484,0,2
1538367560,0,1
1538369561,0,1
1538371948,4,3
1538373908,1,1
1538375796,0,2
1538377727,1,1
1538379617,1,0
1538381562,1,0
1538383460,0,2
1538385411,2,1
1538387299,3,0
1538389257,1,0
1538391165,2,0
1538393184,1,1
1538395315,1,1
1538397158,0,1
1538399129,1,1
1538401012,1,4
1538402908,0,1
1538404841,1,1
1538406772,0,2
1538408673,2,0
1538410609,1,0
1538412512,1,0
1538418268,1,1
1538420190,0,2
1538422120,1,1
1538424120,3,0
1538425962,2,1
1538427935,6,3
1538430040,1,0
1538431954,8,0
1538433867,8,1
1538435811,6,0
1538437715,6,3
1538439643,4,1
1538441555,2,3
1538443477,2,2
1538445392,2,2
1538447788,2,2
1538449747,1,0
1538451648,1,0
1538453566,2,1
1538455708,6,0
1538457660,2,2
1538459545,3,2
1538461494,8,0
1538463382,2,0
1538465305,5,3
1538467311,1,2
1538469409,7,0
1538471340,6,1
1538473244,3,2
1538475176,3,2
1538477100,1,0
1538478986,1,2
1538480937,2,1
1538483090,0,1
1538484999,5,0
1538486898,1,0
1538488907,2,2
1538490753,3,0
1538492731,0,1
1538494605,4,0
1538496558,2,1
1538498443,0,1
1538500378,3,1
1538502285,1,0
1538504196,2,2
1538508040,0,2
1538509951,0,1
1538511865,2,1
1538514097,0,1
1538515951,4,2
1538517881,3,7
1538519780,4,7
1538521739,0,3
1538523648,1,3
1538525568,2,5
1538527472,0,4
1538529401,2,2
1538531318,0,3
1538533248,3,4
1538535157,1,0
1538537078,0,1
1538538992,2,3
1538540904,0,1
1538543128,2,5
1538545018,1,2
1538547202,1,6
1538549087,3,1
1538551000,2,5
1538552923,5,3
1538554840,1,3
1538556766,4,7
1538558691,1,4
1538560605,0,4
1538562508,1,1
1538564499,2,1
1538566398,2,1
1538568350,1,1
1538570445,4,1
1538572345,8,2
1538574295,1,1
1538576188,5,2
1538578108,1,2
1538580038,4,3
1538581964,3,2
1538583878,3,1
1538585809,4,2
1538587709,1,2
1538589696,1,0
1538591559,3,1
1538593536,4,0
1538595382,1,0
1538597317,1,0
1538599480,3,0
1538601411,4,0
1538603310,3,3
1538605230,1,6
1538607157,4,2
1538609082,2,3
1538610990,5,0
1538612916,1,1
1538615077,4,1
1538616989,4,1
1538618916,1,4
1538620839,3,0
1538622749,6,0
1538624690,0,1
1538626599,1,1
1538628509,0,2
1538630417,5,3
1538632332,4,1
1538634273,3,2
1538636206,3,2
1538638120,1,1
1538640088,3,3
1538641964,3,2
1538643869,1,2
1538645805,3,0
1538647729,1,0
1538649654,4,2
1538651588,0,2
1538653481,1,3
1538655673,1,5
1538657552,1,2
1538659483,1,2
1538661426,2,1
1538663298,2,2
1538665304,0,1
1538667168,2,1
1538669103,0,4
1538672936,0,4
1538674842,0,2
1538676755,2,1
1538678696,2,3
1538680597,2,1
1538684452,0,2
1538686357,1,6
1538690200,1,6
1538692122,1,0
1538694105,0,4
1538695955,1,3
1538697933,0,3
1538699779,1,3
1538703878,1,5
1538705816,0,2
1538707760,4,3
1538709637,4,3
1538711556,1,0
1538713522,2,2
1538715392,3,2
1538717324,0,6
1538719289,6,0
1538721157,3,3
1538723119,4,2
1538724976,5,3
1538726934,4,3
1538728834,3,1
1538731014,2,1
1538732909,2,5
1538734841,3,1
1538736759,4,2
1538740596,3,5
1538742528,3,1
1538744506,4,1
1538746359,3,1
1538748328,6,0
1538750432,5,3
1538752354,2,1
1538754298,3,1
1538756200,2,0
1538762207,1,1
1538764241,1,1
1538767980,4,2
1538769900,1,0
1538771810,1,0
1538773711,2,1
1538775652,1,1
1538777571,1,1
1538779469,3,0
1538781401,2,0
1538783337,1,1
1538785242,1,0
1538787175,6,2
1538789140,3,1
1538791030,2,0
1538792954,4,5
1538794906,0,2
1538796766,3,3
1538798678,1,2
1538800617,2,3
1538802539,1,4
1538804577,2,3
1538806877,0,5
1538808772,1,3
1538810674,1,6
1538812611,1,4
1538814510,1,4
1538816505,3,4
1538818356,1,1
1538820311,1,1
1538822222,1,1
1538824114,0,3
1538826028,1,5
1538827963,0,3
1538829885,1,1
1538831791,5,4
1538833969,3,2
1538835882,3,7
1538837800,0,6
1538839703,2,2
1538841689,1,1
1538843564,1,0
1538845518,1,1
1538847384,2,0
1538849358,2,1
1538851235,1,1
1538853160,3,4
1538855071,5,1
1538857002,3,1
1538858904,2,2
1538860842,3,2
1538862749,5,2
1538864691,1,2
1538866593,4,1
1538868509,4,2
1538870526,2,1
1538872363,2,3
1538874735,3,3
1538876697,1,1
1538878606,0,4
1538880519,2,1
