DateTime,AddedIPs,RemovedIPs
1538108700,5,5
1538110601,1,2
1538112560,4,7
1538114516,3,7
1538116503,8,5
1538118521,8,5
1538120677,10,3
1538122624,9,3
1538124529,5,2
1538126461,7,2
1538128362,5,6
1538130293,11,6
1538132217,2,4
1538134121,3,6
1538136124,2,3
1538137982,2,5
1538139924,2,3
1538141802,3,3
1538143719,2,4
1538145638,3,2
1538147560,5,4
1538149477,8,4
1538151428,8,4
1538153311,10,7
1538155251,3,1
1538157154,11,7
1538159074,11,7
1538160998,8,7
1538162920,9,5
1538164907,8,3
1538166767,3,9
1538168747,8,6
1538170606,9,7
1538172527,4,3
1538174455,7,4
1538176760,10,3
1538178773,5,5
1538180675,6,5
1538182606,11,2
1538184500,6,6
1538186514,7,6
1538188364,8,4
1538190274,8,7
1538192213,2,5
1538194143,7,2
1538196035,8,5
1538197972,5,3
1538199872,6,5
1538201809,10,4
1538203710,1,8
1538205633,7,10
1538207551,7,6
1538209484,6,9
1538211410,0,6
1538213303,4,7
1538215341,3,4
1538217166,2,12
1538219334,5,3
1538221244,8,5
1538223156,5,2
1538225097,10,2
1538227006,7,2
1538228922,3,5
1538230840,5,2
1538232774,8,4
1538234675,6,9
1538236597,14,8
1538238510,11,9
1538240481,4,8
1538242360,11,7
1538244283,7,11
1538246198,9,10
1538248118,12,11
1538250035,8,6
1538251958,6,10
1538253866,8,3
1538255802,8,12
1538257695,3,7
1538259637,7,5
1538261576,9,8
1538263476,4,11
1538265398,8,3
1538267302,9,8
1538269284,9,12
1538271146,7,4
1538273081,6,8
1538274977,10,10
1538276924,12,7
1538278841,8,0
1538280757,5,8
1538282672,5,8
1538284584,7,5
1538286509,9,7
1538288438,9,8
1538290358,26,2
1538292269,6,8
1538294195,13,7
1538296102,6,5
1538298081,3,1
1538299944,1,4
1538301868,2,3
1538303807,3,3
1538305805,4,6
1538307647,2,6
1538309797,2,7
1538311702,2,7
1538313629,0,7
1538315555,1,3
1538317473,1,7
1538319392,6,7
1538321300,3,5
1538323284,7,13
1538325164,5,7
1538327113,3,8
1538328993,2,9
1538330924,3,11
1538332828,4,9
1538334741,8,10
1538336666,5,9
1538338611,2,6
1538340519,6,8
1538342435,5,9
1538344346,3,8
1538346267,5,9
1538348195,7,7
1538350113,4,7
1538352106,8,7
1538353950,5,10
1538355899,7,8
1538357783,6,6
1538359714,6,6
1538361702,1,15
1538363557,2,8
