DateTime,Entries,UniqueIPs
1538108700,309,309
1538110601,308,308
1538112560,305,305
1538114516,301,301
1538116503,304,304
1538118521,307,307
1538120677,314,314
1538122624,320,320
1538124529,323,323
1538126461,328,328
1538128362,327,327
1538130293,332,332
1538132217,330,330
1538134121,327,327
1538136124,326,326
1538137982,323,323
1538139924,322,322
1538141802,322,322
1538143719,320,320
1538145638,321,321
1538147560,322,322
1538149477,326,326
1538151428,330,330
1538153311,333,333
1538155251,335,335
1538157154,339,339
1538159074,343,343
1538160998,344,344
1538162920,348,348
1538164907,353,353
1538166767,347,347
1538168747,349,349
1538170606,351,351
1538172527,352,352
1538174455,355,355
1538176760,362,362
1538178773,362,362
1538180675,363,363
1538182606,372,372
1538184500,372,372
1538186514,373,373
1538188364,377,377
1538190274,378,378
1538192213,375,375
1538194143,380,380
1538196035,383,383
1538197972,385,385
1538199872,386,386
1538201809,392,392
1538203710,385,385
1538205633,382,382
1538207551,383,383
1538209484,380,380
1538211410,374,374
1538213303,371,371
1538215341,370,370
1538217166,360,360
1538219334,362,362
1538221244,365,365
1538223156,368,368
1538225097,376,376
1538227006,381,381
1538228922,379,379
1538230840,382,382
1538232774,386,386
1538234675,383,383
1538236597,389,389
1538238510,391,391
1538240481,387,387
1538242360,391,391
1538244283,387,387
1538246198,386,386
1538248118,387,387
1538250035,389,389
1538251958,385,385
1538253866,390,390
1538255802,386,386
1538257695,382,382
1538259637,384,384
1538261576,385,385
1538263476,378,378
1538265398,383,383
1538267302,384,384
1538269284,381,381
1538271146,384,384
1538273081,382,382
1538274977,382,382
1538276924,387,387
1538278841,395,395
1538280757,392,392
1538282672,389,389
1538284584,391,391
1538286509,393,393
1538288438,394,394
1538290358,418,418
1538292269,416,416
1538294195,422,422
1538296102,423,423
1538298081,425,425
1538299944,422,422
1538301868,421,421
1538303807,421,421
1538305805,419,419
1538307647,415,415
1538309797,410,410
1538311702,405,405
1538313629,398,398
1538315555,396,396
1538317473,390,390
1538319392,389,389
1538321300,387,387
1538323284,381,381
1538325164,379,379
1538327113,374,374
1538328993,367,367
1538330924,359,359
1538332828,354,354
1538334741,352,352
1538336666,348,348
1538338611,344,344
1538340519,342,342
1538342435,338,338
1538344346,333,333
1538346267,329,329
1538348195,329,329
1538350113,326,326
1538352106,327,327
1538353950,322,322
1538355899,321,321
1538357783,321,321
1538359714,321,321
1538361702,307,307
1538363557,301,301
1538365485,298,298
1538367561,294,294
1538369562,292,292
1538371950,295,295
1538373909,296,296
1538375797,279,279
1538377728,270,270
1538379618,259,259
1538381563,258,258
1538383462,257,257
1538385415,259,259
1538387300,260,260
1538389260,264,264
1538391166,264,264
1538393186,265,265
1538395316,267,267
1538397159,268,268
1538399130,271,271
1538401013,274,274
1538402909,275,275
1538404842,279,279
1538406774,280,280
1538408675,279,279
1538410611,277,277
1538412513,274,274
1538414426,273,273
1538416362,272,272
1538418269,272,272
1538420191,265,265
1538422122,262,262
1538424121,261,261
1538425963,261,261
1538427938,263,263
1538430041,262,262
1538431955,263,263
1538433877,261,261
1538435812,255,255
1538437716,258,258
