DateTime,AddedIPs,RemovedIPs
1538110602,17,14
1538112561,19,17
1538114517,10,16
1538116504,12,15
1538118522,16,19
1538120678,18,18
1538122625,27,18
1538124530,10,18
1538126462,9,30
1538128363,11,15
1538130294,19,19
1538132218,19,14
1538134122,16,18
1538136125,18,15
1538137983,12,17
1538139925,10,17
1538141803,18,14
1538143720,14,27
1538145639,18,19
1538147561,13,15
1538149477,20,14
1538151429,10,15
1538153312,13,20
1538155253,17,20
1538157155,15,13
1538159075,20,10
1538160999,12,12
1538162921,15,8
1538164908,14,15
1538166768,16,18
1538168748,15,11
1538170607,13,15
1538172528,12,24
1538174455,21,14
1538176761,14,16
1538178774,18,7
1538180676,10,15
1538182607,14,14
1538184501,9,14
1538186515,9,12
1538188365,10,14
1538190275,6,22
1538192214,10,18
1538194144,8,14
1538196036,12,14
1538197973,5,11
1538199873,4,22
1538201810,8,10
1538203711,8,13
1538205634,12,13
1538207551,18,22
1538209485,13,19
1538211412,10,12
1538213304,11,9
1538215342,9,17
1538217172,7,15
1538219335,8,22
1538221245,8,13
1538223157,9,19
1538225098,14,12
1538227016,8,10
1538228923,13,18
1538230847,12,12
1538232775,7,16
1538234676,14,16
1538236598,13,18
1538238511,12,9
1538240482,15,12
1538242361,10,17
1538244284,11,17
1538246199,14,18
1538248119,15,16
1538250036,12,12
1538251959,8,13
1538253867,9,17
1538255803,9,19
1538257696,4,10
1538259638,8,18
1538261577,10,14
1538263476,12,16
1538265407,11,14
1538267303,1,13
1538269285,10,12
1538271147,13,10
1538273082,9,8
1538274978,9,11
1538276925,12,4
1538278842,14,10
1538280758,13,9
1538282673,15,13
1538284585,12,5
1538286510,7,5
1538288444,4,8
1538290359,7,9
1538292270,10,13
1538294196,10,18
1538296102,13,17
1538298082,7,13
1538299945,13,6
1538301869,10,8
1538303808,18,8
1538305815,17,7
1538307648,16,8
1538309798,8,11
1538311703,15,11
1538313630,16,11
1538315555,21,13
1538317474,17,11
1538319393,22,5
1538321301,14,16
1538323285,22,12
1538325165,10,16
1538327116,15,12
1538328993,17,12
1538330925,12,11
1538332829,11,14
1538334742,17,15
1538336667,15,15
1538338620,20,7
1538340519,16,10
1538342436,15,8
1538344347,19,3
1538346268,18,9
1538348196,17,10
1538350114,12,14
1538352108,19,9
1538353951,8,0
1538355900,13,14
1538357784,10,9
1538359715,12,11
1538361703,16,7
1538363558,16,12
1538365486,16,13
1538367562,12,16
1538369565,16,14
1538371951,18,12
1538373911,16,8
1538375798,14,4
1538377729,15,8
1538379619,15,9
1538381564,11,12
1538383462,11,10
1538385416,17,10
1538387301,16,10
1538389261,12,13
1538391167,12,17
1538393186,15,15
1538395317,22,12
1538397160,15,5
1538399132,16,18
1538401014,19,18
1538402910,14,18
1538404843,15,16
1538406775,8,20
1538408676,15,17
1538410612,13,19
1538412514,19,10
1538414426,20,17
1538416363,14,17
1538418270,9,12
1538420192,12,10
1538422129,19,19
1538424122,11,17
1538425964,24,23
1538427938,15,12
1538430042,16,19
1538431957,11,23
1538433878,16,7
1538435813,24,20
1538437717,20,16
1538439645,12,13
1538441557,8,9
1538443479,18,10
1538445394,19,12
1538447797,14,20
1538449749,13,18
1538451651,12,16
1538453568,11,10
1538455711,14,18
1538457663,12,11
1538459547,10,16
1538461496,15,15
1538463384,15,14
1538465310,10,15
1538467313,15,18
1538469412,11,11
1538471342,10,19
1538473246,25,15
1538475178,25,13
1538477102,23,10
1538478988,20,16
1538480939,12,14
1538483092,22,20
1538485001,16,15
1538486899,18,14
1538488909,13,16
1538490755,16,14
1538492733,7,5
1538494615,8,19
1538496570,8,10
1538498445,17,17
1538500381,7,21
1538502287,9,15
1538504207,16,13
1538506132,11,13
1538508042,13,16
1538509953,13,13
1538511867,10,18
1538514099,20,18
1538515954,13,15
1538517884,3,11
1538519782,11,10
1538521742,10,26
1538523650,11,21
1538525570,8,15
1538527474,7,8
1538529403,10,18
1538531320,15,20
1538533252,14,6
1538535159,10,17
1538537080,15,12
1538538998,8,14
1538540915,16,12
1538543131,7,10
1538545020,11,14
1538547204,11,18
1538549089,10,15
1538551003,8,11
1538552925,8,13
1538554844,20,9
1538556768,15,13
1538558693,17,12
1538560607,7,21
1538562510,14,27
1538564504,12,19
1538566400,15,19
1538568352,3,12
1538570447,14,28
1538572347,10,18
1538574297,13,11
1538576190,8,10
1538578110,15,16
1538580041,4,6
1538581966,3,8
1538583880,6,8
1538585811,5,17
1538587711,8,9
1538589700,16,13
1538591560,14,15
1538593543,14,13
1538595385,11,11
1538597319,16,9
1538599482,16,10
1538601413,7,20
1538603312,10,6
1538605232,13,7
1538607159,6,8
1538609084,11,10
1538610992,15,13
1538612918,15,10
1538615080,19,10
1538616991,14,13
1538618918,12,17
1538620841,18,6
1538622751,16,15
1538624692,19,10
1538626601,6,12
1538628511,13,10
1538630419,11,6
1538632334,18,8
1538634275,15,14
1538636208,13,5
1538638121,14,10
1538640090,13,14
1538641967,17,16
1538643871,11,14
1538645807,10,17
1538647731,11,11
1538649657,17,11
1538651590,10,16
1538653483,7,10
1538655676,14,4
1538657560,12,14
1538659485,10,16
1538661428,12,9
1538663300,14,8
1538665307,20,11
1538667170,14,4
1538669119,10,5
1538671028,6,5
1538672938,12,7
1538674845,9,11
1538676757,11,16
1538678698,9,12
1538680598,10,14
1538682533,14,13
1538684456,11,20
1538686366,11,10
1538688281,16,11
1538690202,10,11
1538692133,15,9
1538694108,12,7
1538695957,13,15
1538697938,17,16
1538699781,17,13
1538701728,24,15
1538703880,13,14
1538705818,23,16
1538707762,14,15
1538709639,13,20
1538711558,11,14
1538713524,17,8
1538715394,19,9
1538717326,15,19
1538719291,16,14
1538721159,14,12
1538723121,22,14
1538724978,14,11
1538726936,19,16
1538728838,10,14
1538731016,17,13
1538732911,25,10
1538734843,23,11
1538736762,30,13
1538738675,21,11
1538740598,19,5
1538742531,14,15
1538744509,18,10
1538746361,14,9
1538748331,22,16
1538750443,21,15
1538752356,14,11
1538754300,17,14
1538756202,24,8
1538758353,29,10
1538760293,25,12
1538762209,18,16
1538764246,21,9
1538766115,18,11
1538767982,20,7
1538769908,15,10
1538771812,9,9
1538773713,13,14
1538775653,10,12
1538777573,9,17
1538779472,7,11
1538781404,10,9
1538783339,11,19
1538785245,14,8
1538787177,20,28
1538789142,14,16
1538791040,9,18
1538792956,11,18
1538794908,14,14
1538796768,14,15
1538798681,14,12
1538800619,6,15
1538802547,13,16
1538804587,29,22
1538806879,20,17
1538808774,14,12
1538810676,14,19
1538812613,17,22
1538814512,15,11
1538816507,17,13
1538818358,14,14
1538820323,6,30
1538822224,14,26
1538824116,11,24
1538826030,15,17
1538827965,15,17
1538829887,15,21
1538831793,22,18
1538833971,14,18
1538835884,15,22
1538837802,13,17
1538839705,11,15
1538841691,16,21
1538843565,27,19
1538845520,14,26
1538847386,25,20
1538849361,13,22
1538851236,9,23
1538853162,20,18
1538855073,13,19
1538857004,15,11
1538858906,9,12
1538860844,16,16
1538862751,14,4
1538864693,9,9
1538866596,8,6
1538868511,12,13
1538870531,15,12
1538872365,13,19
1538874737,24,19
1538876699,9,18
1538878608,9,7
1538880521,10,12
1538882452,17,17
1538884345,16,13
1538886283,11,14
1538888220,12,9
1538890113,17,21
1538892185,19,23
1538894442,9,18
1538896380,10,13
1538898271,11,15
1538900200,11,14
1538902138,11,15
1538904041,13,18
1538905948,20,12
1538907872,13,9
1538909786,8,15
1538911727,13,17
1538913703,15,12
1538915562,14,13
1538917520,18,21
1538919391,18,17
1538921308,15,13
1538923232,7,15
1538925141,22,10
1538927065,20,15
1538928999,11,15
1538930904,7,19
1538932832,14,19
1538935504,11,29
1538937397,15,9
1538939321,14,18
1538941224,15,15
1538943145,5,13
1538945080,11,12
1538947001,12,15
1538948905,11,13
1538950854,19,11
1538952747,10,10
1538954664,6,10
1538956582,10,12
1538958504,16,16
1538960491,14,22
1538962367,6,9
1538964284,4,11
1538966180,8,7
1538968129,19,17
1538970040,9,16
1538971959,15,11
1538973878,8,13
1538975815,7,16
1538977731,16,15
1538979892,9,17
1538981791,7,8
1538983720,8,9
1538985695,17,13
1538987544,9,6
1538989463,20,18
1538991643,15,15
1538993553,12,14
1538995486,15,7
1538997408,16,14
1538999306,9,12
1539001245,7,20
1539003151,6,14
1539005089,16,22
1539007029,18,17
1539009154,10,6
1539011141,14,19
1539012989,13,15
1539014966,10,14
1539016835,19,8
1539018746,19,12
1539020686,10,6
1539022608,11,12
1539024529,5,17
1539026706,22,20
1539028595,17,9
1539030528,11,12
1539032895,12,12
1539034847,12,14
1539036772,16,17
1539038685,8,12
1539040621,10,7
1539042514,16,13
1539044454,9,13
1539046376,14,12
1539048313,11,7
1539050208,10,7
1539052104,4,6
1539054128,15,17
1539055975,10,12
1539057901,9,14
1539059826,8,11
1539061735,17,7
1539063639,18,18
1539065849,10,12
1539067726,6,9
1539069637,15,9
1539071812,21,15
1539073773,15,14
1539075889,14,20
1539078043,9,14
1539079963,6,11
