DateTime,AddedIPs,RemovedIPs
1538110604,1118,23
1538112563,1670,13
1538114519,1823,17
1538116506,1091,19
1538118525,13,17
1538120680,70,17
1538122627,22,17
1538124533,4,13
1538126464,10,13
1538128365,20,23
1538130297,28,16
1538132230,32,20
1538134125,26,8
1538136127,23,20
1538137986,19,18
1538139927,27,19
1538141805,12,25
1538143723,15,12
1538145642,16,12
1538147563,22,11
1538149480,17,14
1538151438,15,15
1538153314,27,16
1538155256,14,23
1538157157,18,11
1538159078,15,12
1538161002,9,15
1538162923,15,10
1538164911,11,20
1538166770,17,13
1538168751,13,48
1538170610,17,16
1538172531,14,15
1538174458,1329,17
1538176766,2441,22
1538178777,1792,13
1538180679,491,16
1538182610,24,15
1538184504,19,9
1538186518,24,7
1538188368,17,19
1538190278,19,969
1538192217,24,1609
1538194147,17,990
1538196039,20,997
1538197978,19,968
1538199875,18,1393
1538201812,24,1472
1538203714,17,255
1538205638,9,11
1538207554,17,77
1538209488,15,13
1538211414,9,14
1538213307,21,15
1538215345,18,9
1538217175,277,13
1538219338,21,8
1538221248,11,13
1538223160,17,5
1538225101,13,13
1538227019,20,13
1538228926,14,10
1538230850,16,5
1538232778,9,15
1538234683,15,16
1538236601,6,10
1538238514,8,7
1538240485,14,20
1538242365,17,10
1538244335,10,17
1538246202,22,3
1538248121,10,5
1538250039,12,15
1538251962,12,12
1538253877,23,11
1538255806,27,17
1538257719,14,11
1538259640,10,140
1538261580,6,2784
1538263479,14,2363
1538265409,10,2331
1538267306,15,404
1538269288,13,18
1538271151,14,22
1538273084,12,18
1538274980,13,20
1538276927,16,22
1538278852,10,18
1538280760,10,9
1538282677,11,13
1538284587,9,22
1538286513,20,17
1538288454,25,23
1538290361,18,12
1538292272,15,16
1538294198,14,18
1538296104,18,6
1538298084,19,15
1538299947,15,14
1538301871,22,15
1538303810,25,493
1538305817,19,18
1538307650,20,16
1538309800,26,26
1538311705,16,15
1538313639,14,25
1538315557,15,17
1538317475,25,20
1538319395,17,21
1538321303,21,23
1538323287,19,14
1538325167,18,15
1538327119,13,17
1538328995,16,23
1538330927,18,10
1538332831,11,25
1538334744,26,23
1538336669,9,22
1538338631,17,21
1538340524,13,29
1538342438,19,31
1538344349,11,18
1538346270,15,20
1538348207,16,13
1538350116,14,23
1538352110,18,14
1538353952,19,22
1538355902,10,23
1538357786,14,18
1538359717,20,18
1538361705,8,28
1538363561,13,26
1538365488,16,14
1538367564,6,19
1538369575,9,19
1538371953,9,34
1538373913,18,20
1538375800,9,26
1538377731,11,26
1538379621,12,15
1538381567,9,33
1538383465,16,24
1538385420,8,28
1538387303,8,11
1538389271,10,26
