DateTime,Entries,UniqueIPs
1538110604,7394,7394
1538112563,9051,9051
1538114519,10857,10857
1538116506,11929,11929
1538118525,11925,11925
1538120680,11978,11978
1538122627,11983,11983
1538124533,11974,11974
1538126464,11971,11971
1538128365,11968,11968
1538130297,11980,11980
1538132230,11992,11992
1538134125,12010,12010
1538136127,12013,12013
1538137986,12014,12014
1538139927,12022,12022
1538141805,12009,12009
1538143723,12012,12012
1538145642,12016,12016
1538147563,12027,12027
1538149480,12030,12030
1538151438,12030,12030
1538153314,12041,12041
1538155256,12032,12032
1538157157,12039,12039
1538159078,12042,12042
1538161002,12036,12036
1538162923,12041,12041
1538164911,12032,12032
1538166770,12036,12036
1538168751,12001,12001
1538170610,12002,12002
1538172531,12001,12001
1538174458,13313,13313
1538176766,15732,15732
1538178777,17511,17511
1538180679,17986,17986
1538182610,17995,17995
1538184504,18005,18005
1538186518,18022,18022
1538188368,18020,18020
1538190278,17070,17070
1538192217,15485,15485
1538194147,14512,14512
1538196039,13535,13535
1538197978,12586,12586
1538199875,11211,11211
1538201812,9763,9763
1538203714,9525,9525
1538205638,9523,9523
1538207554,9463,9463
1538209488,9465,9465
1538211414,9460,9460
1538213307,9466,9466
1538215345,9475,9475
1538217175,9739,9739
1538219338,9752,9752
1538221248,9750,9750
1538223160,9762,9762
1538225101,9762,9762
1538227019,9769,9769
1538228926,9773,9773
1538230850,9784,9784
1538232778,9778,9778
1538234683,9777,9777
1538236601,9773,9773
1538238514,9774,9774
1538240485,9768,9768
1538242365,9775,9775
1538244335,9768,9768
1538246202,9787,9787
1538248121,9792,9792
1538250039,9789,9789
1538251962,9789,9789
1538253877,9801,9801
1538255806,9811,9811
1538257719,9814,9814
1538259640,9684,9684
1538261580,6906,6906
1538263479,4557,4557
1538265409,2236,2236
1538267306,1847,1847
1538269288,1842,1842
1538271151,1834,1834
1538273084,1828,1828
1538274980,1821,1821
1538276927,1815,1815
1538278852,1807,1807
1538280760,1808,1808
1538282677,1806,1806
1538284587,1793,1793
1538286513,1796,1796
1538288454,1798,1798
1538290361,1804,1804
1538292272,1803,1803
1538294198,1799,1799
1538296104,1811,1811
1538298084,1815,1815
1538299947,1816,1816
1538301871,1823,1823
1538303810,1355,1355
1538305817,1356,1356
1538307650,1360,1360
1538309800,1360,1360
1538311705,1361,1361
1538313639,1350,1350
1538315557,1348,1348
1538317475,1353,1353
1538319395,1349,1349
1538321303,1347,1347
1538323287,1352,1352
1538325167,1355,1355
1538327119,1351,1351
1538328995,1344,1344
1538330927,1352,1352
1538332831,1338,1338
1538334744,1341,1341
1538336669,1328,1328
1538338631,1324,1324
1538340524,1308,1308
1538342438,1296,1296
1538344349,1289,1289
1538346270,1284,1284
1538348207,1287,1287
1538350116,1278,1278
1538352110,1282,1282
1538353952,1279,1279
1538355902,1266,1266
1538357786,1262,1262
1538359717,1264,1264
1538361705,1244,1244
1538363561,1231,1231
1538365488,1233,1233
1538367564,1220,1220
1538369575,1210,1210
1538371953,1185,1185
1538373913,1183,1183
1538375800,1166,1166
1538377731,1151,1151
1538379621,1148,1148
1538381567,1124,1124
1538383465,1116,1116
1538385420,1096,1096
1538387303,1093,1093
1538389271,1077,1077
1538391169,1066,1066
1538393189,1064,1064
1538395319,1048,1048
1538397162,1053,1053
1538399134,1053,1053
1538401016,1050,1050
1538402921,1025,1025
1538404845,1021,1021
1538406777,1014,1014
1538408678,1006,1006
1538410614,1000,1000
1538412516,991,991
1538414429,984,984
1538416365,971,971
1538418272,969,969
1538420194,980,980
1538422139,976,976
1538424125,983,983
1538425967,988,988
1538427970,998,998
1538430065,997,997
1538431959,1001,1001
1538433889,1003,1003
1538435815,999,999
1538437719,1006,1006
1538439654,1001,1001
1538441560,1003,1003
1538443491,1001,1001
1538445396,1004,1004
1538447799,1005,1005
1538449752,1003,1003
1538451654,1012,1012
1538453570,1004,1004
1538455713,1009,1009
1538457665,1007,1007
1538459550,998,998
1538461503,1001,1001
1538463386,1010,1010
1538465312,996,996
1538467315,1001,1001
1538469420,998,998
1538471344,998,998
1538473248,1010,1010
1538475181,1011,1011
1538477104,1008,1008
1538478991,1012,1012
1538480941,1010,1010
1538483094,1007,1007
1538485003,1016,1016
1538486902,1008,1008
1538488911,1010,1010
1538490757,1007,1007
1538492736,1077,1077
1538494618,2884,2884
1538496572,2984,2984
1538498447,2986,2986
1538500384,2988,2988
1538502290,2990,2990
1538504209,2984,2984
1538506134,2977,2977
1538508053,2972,2972
1538509965,2953,2953
1538511869,2953,2953
1538514102,2932,2932
1538515956,2934,2934
1538517888,2919,2919
1538519785,2915,2915
1538521744,2908,2908
1538523652,2909,2909
1538525573,2902,2902
1538527476,2895,2895
1538529422,2897,2897
1538531330,2885,2885
1538533255,2876,2876
1538535161,2864,2864
1538537083,2864,2864
1538539000,2859,2859
1538540917,2861,2861
1538543134,2862,2862
1538545022,2855,2855
1538547206,2848,2848
1538549091,2845,2845
1538551004,2836,2836
1538552927,2832,2832
1538554846,2828,2828
1538556770,2827,2827
1538558695,2816,2816
1538560608,2816,2816
1538562512,2809,2809
1538564507,2806,2806
1538566402,2813,2813
1538568354,2837,2837
1538570449,2862,2862
1538572349,2883,2883
1538574299,2900,2900
1538576192,2920,2920
1538578112,2924,2924
1538580048,2914,2914
1538581974,2930,2930
1538583884,2937,2937
1538585813,2952,2952
1538587713,2941,2941
1538589702,2943,2943
1538591565,2946,2946
1538593546,2951,2951
1538595387,2963,2963
1538597321,2959,2959
1538599484,2977,2977
1538601415,2980,2980
1538603314,2975,2975
1538605234,2989,2989
1538607161,2991,2991
1538609085,2997,2997
1538610995,2998,2998
1538612920,2995,2995
1538615113,2987,2987
1538616992,3021,3021
1538618920,3018,3018
1538620844,3015,3015
1538622753,3010,3010
1538624694,3013,3013
1538626603,3015,3015
1538628513,3026,3026
1538630421,3042,3042
1538632336,3038,3038
1538634277,3047,3047
1538636210,3050,3050
1538638123,3042,3042
1538640104,3053,3053
1538641969,3053,3053
1538643873,3062,3062
1538645825,3060,3060
1538647733,3058,3058
1538649659,3059,3059
1538651592,3058,3058
1538653485,3057,3057
1538655678,3062,3062
1538657562,3059,3059
1538659487,3055,3055
1538661439,3054,3054
1538663302,3051,3051
1538665311,3049,3049
1538667172,1434,1434
1538669126,1086,1086
1538671030,1096,1096
1538672940,1102,1102
1538674847,1104,1104
1538676759,1103,1103
1538678700,1108,1108
1538680600,1115,1115
1538682546,1110,1110
1538684458,1108,1108
1538686368,1108,1108
1538688283,1116,1116
1538690204,1120,1120
1538692135,1121,1121
1538694112,1121,1121
1538695975,1114,1114
1538697941,1118,1118
1538699783,1128,1128
1538701730,1132,1132
1538703882,1108,1108
1538705820,1114,1114
1538707765,1109,1109
1538709641,1116,1116
1538711560,1107,1107
1538713526,1113,1113
1538715396,1114,1114
1538717328,1090,1090
1538719294,1085,1085
1538721161,1088,1088
1538723124,1093,1093
1538724980,1093,1093
1538726938,1084,1084
1538728840,1092,1092
1538731018,1078,1078
1538732913,1083,1083
1538734845,1086,1086
1538736764,1080,1080
1538738677,1079,1079
1538740600,1084,1084
1538742533,1072,1072
1538744511,1072,1072
1538746363,1077,1077
1538748334,1074,1074
1538750446,1079,1079
1538752358,1074,1074
1538754302,1076,1076
1538756204,1064,1064
1538758355,1065,1065
1538760296,1065,1065
1538762211,1061,1061
1538764248,1065,1065
1538766118,1067,1067
1538767985,1061,1061
1538769911,1057,1057
1538771813,1065,1065
1538773716,1053,1053
1538775656,1054,1054
1538777575,1060,1060
1538779474,1047,1047
1538781406,1053,1053
1538783341,1044,1044
1538785255,1035,1035
1538787179,1034,1034
1538789144,1039,1039
1538791042,1032,1032
1538792958,1037,1037
1538794911,1035,1035
1538796770,1033,1033
1538798683,1022,1022
1538800620,1021,1021
1538802557,1024,1024
1538804590,1029,1029
1538806881,1037,1037
1538808776,1031,1031
1538810678,1018,1018
1538812615,1019,1019
1538814514,1014,1014
1538816509,1008,1008
1538818360,1002,1002
1538820329,1001,1001
1538822226,996,996
1538824121,1040,1040
1538826032,1030,1030
1538827967,1025,1025
1538829889,1013,1013
1538831795,1011,1011
1538833973,1009,1009
1538835887,1119,1119
1538837811,1129,1129
1538839707,1208,1208
1538841693,1207,1207
1538843567,1199,1199
1538845522,1199,1199
1538847387,1232,1232
1538849363,1238,1238
1538851239,1245,1245
1538853164,1241,1241
1538855075,1236,1236
1538857006,1238,1238
1538858907,1238,1238
1538860846,1244,1244
1538862753,1237,1237
1538864695,1241,1241
1538866597,1241,1241
1538868513,1247,1247
1538870533,1248,1248
1538872367,1268,1268
1538874738,1268,1268
1538876701,1275,1275
1538878610,1278,1278
1538880523,1279,1279
1538882454,1287,1287
1538884347,1288,1288
1538886285,1289,1289
1538888223,1284,1284
1538890115,1284,1284
1538892187,1282,1282
1538894445,1277,1277
1538896382,1278,1278
1538898273,1270,1270
1538900202,1271,1271
1538902140,1271,1271
1538904044,1281,1281
1538905950,1279,1279
1538907882,1290,1290
1538909788,1295,1295
1538911729,1295,1295
1538913705,1293,1293
1538915565,1299,1299
1538917523,1306,1306
1538919393,1307,1307
1538921309,2089,2089
1538923234,2080,2080
1538925143,2082,2082
1538927067,1995,1995
1538929001,1959,1959
1538930906,1951,1951
1538932834,1918,1918
1538935506,1924,1924
1538937399,1926,1926
1538939332,1930,1930
1538941226,1939,1939
1538943147,1940,1940
1538945082,1937,1937
1538947003,1933,1933
1538948907,1935,1935
1538950858,1938,1938
1538952749,1951,1951
1538954666,1949,1949
1538956584,1938,1938
1538958506,1911,1911
1538960494,1915,1915
1538962369,1909,1909
1538964286,1910,1910
1538966191,1912,1912
1538968132,1905,1905
1538970042,1901,1901
1538971960,1896,1896
1538973880,1894,1894
1538975817,1886,1886
1538977733,1902,1902
1538979895,1903,1903
1538981793,1907,1907
1538983722,1907,1907
1538985697,1906,1906
1538987546,1907,1907
1538989465,1915,1915
1538991652,1914,1914
1538993555,1912,1912
1538995489,1937,1937
1538997410,1963,1963
1538999308,1982,1982
1539001254,1999,1999
1539003154,2040,2040
1539005092,2038,2038
1539007032,1260,1260
1539009156,1268,1268
1539011144,1513,1513
1539012991,1520,1520
1539014968,1524,1524
1539016837,1527,1527
1539018748,1545,1545
1539020688,1546,1546
1539022611,1553,1553
1539024532,1376,1376
1539026708,1388,1388
1539028597,1395,1395
1539030530,1411,1411
1539032897,1411,1411
1539034849,1424,1424
1539036774,1692,1692
1539038704,2202,2202
1539040623,2221,2221
1539042516,2226,2226
1539044456,2228,2228
1539046378,2228,2228
1539048315,2223,2223
1539050216,2223,2223
1539052106,2228,2228
1539054139,2227,2227
1539055977,2219,2219
1539057903,2227,2227
1539059828,2233,2233
1539061737,2248,2248
1539063641,2243,2243
1539065851,2247,2247
1539067728,2247,2247
1539069640,2250,2250
1539071814,2254,2254
1539073775,2254,2254
1539075893,2246,2246
1539078046,2247,2247
1539079965,2253,2253
