DateTime,Entries,UniqueIPs
1537918385,109,109
1537920292,110,110
1537922212,110,110
1537924141,108,108
1537926054,110,110
1537927976,110,110
1537929886,111,111
1537931809,112,112
1537933720,110,110
1537935661,113,113
1537937552,114,114
1537939496,113,113
1537943347,112,112
1537945300,112,112
1537947171,113,113
1537951013,113,113
1537952941,115,115
1537954825,114,114
1537956776,112,112
1537960865,112,112
1537963003,111,111
1537964919,112,112
1537966908,112,112
1537968774,113,113
1537970729,114,114
1537972590,113,113
1537974547,114,114
1537976453,113,113
1537980309,114,114
1537984117,113,113
1537986060,112,112
1537987979,111,111
1537989902,109,109
1537991852,106,106
1537993728,105,105
1537995815,103,103
1537998049,101,101
1537999961,100,100
1538001877,97,97
1538003827,94,94
1538007646,96,96
1538009556,96,96
1538011479,94,94
1538013438,91,91
1538015332,92,92
1538017309,91,91
1538019177,91,91
1538021098,93,93
1538023021,91,91
1538024934,90,90
1538028792,89,89
1538030687,88,88
1538032644,87,87
1538034791,86,86
1538036687,84,84
1538038600,82,82
1538040525,84,84
1538042512,83,83
1538046346,85,85
1538048206,85,85
1538050165,85,85
1538052058,87,87
1538053971,87,87
1538055884,88,88
1538057827,86,86
1538059731,85,85
1538063784,85,85
1538065965,85,85
1538069811,86,86
1538071741,85,85
1538077509,85,85
1538079407,81,81
1538083267,82,82
1538087096,80,80
1538089006,80,80
1538090920,76,76
1538092936,75,75
1538094952,74,74
1538096904,76,76
1538099103,75,75
1538101022,73,73
1538102939,72,72
1538104839,71,71
1538106807,70,70
1538108717,69,69
1538110609,71,71
1538114520,71,71
1538118526,71,71
1538120681,70,70
1538122629,72,72
1538126466,71,71
1538128367,64,64
1538132231,71,71
1538134126,68,68
1538136129,65,65
1538137987,66,66
1538139928,63,63
1538141807,62,62
1538145643,62,62
1538147565,61,61
1538151447,61,61
1538153316,60,60
1538155260,61,61
1538157158,60,60
1538159079,62,62
1538161003,63,63
1538162924,64,64
1538164912,65,65
1538166772,64,64
1538168752,63,63
1538170611,65,65
1538174460,64,64
1538176768,66,66
1538178778,62,62
1538180681,59,59
1538182611,58,58
1538184506,60,60
1538192218,61,61
1538197981,61,61
1538199877,59,59
1538201814,57,57
1538205642,56,56
1538207555,57,57
1538211416,57,57
1538213308,56,56
1538217177,54,54
1538219339,46,46
1538221250,48,48
1538223161,50,50
1538225103,52,52
1538227024,53,53
1538228927,54,54
1538230851,53,53
1538232779,55,55
1538234685,55,55
1538236602,54,54
1538238515,56,56
1538240487,55,55
1538242368,57,57
1538244340,60,60
1538246204,59,59
1538248123,63,63
1538250040,62,62
1538251963,62,62
1538255807,67,67
1538257721,66,66
1538259642,74,74
1538261581,76,76
1538263480,74,74
1538265411,72,72
1538267307,74,74
1538269290,75,75
1538271156,76,76
1538273086,75,75
1538274981,78,78
1538278853,78,78
1538280761,79,79
1538284589,81,81
1538286516,83,83
1538288456,82,82
1538290362,83,83
1538294200,84,84
1538298085,83,83
1538299948,84,84
1538301875,86,86
1538305818,86,86
1538307651,85,85
1538309801,87,87
1538311706,84,84
1538313641,82,82
1538315558,84,84
1538319396,83,83
1538325168,82,82
1538327120,82,82
1538328998,81,81
1538330928,80,80
1538332832,81,81
1538334745,81,81
1538336670,83,83
1538338632,85,85
1538342440,84,84
1538346271,83,83
1538348208,82,82
1538352111,82,82
1538353954,81,81
1538355905,79,79
1538359718,81,81
