DateTime,AddedIPs,RemovedIPs
1538106807,7,7
1538108718,2,4
1538110617,5,1
1538112565,2,4
1538114521,6,3
1538116516,8,5
1538118527,7,9
1538120682,8,1
1538122629,12,4
1538124534,4,6
1538126466,10,8
1538128367,16,7
1538130303,15,11
1538132232,6,32
1538134126,5,12
1538136129,16,10
1538137987,5,7
1538139929,5,10
1538141807,9,16
1538143724,9,18
1538145643,6,17
1538147565,7,10
1538149481,2,6
1538151455,7,5
1538153316,13,10
1538155261,10,6
1538157159,7,11
1538159079,5,4
1538161003,7,6
1538162925,6,14
1538164912,14,8
1538166772,22,7
1538168752,17,3
1538170611,10,3
1538172532,2,5
1538174460,7,1
1538176769,9,3
1538178779,5,2
1538180681,6,3
1538182612,13,3
1538184506,20,11
1538186520,12,2
1538188370,10,2
1538190280,10,1
1538192219,13,9
1538194149,10,4
1538196040,6,5
1538197982,7,4
1538199877,5,5
1538201815,15,5
1538203716,16,6
1538205643,8,6
1538207556,8,6
1538209490,2,7
1538211416,6,6
1538213309,3,7
1538215347,1,14
1538217177,1,13
1538219340,2,7
1538221250,2,12
1538223162,6,14
1538225103,11,5
1538227025,3,11
1538228927,7,7
1538230852,4,10
1538232780,2,5
1538234685,2,6
1538236603,4,4
1538238516,0,5
1538240487,5,15
1538242369,5,10
1538244340,6,8
1538246204,8,6
1538248123,3,10
1538250041,3,3
1538251964,2,19
1538253887,4,16
1538255808,7,16
1538257722,9,6
1538259642,8,5
1538261582,4,6
1538263481,5,9
1538265411,11,6
1538267308,6,6
1538269291,6,19
1538271156,1,21
1538273086,0,13
1538274982,4,13
1538276929,1,12
1538278854,9,10
1538280762,1,9
1538282678,3,9
1538284589,3,5
1538286517,5,8
1538288456,6,16
1538290363,4,16
1538292278,2,6
1538294200,4,2
1538296106,5,2
1538298086,2,3
1538299948,2,1
1538301876,5,1
1538303812,3,2
1538305819,0,4
1538307652,4,2
1538309802,1,10
1538311707,1,11
1538313641,5,2
1538315559,1,7
1538317477,1,3
1538319396,1,2
1538321305,1,0
1538323289,7,4
1538325169,10,1
1538327121,3,5
1538328998,1,7
1538330928,6,8
1538332833,13,6
1538334746,15,4
1538336670,9,2
1538338633,0,3
1538340528,6,2
1538342440,3,3
1538344350,13,5
1538346271,10,12
1538348208,5,3
1538350118,0,7
1538352112,2,12
1538353954,1,7
1538355906,3,7
1538357788,1,1
1538359718,1,0
1538361707,2,6
1538363564,2,4
1538365489,4,8
1538367565,1,1
1538369576,2,4
1538371955,3,2
1538373915,2,5
1538375802,4,8
1538377733,0,4
1538379631,1,2
1538381570,5,5
1538383466,2,5
1538385432,3,2
1538387304,1,1
1538389276,2,3
1538391171,4,3
1538393190,2,2
1538395321,1,2
1538397172,6,3
1538399136,4,3
1538401018,2,3
1538402923,4,0
1538404846,2,3
1538406778,3,4
1538408680,2,5
1538410616,1,7
1538412518,4,7
1538414430,5,2
1538416367,6,4
1538418273,5,13
1538420196,4,13
1538422141,5,12
1538424128,3,5
1538425968,6,3
1538427975,2,4
1538430067,1,8
1538431961,3,17
1538433892,9,8
1538435817,6,2
1538437721,5,1
1538439656,2,0
1538441561,1,2
1538443494,3,2
1538445398,3,3
1538447801,0,4
1538449753,2,0
1538451657,3,1
1538453572,1,2
1538455715,3,3
1538457667,2,0
1538459551,5,6
1538461506,3,6
1538465313,1,1
1538467317,3,3
1538469422,5,3
1538471346,3,5
1538473250,0,1
1538475182,3,1
1538477106,1,3
1538478994,3,5
1538480943,4,1
1538483096,6,4
1538485005,5,4
1538486904,2,2
1538488914,1,2
1538490768,5,2
1538492738,1,6
1538494619,1,1
1538496574,0,4
1538498449,2,2
1538500386,1,3
1538502291,6,6
1538504211,3,2
1538506136,8,3
1538508055,52,4
1538509968,3,2
1538511871,2,7
1538514104,4,4
1538515958,4,0
1538517893,12,1
1538519786,40,8
1538521746,28,5
1538523654,27,5
1538525575,25,2
1538527478,31,2
1538529423,18,1
1538531332,16,3
1538533259,15,3
1538535162,22,2
1538537086,14,2
1538539002,22,1
1538540919,15,1
1538543136,21,1
1538545024,16,0
1538547208,22,4
1538549092,31,1
1538551009,25,3
1538552929,12,3
1538554851,2,2
1538556772,2,7
1538558697,9,2
1538560610,4,2
1538562514,3,0
1538564513,1,2
1538566404,7,4
1538568356,1,3
1538570451,5,4
1538572351,3,2
1538574301,5,1
1538576195,7,3
1538578114,4,4
1538580050,4,0
1538581976,3,2
1538583888,15,2
1538585815,13,1
1538587715,6,4
1538589704,8,4
1538591567,7,7
1538593553,4,3
1538595388,9,54
1538597323,14,2
1538599486,23,3
1538601417,17,1
1538603316,6,4
1538605236,3,17
1538607162,2,27
1538609087,5,27
1538610996,8,21
1538612922,3,22
1538615129,6,16
1538616994,2,15
1538618922,2,14
1538620845,5,13
1538622754,2,9
1538624696,7,21
1538626609,5,18
1538628515,7,14
1538630423,6,15
1538632338,8,14
1538634278,9,30
1538636212,11,27
1538638125,13,26
1538640106,15,11
1538641970,9,3
1538643875,10,2
1538645827,5,6
1538647735,10,5
1538649661,2,3
1538651594,24,4
1538653487,30,8
1538655679,27,4
1538657564,13,5
1538659488,7,6
1538661441,4,4
1538663303,1,7
1538665313,8,5
1538667174,5,6
1538669128,6,9
1538671032,6,16
1538672942,3,10
1538674849,3,5
1538676760,15,11
1538678702,8,4
1538680602,6,8
1538682547,1,12
1538684463,4,16
1538686370,1,30
1538688285,5,14
1538690206,3,7
1538692137,7,3
1538694116,2,4
1538695977,1,7
1538697947,2,7
1538699785,4,3
1538701732,4,5
1538703884,8,1
1538705843,13,4
1538707767,15,1
1538709643,7,3
1538711562,1,3
1538713528,1,3
1538715398,0,10
1538717330,0,8
1538719295,3,10
1538721163,8,7
1538723126,24,14
1538724981,12,10
1538726940,9,9
1538728841,24,6
1538731021,20,8
1538732915,3,12
1538734847,4,3
1538736766,14,5
1538738678,16,35
1538740602,20,33
1538742535,24,19
1538744512,18,17
1538746365,17,2
1538748339,18,6
1538750447,8,1
1538752360,5,16
1538754305,2,4
1538756205,4,3
1538758357,6,6
1538760300,13,2
1538762213,7,1
1538764262,8,15
1538766123,10,6
1538767987,14,2
1538769913,17,3
1538771815,13,3
1538773717,12,4
1538775657,13,3
1538777577,2,5
1538779475,7,5
1538781408,5,1
1538783343,18,3
1538785257,8,2
1538787180,2,5
1538789146,13,2
1538791044,10,13
1538792959,8,10
1538794913,5,15
1538796773,6,0
1538798685,8,2
1538800622,3,1
1538802558,2,1
1538804593,5,2
1538806883,8,9
1538808778,7,21
1538810679,6,13
1538812616,11,8
1538814516,3,15
1538816511,3,17
1538818362,3,10
1538820331,0,2
1538822228,5,7
1538824123,4,21
1538826033,0,18
1538827969,3,21
1538829891,0,21
1538831806,9,13
1538833974,12,17
1538835889,9,11
1538837820,6,8
1538839709,11,2
1538841696,10,8
1538843569,3,3
1538845525,4,9
1538847389,2,10
1538849365,9,7
1538851240,6,7
1538853166,2,7
1538855078,1,20
1538857008,6,13
1538858909,3,14
1538860848,3,17
1538862754,8,10
1538864697,5,8
1538866599,3,9
1538868514,2,8
1538870539,0,20
1538872369,2,1
1538874740,6,11
1538876703,6,16
1538878611,2,9
1538880533,6,3
1538882455,9,9
1538884349,3,6
1538886291,5,3
1538888225,3,5
1538890116,2,2
1538892189,8,5
1538894447,11,8
1538896384,11,9
1538898274,9,14
1538900204,14,4
1538902142,14,1
1538904048,4,1
1538905952,9,3
1538907884,1,6
1538909790,9,4
1538911731,17,2
1538913707,7,1
1538915566,5,1
1538917526,6,2
1538919394,4,14
1538921311,3,8
1538923236,12,12
1538925144,5,9
1538927068,1,13
1538929003,4,7
1538930907,2,2
1538932836,5,2
1538935508,10,10
1538937401,3,4
1538939338,1,1
1538941228,1,3
1538943149,1,7
1538945084,4,6
1538947005,12,2
1538948909,9,4
1538950864,8,8
1538952751,7,1
1538954668,4,6
1538958509,1,2
1538960496,3,4
1538962371,1,3
1538964288,5,1
1538966193,5,1
1538968133,1,11
