DateTime,Entries,UniqueIPs
1538106807,382,382
1538108718,380,380
1538110617,384,384
1538112565,382,382
1538114521,385,385
1538116516,388,388
1538118527,386,386
1538120682,393,393
1538122629,401,401
1538124534,399,399
1538126466,401,401
1538128367,410,410
1538130303,414,414
1538132232,388,388
1538134126,381,381
1538136129,387,387
1538137987,385,385
1538139929,380,380
1538141807,373,373
1538143724,364,364
1538145643,353,353
1538147565,350,350
1538149481,346,346
1538151455,348,348
1538153316,351,351
1538155261,355,355
1538157159,351,351
1538159079,352,352
1538161003,353,353
1538162925,345,345
1538164912,351,351
1538166772,366,366
1538168752,380,380
1538170611,387,387
1538172532,384,384
1538174460,390,390
1538176769,396,396
1538178779,399,399
1538180681,402,402
1538182612,412,412
1538184506,421,421
1538186520,431,431
1538188370,439,439
1538190280,448,448
1538192219,452,452
1538194149,458,458
1538196040,459,459
1538197982,462,462
1538199877,462,462
1538201815,472,472
1538203716,482,482
1538205643,484,484
1538207556,486,486
1538209490,481,481
1538211416,481,481
1538213309,477,477
1538215347,464,464
1538217177,452,452
1538219340,447,447
1538221250,437,437
1538223162,429,429
1538225103,435,435
1538227025,427,427
1538228927,427,427
1538230852,421,421
1538232780,418,418
1538234685,414,414
1538236603,414,414
1538238516,409,409
1538240487,399,399
1538242369,394,394
1538244340,392,392
1538246204,394,394
1538248123,387,387
1538250041,387,387
1538251964,370,370
1538253887,358,358
1538255808,349,349
1538257722,352,352
1538259642,355,355
1538261582,353,353
1538263481,349,349
1538265411,354,354
1538267308,354,354
1538269291,341,341
1538271156,321,321
1538273086,308,308
1538274982,299,299
1538276929,288,288
1538278854,287,287
1538280762,279,279
1538282678,273,273
1538284589,271,271
1538286517,268,268
1538288456,258,258
1538290363,246,246
1538292278,242,242
1538294200,244,244
1538296106,247,247
1538298086,246,246
1538299948,247,247
1538301876,251,251
1538303812,252,252
1538305819,248,248
1538307652,250,250
1538309802,241,241
1538311707,231,231
1538313641,234,234
1538315559,228,228
1538317477,226,226
1538319396,225,225
1538321305,226,226
1538323289,229,229
1538325169,238,238
1538327121,236,236
1538328998,230,230
1538330928,228,228
