DateTime,AddedIPs,RemovedIPs
1538649628,8,1
1538650585,7,9
1538651558,7,4
1538652514,2,12
1538653467,5,4
1538654179,5,2
1538654913,3,3
1538655660,3,0
1538656586,7,2
1538657534,4,4
1538658525,7,6
1538659468,6,5
1538660429,5,4
1538661403,2,1
1538662356,3,5
1538663063,2,2
1538663785,2,8
1538664511,3,0
1538665233,4,3
1538666194,2,3
1538667152,11,6
1538668114,5,8
1538669075,5,7
1538670033,3,7
1538670991,5,1
1538671956,5,7
1538672920,6,6
1538673864,8,8
1538674826,4,4
1538675540,4,5
1538676273,2,0
1538676987,8,5
1538677710,2,2
1538678669,3,0
1538679641,6,2
1538680583,4,8
1538681537,3,4
1538682512,4,4
1538683482,6,4
1538684431,4,8
1538685153,3,12
1538685871,1,1
1538686580,3,7
1538687318,3,1
1538688264,2,6
1538689225,4,4
1538690186,4,8
1538691153,2,9
1538692108,10,1
1538693070,5,1
1538694050,2,12
1538694993,7,7
1538695941,5,0
1538696912,7,4
1538697884,8,10
1538698598,3,4
1538699552,9,10
1538700265,3,7
1538700985,7,9
1538701708,6,0
1538702423,8,8
1538703390,10,18
1538704351,13,14
1538705318,13,10
1538706266,16,10
1538706983,4,4
1538707714,7,9
1538708681,6,3
1538709387,5,0
1538710107,5,7
1538711078,5,8
1538712101,9,8
1538712982,9,4
1538713939,6,10
1538714651,2,0
1538715373,4,3
1538716339,3,3
1538716959,2,0
1538717798,0,10
1538718746,6,6
1538719716,2,2
1538720664,6,2
1538721629,12,9
1538722342,10,3
1538723075,2,8
1538723805,3,0
1538724750,3,10
1538725462,4,0
1538726184,5,7
1538726909,3,0
1538727631,12,4
1538728348,3,3
1538729069,3,3
1538729785,3,1
1538730516,6,5
1538731466,4,5
1538732431,7,5
1538733386,7,2
1538734349,5,5
1538735308,7,11
1538736267,10,2
1538737242,6,4
1538738180,9,0
1538739154,4,4
1538740114,3,2
1538741093,4,1
1538742031,4,9
1538742996,4,1
1538743934,2,4
1538744921,6,8
1538745870,7,2
1538746827,9,3
1538747807,8,6
1538749003,6,5
1538749957,1,9
1538750914,6,7
1538751881,4,4
1538752837,8,4
1538753549,3,5
1538754275,8,8
1538754983,2,2
1538755748,4,0
1538756669,3,4
1538757878,7,6
1538758838,8,5
1538759806,10,5
1538760738,2,7
1538761450,7,7
1538762175,6,0
1538763406,6,7
1538764110,6,1
1538765077,2,9
1538766047,8,6
1538766999,4,6
1538767967,4,4
1538768905,4,5
1538769867,7,4
1538770585,9,4
1538771290,22,6
1538772012,3,3
1538772761,4,4
1538773470,2,3
1538774194,2,0
1538774908,4,7
1538775638,0,6
1538776595,5,4
1538777558,2,11
1538778268,3,5
1538778988,4,0
1538779959,3,10
1538780932,5,7
1538781870,6,0
1538782591,2,0
1538783321,5,6
1538784285,7,5
1538785228,3,4
1538786181,7,15
1538787154,3,4
1538788122,3,5
1538789107,9,5
1538790035,10,9
1538791016,16,12
1538791958,10,13
1538792921,8,1
1538793853,7,2
1538794842,6,8
1538795786,6,10
1538796744,4,8
1538797699,8,0
1538798664,10,11
1538799638,3,11
1538800603,4,3
1538801555,0,1
1538802526,2,12
1538803476,3,2
1538804563,4,1
1538805391,3,3
1538806355,6,5
1538807318,3,6
1538808258,5,5
1538809221,4,1
1538810201,6,7
1538811158,5,3
1538812121,3,3
1538813077,3,2
1538814039,6,4
1538815004,4,6
1538815946,5,2
1538816922,2,4
1538817875,7,7
1538818835,5,5
1538819797,2,4
1538820754,2,10
1538821468,1,3
1538822204,5,6
1538822909,3,5
1538823656,1,5
1538824598,4,3
1538825559,5,5
1538826518,5,6
1538827488,5,5
1538828444,3,9
1538829397,25,5
1538830370,3,5
1538831322,3,8
1538832270,4,6
1538833476,6,5
1538834440,5,2
1538835384,6,15
1538836340,5,0
1538837051,4,6
1538837773,4,2
1538838741,3,3
1538839449,2,5
1538840195,4,6
1538841150,1,3
