DateTime,Entries,UniqueIPs
1538649628,23677,26046
1538650585,23675,26044
1538651558,23677,26047
1538652514,23667,26037
1538653467,23670,26038
1538654179,23673,26041
1538654913,23673,26041
1538655660,23675,26044
1538656586,23680,26049
1538657534,23681,26049
1538658525,23681,26050
1538659468,23677,26051
1538660429,23678,26052
1538661403,23679,26053
1538662356,23677,26051
1538663063,23677,26051
1538663785,23671,26045
1538664511,23674,26048
1538665233,23675,26049
1538666194,23674,26048
1538667152,23676,26053
1538668114,23673,26050
1538669075,23671,26048
1538670033,23672,26044
1538670991,23673,26048
1538671956,23673,26046
1538672920,23674,26046
1538673864,23671,26046
1538674826,23668,26046
1538675540,23670,26045
1538676273,23671,26047
1538676987,23668,26050
1538677710,23667,26050
1538678669,23670,26053
1538679641,23671,26057
1538680583,23669,26053
1538681537,23664,26052
1538682512,23663,26052
1538683482,23665,26054
1538684431,23665,26050
1538685153,23657,26041
1538685871,23657,26041
1538686580,23651,26037
1538687318,23650,26039
1538688264,23646,26035
1538689225,23646,26035
1538690186,23643,26031
1538691153,23637,26024
1538692108,23641,26033
1538693070,23645,26037
1538694050,23637,26027
1538694993,23635,26027
1538695941,23640,26032
1538696912,23640,26035
1538697884,23636,26033
1538698598,23635,26032
1538699552,23628,26031
1538700265,23627,26027
1538700985,23625,26025
1538701708,23630,26031
1538702423,23630,26031
1538703390,23620,26023
1538704351,23617,26022
1538705318,23620,26025
1538706266,23622,26031
1538706983,23622,26031
1538707714,23619,26029
1538708681,23622,26032
1538709387,23627,26037
1538710107,23625,26035
1538711078,23622,26032
1538712101,23623,26033
1538712982,23628,26038
1538713939,23619,26034
1538714651,23621,26036
1538715373,23621,26037
1538716339,23621,26037
1538716959,23623,26039
1538717798,23614,26029
1538718746,23614,26029
1538719716,23614,26029
1538720664,23617,26033
1538721629,23621,26036
1538722342,23625,26043
1538723075,23619,26037
1538723805,23622,26040
1538724750,23615,26033
1538725462,23619,26037
1538726184,23619,26035
1538726909,23621,26038
1538727631,23623,26046
1538728348,23626,26046
1538729069,23628,26046
1538729785,23631,26048
1538730516,23632,26049
1538731466,23631,26048
1538732431,23633,26050
1538733386,23638,26055
1538734349,23638,26055
1538735308,23636,26051
1538736267,23637,26059
1538737242,23638,26061
1538738180,23645,26070
1538739154,23643,26070
1538740114,23647,26071
1538741093,23648,26074
1538742031,23642,26069
1538742996,23645,26072
1538743934,23643,26070
1538744921,23641,26068
1538745870,23645,26073
1538746827,23649,26079
1538747807,23650,26081
1538749003,23651,26082
1538749957,23643,26074
1538750914,23642,26073
1538751881,23642,26073
1538752837,23643,26077
1538753549,23642,26075
1538754275,23638,26075
1538754983,23638,26075
1538755748,23642,26079
1538756669,23642,26078
1538757878,23647,26079
1538758838,23650,26082
1538759806,23657,26087
1538760738,23655,26082
1538761450,23652,26082
1538762175,23654,26088
1538763406,23655,26087
1538764110,23657,26092
1538765077,23648,26085
1538766047,23649,26087
1538766999,23648,26085
1538767967,23647,26085
1538768905,23645,26084
1538769867,23647,26087
1538770585,23648,26092
1538771290,23656,26108
1538772012,23656,26108
1538772761,23657,26108
1538773470,23660,26107
1538774194,23662,26109
1538774908,23657,26106
1538775638,23651,26100
1538776595,23652,26101
1538777558,23645,26092
1538778268,23642,26090
1538778988,23644,26094
1538779959,23637,26087
1538780932,23632,26085
1538781870,23638,26091
1538782591,23640,26093
1538783321,23639,26092
1538784285,23641,26094
1538785228,23639,26093
1538786181,23632,26085
1538787154,23631,26084
1538788122,23631,26082
1538789107,23636,26086
1538790035,23633,26087
1538791016,23637,26091
1538791958,23632,26088
1538792921,23641,26095
1538793853,23648,26100
1538794842,23646,26098
1538795786,23642,26094
1538796744,23638,26090
1538797699,23646,26098
1538798664,23645,26097
1538799638,23638,26089
1538800603,23639,26090
1538801555,23638,26089
1538802526,23628,26079
1538803476,23629,26080
1538804563,23632,26083
1538805391,23632,26083
1538806355,23632,26084
1538807318,23630,26081
1538808258,23628,26081
1538809221,23631,26084
1538810201,23629,26083
1538811158,23632,26085
1538812121,23632,26085
1538813077,23633,26086
