DateTime,AddedIPs,RemovedIPs
1538649628,81,51
1538650585,68,51
1538651558,60,74
1538652514,63,45
1538653467,50,75
1538654179,70,51
1538654913,47,82
1538655660,68,84
1538656586,112,107
1538657534,94,70
1538658525,65,61
1538659468,70,52
1538660429,53,82
1538661403,67,74
1538662356,83,123
1538663063,122,57
1538663785,53,75
1538664511,76,76
1538665233,74,47
1538666194,58,76
1538667152,83,89
1538668114,95,75
1538669075,78,48
1538670033,53,73
1538670991,52,90
1538671956,93,59
1538672920,72,37
1538673864,38,67
1538674826,68,34
1538675540,34,53
1538676273,44,64
1538676987,84,48
1538677710,44,38
1538678669,51,53
1538679641,61,67
1538680583,55,78
1538681537,76,61
1538682512,53,57
1538683482,56,87
1538684431,75,81
1538685153,74,48
1538685871,43,48
1538686580,45,43
1538687318,40,50
1538688264,45,38
1538689225,49,56
1538690186,53,67
1538691153,51,79
1538692108,67,40
1538693070,51,71
1538694050,67,43
1538694993,46,80
1538695941,71,75
1538696912,72,64
1538697884,56,64
1538698598,57,107
1538699552,118,61
1538700265,62,56
1538700985,61,65
1538701708,53,44
1538702423,47,75
1538703390,88,57
1538704351,61,60
1538705318,61,56
1538706266,56,65
1538706983,41,67
1538707714,70,35
1538708681,34,59
1538709387,61,45
1538710107,32,80
1538711078,77,80
1538712101,101,52
1538712982,57,74
1538713939,57,52
1538714651,46,57
1538715373,66,60
1538716339,71,59
1538716959,52,77
1538717798,81,55
1538718746,64,74
1538719716,67,39
1538720664,44,67
1538721629,73,89
1538722342,86,63
1538723075,66,73
1538723805,65,60
1538724750,78,70
1538725462,64,101
1538726184,100,34
1538726909,35,53
1538727631,63,55
1538728348,59,72
1538729069,73,50
1538729785,75,57
1538730516,36,69
1538731466,80,55
1538732431,61,55
1538733386,57,68
1538734349,65,79
1538735308,84,67
1538736267,78,63
1538737242,69,67
1538738180,71,104
1538739154,100,72
1538740114,69,116
1538741093,98,32
1538742031,47,65
1538742996,70,52
1538743934,51,73
1538744921,86,41
1538745870,44,55
1538746827,63,33
1538747807,43,120
1538749003,113,131
1538749957,115,62
1538750914,78,56
1538751881,47,70
1538752837,92,54
1538753549,51,63
1538754275,75,76
1538754983,66,80
1538755748,93,32
1538756669,42,62
1538757878,64,65
1538758838,72,50
1538759806,54,65
1538760738,46,43
1538761450,52,54
1538762175,54,66
1538763406,69,69
1538764110,67,63
1538765077,45,58
1538766047,80,63
1538766999,52,56
1538767967,54,65
1538768905,62,61
1538769867,58,38
1538770585,54,44
1538771290,91,112
1538772012,37,46
1538772761,40,48
1538773470,38,121
1538774194,107,48
1538774908,66,43
1538775638,38,72
1538776595,79,45
1538777558,34,37
1538778268,31,68
1538778988,65,27
1538779959,48,52
1538780932,53,72
1538781870,61,49
1538782591,37,43
1538783321,53,56
1538784285,63,63
