DateTime,Entries,UniqueIPs
1538649628,8156,8156
1538650585,8173,8173
1538651558,8159,8159
1538652514,8177,8177
1538653467,8152,8152
1538654179,8171,8171
1538654913,8136,8136
1538655660,8120,8120
1538656586,8125,8125
1538657534,8149,8149
1538658525,8153,8153
1538659468,8171,8171
1538660429,8142,8142
1538661403,8135,8135
1538662356,8095,8095
1538663063,8160,8160
1538663785,8138,8138
1538664511,8138,8138
1538665233,8165,8165
1538666194,8147,8147
1538667152,8141,8141
1538668114,8161,8161
1538669075,8191,8191
1538670033,8171,8171
1538670991,8133,8133
1538671956,8167,8167
1538672920,8202,8202
1538673864,8173,8173
1538674826,8207,8207
1538675540,8188,8188
1538676273,8168,8168
1538676987,8204,8204
1538677710,8210,8210
1538678669,8208,8208
1538679641,8202,8202
1538680583,8179,8179
1538681537,8194,8194
1538682512,8190,8190
1538683482,8159,8159
1538684431,8153,8153
1538685153,8179,8179
1538685871,8174,8174
1538686580,8176,8176
1538687318,8166,8166
1538688264,8173,8173
1538689225,8166,8166
1538690186,8152,8152
1538691153,8124,8124
1538692108,8151,8151
1538693070,8131,8131
1538694050,8155,8155
1538694993,8121,8121
1538695941,8117,8117
1538696912,8125,8125
1538697884,8117,8117
1538698598,8067,8067
1538699552,8124,8124
1538700265,8130,8130
1538700985,8126,8126
1538701708,8135,8135
1538702423,8107,8107
1538703390,8138,8138
1538704351,8139,8139
1538705318,8144,8144
1538706266,8135,8135
1538706983,8109,8109
1538707714,8144,8144
1538708681,8119,8119
1538709387,8135,8135
1538710107,8087,8087
1538711078,8084,8084
1538712101,8133,8133
1538712982,8116,8116
1538713939,8121,8121
1538714651,8110,8110
1538715373,8116,8116
1538716339,8128,8128
1538716959,8103,8103
1538717798,8129,8129
1538718746,8119,8119
1538719716,8147,8147
1538720664,8124,8124
1538721629,8108,8108
1538722342,8131,8131
1538723075,8124,8124
1538723805,8129,8129
1538724750,8137,8137
1538725462,8100,8100
1538726184,8166,8166
1538726909,8148,8148
1538727631,8156,8156
1538728348,8143,8143
1538729069,8166,8166
1538729785,8184,8184
1538730516,8151,8151
1538731466,8176,8176
1538732431,8182,8182
1538733386,8171,8171
1538734349,8157,8157
1538735308,8174,8174
1538736267,8189,8189
1538737242,8191,8191
1538738180,8158,8158
1538739154,8186,8186
1538740114,8139,8139
1538741093,8205,8205
1538742031,8187,8187
1538742996,8205,8205
1538743934,8183,8183
1538744921,8228,8228
1538745870,8217,8217
1538746827,8247,8247
1538747807,8170,8170
1538749003,8152,8152
1538749957,8205,8205
1538750914,8227,8227
1538751881,8204,8204
1538752837,8242,8242
1538753549,8230,8230
1538754275,8229,8229
1538754983,8215,8215
1538755748,8276,8276
1538756669,8256,8256
1538757878,8255,8255
1538758838,8277,8277
1538759806,8266,8266
1538760738,8269,8269
1538761450,8267,8267
1538762175,8255,8255
1538763406,8255,8255
1538764110,8259,8259
1538765077,8246,8246
1538766047,8263,8263
1538766999,8259,8259
1538767967,8248,8248
1538768905,8249,8249
1538769867,8269,8269
1538770585,8279,8279
1538771290,8258,8258
1538772012,8249,8249
1538772761,8241,8241
1538773470,8158,8158
1538774194,8217,8217
1538774908,8240,8240
1538775638,8206,8206
1538776595,8240,8240
1538777558,8237,8237
1538778268,8200,8200
1538778988,8238,8238
1538779959,8234,8234
1538780932,8215,8215
1538781870,8227,8227
1538782591,8221,8221
1538783321,8218,8218
1538784285,8218,8218
1538785228,8233,8233
1538786181,8209,8209
1538787154,8220,8220
1538788122,8182,8182
1538789107,8155,8155
1538790035,8226,8226
1538791016,8199,8199
1538791958,8195,8195
1538792921,8203,8203
1538793853,8179,8179
1538794842,8176,8176
1538795786,8165,8165
1538796744,8170,8170
1538797699,8155,8155
1538798664,8178,8178
1538799638,8168,8168
1538800603,8191,8191
1538801555,8188,8188
1538802526,8193,8193
1538803476,8185,8185
1538804563,8164,8164
1538805391,8165,8165
1538806355,8107,8107
1538807318,8165,8165
1538808258,8178,8178
1538809221,8172,8172
1538810201,8202,8202
1538811158,8213,8213
1538812121,8219,8219
1538813077,8211,8211
1538814039,8215,8215
1538815004,8199,8199
1538815946,8203,8203
1538816922,8252,8252
1538817875,8212,8212
1538818835,8201,8201
1538819797,8265,8265
1538820754,8244,8244
1538821468,8233,8233
1538822204,8236,8236
1538822909,8256,8256
1538823656,8215,8215
1538824598,8246,8246
1538825559,8238,8238
1538826518,8244,8244
1538827488,8244,8244
1538828444,8208,8208
1538829397,8268,8268
1538830370,8238,8238
1538831322,8265,8265
1538832270,8264,8264
1538833476,8233,8233
1538834440,8210,8210
1538835384,8256,8256
1538836340,8240,8240
1538837051,8254,8254
1538837773,8207,8207
1538838741,8199,8199
1538839449,8242,8242
1538840195,8279,8279
1538841150,8260,8260
1538842151,8258,8258
1538843076,8219,8219
1538844014,8248,8248
1538844991,8224,8224
1538845956,8242,8242
1538846912,8246,8246
1538847870,8276,8276
1538848838,8262,8262
1538849783,8253,8253
1538850754,8188,8188
1538851712,8249,8249
1538852676,8252,8252
1538853630,8235,8235
1538854593,8261,8261
1538855570,8245,8245
1538856522,8263,8263
1538857468,8205,8205
1538858432,8244,8244
1538859389,8251,8251
1538860353,8243,8243
1538861311,8252,8252
1538862274,8231,8231
1538863230,8215,8215
1538864184,8204,8204
1538865138,8230,8230
1538865852,8226,8226
1538866574,8186,8186
1538867536,8178,8178
1538868250,8230,8230
1538869000,8166,8166
1538869947,8177,8177
1538870916,8199,8199
1538871859,8161,8161
1538872830,8167,8167
1538873540,8144,8144
1538874253,8193,8193
1538875242,8217,8217
1538875945,8210,8210
1538876676,8212,8212
1538877643,8204,8204
1538878591,8209,8209
1538879548,8226,8226
1538880497,8151,8151
1538881472,8201,8201
1538882434,8195,8195
1538883145,8201,8201
1538883861,8225,8225
1538884571,8161,8161
1538885311,8212,8212
1538886264,8216,8216
1538887223,8187,8187
1538888195,8168,8168
1538889151,8201,8201
1538889862,8202,8202
1538890584,8212,8212
1538891305,8169,8169
1538892167,8184,8184
1538892994,8141,8141
1538893950,8196,8196
1538894907,8205,8205
1538895873,8217,8217
1538896830,8209,8209
1538897790,8226,8226
1538898766,8223,8223
1538899719,8228,8228
1538900668,8205,8205
1538901383,8227,8227
1538902116,8195,8195
1538902830,8252,8252
1538903558,8222,8222
1538904507,8242,8242
1538905469,8245,8245
1538906182,8222,8222
1538906913,8241,8241
1538907620,8237,8237
1538908353,8252,8252
1538909311,8236,8236
1538910272,8191,8191
1538910983,8252,8252
1538911703,8247,8247
1538912421,8191,8191
1538913145,8206,8206
1538914118,8236,8236
1538915078,8237,8237
1538916021,8224,8224
1538916985,8231,8231
1538917952,8263,8263
1538918912,8253,8253
1538919870,8233,8233
1538920833,8276,8276
1538921797,8260,8260
1538922754,8252,8252
1538923464,8258,8258
1538924189,8233,8233
1538924903,8280,8280
1538925625,8271,8271
1538926600,8269,8269
1538927548,8278,8278
1538928541,8272,8272
1538929465,8274,8274
1538930437,8249,8249
1538931388,8239,8239
1538932349,8295,8295
1538933308,8285,8285
1538934279,8264,8264
1538935484,8243,8243
1538936175,8255,8255
1538936893,8237,8237
1538937608,8277,8277
1538938331,8252,8252
1538939053,8218,8218
1538939790,8265,8265
1538940739,8277,8277
1538941451,8259,8259
1538942171,8265,8265
1538942895,8296,8296
1538943619,8269,8269
1538944334,8205,8205
1538945058,8200,8200
1538946064,8249,8249
1538946729,8244,8244
1538947471,8244,8244
1538948433,8266,8266
1538949140,8221,8221
1538949874,8238,8238
1538950584,8222,8222
1538951315,8225,8225
1538952271,8225,8225
1538953247,8203,8203
1538954184,8230,8230
1538954886,8226,8226
1538955615,8230,8230
1538956326,8230,8230
1538957078,8236,8236
1538958029,8195,8195
1538958748,8193,8193
1538959729,8177,8177
1538960442,8181,8181
1538961386,8206,8206
1538962336,8221,8221
1538963050,8199,8199
1538963793,8208,8208
1538964489,8207,8207
1538965217,8199,8199
1538965935,8184,8184
1538966654,8187,8187
1538967367,8190,8190
1538968114,8142,8142
1538969072,8178,8178
1538970025,8184,8184
1538970728,8171,8171
1538971461,8163,8163
1538972172,8185,8185
1538972899,8156,8156
1538973855,8144,8144
1538974844,8152,8152
1538975799,8178,8178
1538976755,8166,8166
1538977714,8185,8185
1538978672,8114,8114
1538979511,8174,8174
1538980339,8176,8176
1538981053,8164,8164
1538981767,8193,8193
1538982496,8185,8185
1538983206,8185,8185
1538983935,8193,8193
1538984652,8175,8175
1538985386,8185,8185
1538986351,8200,8200
1538987062,8194,8194
1538987784,8165,8165
1538988508,8265,8265
1538989242,8235,8235
1538990192,8227,8227
1538991151,8251,8251
1538992118,8272,8272
1538993078,8284,8284
1538994029,8261,8261
1538994997,8299,8299
1538995955,8266,8266
1538996924,8304,8304
1538997853,8256,8256
1538998828,8291,8291
1538999539,8270,8270
1539000273,8281,8281
1539000989,8296,8296
1539001708,8292,8292
1539002668,8302,8302
1539003380,8309,8309
1539004116,8295,8295
1539004819,8302,8302
1539005549,8263,8263
1539006267,8292,8292
1539007011,8271,8271
1539007709,8308,8308
1539008669,8272,8272
1539009626,8284,8284
1539010342,8289,8289
1539011074,8230,8230
1539011791,8298,8298
1539012502,8272,8272
1539013470,8322,8322
1539014182,8318,8318
1539014938,8339,8339
1539015627,8330,8330
1539016352,8318,8318
1539017066,8318,8318
1539017784,8317,8317
1539018513,8334,8334
1539019227,8324,8324
1539019947,8316,8316
1539020666,8336,8336
1539021385,8322,8322
1539022108,8220,8220
1539023069,8311,8311
1539023784,8326,8326
1539024506,8290,8290
1539025243,8315,8315
1539026184,8283,8283
1539027146,8317,8317
1539027851,8304,8304
1539028569,8304,8304
1539029294,8334,8334
1539030009,8312,8312
1539030735,8269,8269
1539031453,8310,8310
1539032166,8294,8294
1539033414,8295,8295
1539034100,8284,8284
1539034829,8254,8254
1539035787,8280,8280
1539036753,8225,8225
1539037463,8268,8268
1539038184,8279,8279
1539039155,8260,8260
1539039865,8280,8280
1539040600,8272,8272
1539041554,8296,8296
1539042264,8274,8274
1539042990,8276,8276
1539043705,8289,8289
1539044428,8248,8248
1539045392,8191,8191
1539046355,8252,8252
1539047314,8283,8283
1539048293,8266,8266
1539049229,8276,8276
1539050190,8269,8269
1539051152,8280,8280
1539051862,8266,8266
1539052588,8255,8255
1539053308,8256,8256
1539054037,8236,8236
1539054997,8267,8267
1539055948,8243,8243
1539056914,8249,8249
1539057880,8214,8214
1539058831,8159,8159
1539059793,8207,8207
1539060754,8222,8222
1539061718,8260,8260
1539062666,8233,8233
1539063382,8186,8186
1539064112,8238,8238
1539064831,8237,8237
1539065806,8250,8250
1539066908,8204,8204
1539067693,8234,8234
1539068662,8246,8246
1539069375,8192,8192
1539070097,8242,8242
1539070808,8257,8257
1539071794,8255,8255
1539072762,8256,8256
1539073714,8247,8247
1539074669,8281,8281
1539075379,8277,8277
1539076110,8251,8251
1539076823,8251,8251
1539077561,8260,8260
1539078515,8234,8234
1539079481,8244,8244
1539080433,8226,8226
