DateTime,AddedIPs,RemovedIPs
1537704874,2,0
1537707351,0,1
1537708490,4,0
1537710338,2,0
1537713749,2,0
1537715028,1,0
1537716535,1,0
1537718199,0,21
1537719342,2,0
1537720604,1,0
1537722938,2,0
1537724556,1,0
1537726080,2,1
1537729392,2,1
1537732601,1,0
1537735047,2,1
1537735348,0,3
1537738959,1,14
1537742441,2,40
1537743947,1,25
1537745143,6,0
1537746345,13,55
1537748081,36,23
1537749276,14,4
1537750530,15,34
1537751740,7,1
1537752893,0,2
1537754202,2,0
1537756137,8,3
1537756956,0,23
1537758879,3,0
1537759742,1,0
1537761040,3,1
1537762480,3,0
1537764163,1,2
1537765538,1,0
1537766734,3,0
1537767753,0,2
1537768950,2,1
1537770583,2,0
1537773267,0,1
1537774951,4,1
1537776114,5,0
1537776869,2,0
1537777714,1,0
1537779043,7,0
1537780241,3,0
1537782151,1,5
1537784067,5,0
1537793588,0,1
1537798523,0,2
1537800991,2,0
1537802138,0,1
1537802928,1,0
1537804654,0,2
1537805684,0,3
1537806945,0,4
1537810129,1,3
1537812418,1,0
1537816476,0,3
1537817579,1,2
1537818991,1,0
1537820077,1,1
1537823682,1,0
1537825349,1,20
1537828177,2,40
1537828965,1,0
1537830336,0,42
1537831780,0,48
1537832551,0,14
1537834008,0,6
1537835749,1,7
1537837541,0,2
1537838981,0,2
1537840601,1,0
1537841751,2,0
1537843247,0,2
1537844741,0,3
1537846850,0,2
1537849793,1,1
1537852472,0,1
1537859143,1,0
1537860638,1,0
1537864845,2,0
1537866879,1,0
1537868557,0,3
1537870239,0,1
1537875332,0,1
1537876588,2,0
1537879840,0,1
1537891008,2,13
1537894590,0,2
1537901629,1,0
1537908952,0,1
1537911650,0,39
1537913203,0,56
1537914592,0,102
1537916371,2,141
1537917651,0,14
1537918857,0,156
1537920893,0,60
1537921787,0,6
1537924482,3,2
1537925396,0,5
1537928078,0,2
1537928992,0,5
1537931747,0,4
1537933362,0,1
1537935275,0,2
1537936856,0,3
1537938343,1,0
1537939857,0,2
1537942196,1,1
1537945011,0,16
1537946074,0,9
1537947337,0,3
1537948593,0,1
1537949679,0,27
1537950866,0,3
1537952131,2,1
1537953279,0,4
1537954546,0,3
1537955743,1,0
1537956943,0,2
1537958552,0,2
1537962163,0,1
1537968339,1,0
1537970203,1,0
1537972959,0,1
1537974344,2,0
1537976598,0,6
1537980990,0,1
1537983758,0,1
1537987351,0,1
1537988742,0,1
1537990197,1,0
1537994447,0,1
1537994560,2,0
1537997441,0,2
1538000149,0,1
1538001565,1,0
1538005245,0,1
1538008851,1,0
1538010348,0,1
1538012142,0,2
1538016937,1,0
1538018994,0,2
1538020614,0,1
1538023244,3,0
1538028650,0,1
1538037752,0,1
1538039758,1,0
1538043038,1,0
1538044951,1,0
1538045790,1,0
1538046954,0,2
1538048316,1,0
1538052639,1,0
1538060798,0,2
1538063341,0,2
1538070633,1,0
1538071837,1,0
1538085402,0,1
1538086477,0,2
1538088340,0,1
1538093680,1,0
1538095248,0,2
1538096746,1,0
1538100879,1,0
1538105396,1,0
1538108940,1,0
1538110600,2,0
1538114995,1,0
1538116953,2,0
1538119844,1,0
1538120550,1,0
1538122242,0,2
1538123443,6,1
1538127468,0,1
1538129670,2,0
1538132208,1,0
1538134844,1,0
1538137745,1,0
1538138843,0,1
1538139940,1,0
1538141737,1,0
1538146592,0,1
1538149350,0,1
1538152531,1,0
1538160168,0,1
1538165387,0,2
1538170949,1,0
1538172115,1,1
1538176473,1,0
1538184538,1,1
1538187047,1,0
1538191734,1,0
1538193345,0,3
1538194549,1,0
1538203548,1,0
1538210555,1,0
1538214161,0,1
1538219023,0,1
1538220937,1,0
1538231445,1,1
1538235645,96,4
1538236606,56,0
1538238532,80,2
1538239361,1,1
1538241282,0,1
1538242137,1,1
1538243538,0,1
1538244947,0,2
1538247409,2,0
1538249734,1,0
1538251611,1,1
1538254541,1,0
1538259339,2,0
1538261806,2,0
1538263725,0,1
1538265396,0,1
1538268999,0,1
1538270089,0,1
1538271653,0,2
1538272604,0,1
1538273750,2,0
1538274938,0,1
1538276748,1,0
1538278192,1,1
1538279749,0,1
1538281784,1,0
1538283045,1,0
1538284250,0,1
1538285395,0,1
1538289337,0,1
1538291747,2,0
1538293360,0,4
1538301399,1,1
1538303341,0,1
1538307021,0,1
1538309675,0,1
1538311534,0,1
1538320556,1,0
1538322042,0,10
1538323842,75,1
1538327138,0,1
1538328534,4,0
1538329648,50,1
1538331272,63,0
1538332188,28,0
1538333431,32,1
1538334644,35,2
1538335861,190,1
1538337337,56,5
1538340168,0,3
1538341544,0,3
1538343757,1,0
1538346652,0,2
1538348135,0,1
1538349291,0,2
1538352650,1,1
1538355410,1,0
1538356485,0,2
1538358052,0,2
1538360159,1,1
1538361356,0,1
1538363149,1,0
1538364868,1,3
1538367049,0,2
1538369800,2,0
1538370949,1,0
1538372449,2,1
1538374548,1,1
1538377007,0,1
1538378069,1,0
1538381676,0,2
1538390004,0,3
1538393555,0,1
1538394708,0,1
1538397760,0,1
1538399740,1,0
1538401355,0,1
1538404961,0,35
1538406340,0,87
1538407787,1,63
1538409391,0,1
1538411337,0,1
1538412929,0,1
1538414071,1,0
1538415340,0,1
1538417669,0,2
1538419383,0,1
1538423657,0,1
1538429814,0,2
1538434797,0,1
1538435679,1,0
1538437985,0,1
1538441738,1,0
1538444138,0,1
1538446486,2,0
1538447393,0,2
1538451335,1,0
