DateTime,AddedIPs,RemovedIPs
1538417676,1,3
1538419389,5,1
1538420198,1,0
1538421350,2,1
1538422538,1,2
1538423662,2,0
1538425740,8,4
1538427408,1,4
1538428557,1,4
1538429819,1,4
1538431010,3,1
1538432091,1,2
1538434851,2,7
1538435686,1,0
1538436585,0,3
1538437991,3,1
1538439355,1,5
1538440192,1,4
1538441744,4,0
1538442959,1,0
1538444143,2,2
1538446492,2,3
1538447399,0,7
1538448653,1,1
1538449858,2,3
1538451341,1,4
1538453456,5,6
1538455382,5,4
1538456209,2,0
1538457295,1,1
1538458985,5,3
1538460351,2,4
1538461734,2,0
1538463039,1,7
1538464491,4,4
1538465737,2,5
1538466937,1,1
1538468075,2,3
1538469776,4,2
1538471141,4,4
1538472648,5,7
1538473366,2,2
1538475350,0,4
1538476141,1,0
1538477268,3,13
1538478653,4,2
1538479852,2,13
1538480984,3,3
1538482196,4,4
1538483381,4,9
1538484156,1,2
1538485537,7,7
1538487113,2,8
1538488542,3,3
1538489745,5,9
1538491357,3,10
1538493289,6,2
1538494542,4,5
1538496238,1,5
1538497373,5,0
1538498754,2,4
1538499947,3,4
1538501097,7,1
1538502996,6,7
1538504147,0,4
1538504995,1,6
1538506597,1,6
1538507686,2,1
1538508588,1,10
1538509358,1,0
1538510514,4,2
1538511662,1,0
1538512958,6,3
1538514341,1,1
1538515856,2,3
1538517217,12,3
1538518489,8,7
1538519400,3,4
1538521550,8,0
1538523354,8,4
1538525677,8,3
1538526590,6,0
1538527743,4,1
1538529293,0,3
1538530827,8,3
1538532890,11,1
1538534564,4,2
1538535955,2,0
1538537506,4,3
1538538645,1,0
1538540104,1,2
1538540942,1,0
1538542605,2,4
1538543758,3,2
1538544586,2,2
1538545845,0,1
1538547291,0,2
1538548848,3,2
1538550348,0,4
1538551741,3,0
1538553343,3,3
1538554490,4,1
1538556523,6,2
1538557845,0,1
1538558939,4,0
1538559761,6,2
1538560595,1,0
1538561745,4,2
1538562911,3,4
1538565275,8,3
1538566181,5,5
1538567449,5,0
1538568881,1,4
1538570568,7,8
1538571396,10,5
1538572538,19,28
1538573339,8,21
1538574521,9,6
1538575843,4,16
1538577106,6,9
1538578593,6,0
1538579680,11,5
1538581354,20,4
1538582203,1,0
1538584132,10,2
1538584973,2,2
1538585804,3,1
1538586887,2,4
1538588567,3,1
1538589394,1,5
1538590608,7,19
1538591390,7,7
1538592809,8,2
1538594934,13,1
1538596366,14,5
1538597747,9,4
1538599248,12,3
1538600742,4,3
1538602239,2,1
1538602962,1,0
1538603811,2,0
1538604950,3,4
1538606458,2,2
1538607413,3,0
1538608490,3,4
1538610048,2,2
1538611845,6,5
1538613067,0,14
1538614597,1,16
1538615766,1,2
1538616532,1,0
1538617360,0,4
1538619288,2,1
1538620549,3,3
1538622888,6,7
1538624148,6,4
1538625402,4,3
1538626479,0,1
1538628171,9,5
1538629541,3,1
1538630077,1,0
1538630987,1,2
1538632497,3,1
1538632761,0,2
1538633681,4,1
1538634586,3,5
1538636749,6,2
1538638255,11,3
1538640118,15,3
1538641249,8,0
1538642567,4,5
1538643939,2,0
1538645611,3,2
1538647585,2,4
1538648734,5,0
1538649953,17,2
1538651146,17,3
1538651675,5,0
1538655285,21,9
1538656135,3,0
1538657445,8,5
1538658650,6,2
1538659730,9,0
1538660564,3,5
1538662181,6,6
1538663764,11,6
1538664995,6,0
1538666073,8,3
1538667336,7,5
1538669447,8,4
1538670644,3,10
1538671368,0,3
1538672194,2,0
1538673289,4,2
1538674850,5,3
1538675799,1,1
1538676885,2,2
1538677742,2,0
1538679938,5,3
1538681133,2,0
1538682166,2,2
1538683001,2,0
1538684142,6,6
1538684977,1,2
1538686246,1,0
1538688537,9,4
1538689981,4,1
1538691351,2,3
1538692186,5,5
1538692961,5,4
1538693798,4,0
1538694956,2,5
1538697410,12,4
1538698500,6,1
1538699387,2,4
1538700579,4,1
1538701847,5,4
1538703061,4,2
1538704541,9,1
1538705753,5,1
1538707362,3,5
1538708631,7,3
1538710222,13,1
1538711611,12,0
1538712956,14,1
1538713787,10,3
1538715404,5,0
1538716492,4,0
1538717418,6,2
1538718986,10,1
1538720154,6,2
1538721325,8,2
1538722542,8,0
1538723690,5,2
1538724950,9,2
1538726144,6,1
1538727361,11,3
1538728551,11,2
1538730339,4,5
1538731522,1,1
1538733418,0,6
1538734555,3,3
1538735740,1,7
1538736890,8,1
1538738147,3,2
1538738982,2,5
1538739755,1,4
1538741452,3,8
1538742883,2,8
1538744677,7,6
1538745281,1,0
1538746140,5,0
1538747802,8,3
1538748878,1,2
1538750567,3,15
1538751946,3,4
1538752678,1,0
1538755002,7,10
1538756444,4,5
1538757654,3,4
1538759683,8,2
1538760812,3,6
1538762055,4,7
1538763287,8,19
1538764195,8,18
1538764967,5,32
1538766355,8,134
1538767848,9,16
1538768569,8,1
1538769888,9,4
1538771440,17,2
1538772665,7,1
1538774077,12,2
1538774939,9,0
1538776242,13,3
1538777702,7,6
1538778594,0,4
1538780146,4,4
1538781279,10,0
1538782217,3,2
1538782963,10,0
1538783824,13,0
1538784887,4,2
1538786456,5,4
1538787958,5,1
1538789752,10,2
1538792091,25,1
1538793658,16,3
1538794643,12,0
1538795770,8,6
1538796614,5,7
1538799284,29,4
1538800918,15,3
1538801815,8,0
1538802952,11,0
1538803798,4,4
1538805400,7,1
1538806561,3,4
1538807750,0,3
1538809141,3,5
1538810452,3,1
1538811657,3,5
1538813694,8,2
1538814538,2,0
1538815838,3,5
1538817290,4,4
1538818957,6,7
1538820879,16,7
1538822574,3,2
1538823413,4,0
1538824477,2,5
1538826173,7,8
1538827840,8,83
1538828986,2,100
1538830608,5,0
1538831747,3,5
1538832940,2,8
1538834211,0,3
1538835356,4,7
1538836658,2,3
1538838213,5,3
1538839851,6,5
1538841374,17,0
1538842532,16,14
1538843729,4,6
1538844941,13,3
1538846077,14,4
1538846938,9,0
1538847766,8,10
1538848959,16,3
1538849682,10,0
1538850582,7,3
1538851838,3,1
1538853277,2,5
1538854844,5,1
1538856673,6,3
1538858558,5,5
1538859945,3,0
1538861446,10,3
1538862173,3,2
1538863425,2,5
1538865654,7,4
1538867695,2,7
1538868586,0,3
1538870157,4,2
1538871291,1,4
1538872547,2,4
1538874352,0,8
1538876459,2,3
1538877420,7,1
1538878557,8,1
1538880056,20,8
1538882091,20,5
1538882941,7,0
1538884615,14,8
1538885759,5,0
1538886596,5,6
1538888199,8,2
1538889300,6,4
1538890861,9,5
1538892664,16,12
1538892892,0,2
1538894145,7,9
1538895408,9,0
1538896476,3,4
1538897745,3,41
1538898996,6,2
1538900080,1,4
1538901530,4,9
1538902595,2,4
1538903746,3,2
1538905269,1,6
1538905367,0,1
1538906624,3,8
1538907938,3,1
1538908982,1,4
1538910877,1,4
1538911785,1,4
1538912575,2,1
1538914260,4,4
1538916164,6,3
1538917544,2,9
1538919055,10,3
1538919771,4,0
1538921216,6,3
1538922592,11,3
1538924595,5,5
1538926210,8,8
1538926958,0,2
1538927798,2,0
1538928889,4,2
1538930448,5,8
1538932476,3,5
1538936087,20,14
1538937769,21,7
