DateTime,AddedIPs,RemovedIPs
1538419349,179,135
1538420166,92,0
1538421306,105,64
1538422507,106,149
1538423633,81,43
1538425693,208,73
1538427372,249,169
1538428514,108,75
1538429790,83,96
1538430974,45,40
1538432046,36,77
1538434767,120,247
1538435647,39,7
1538436488,45,1
1538437960,65,125
1538439306,47,105
1538440089,35,0
1538441706,60,195
1538442917,38,99
1538444108,45,107
1538446448,82,187
1538447289,38,0
1538448612,36,206
1538449808,85,84
1538450047,5,0
1538451308,73,125
1538452857,67,140
1538454014,46,0
1538455327,35,192
1538456176,34,2
1538457246,55,100
1538458937,94,180
1538460276,65,101
1538461688,80,0
1538463007,61,165
1538464447,79,121
1538465707,74,244
1538466906,97,95
1538468046,75,191
1538469735,127,327
1538471107,94,207
1538472607,62,258
1538473328,32,99
1538474167,35,0
1538475315,58,193
1538476094,33,0
1538477239,61,429
1538478614,69,186
1538479811,59,274
1538480938,48,99
1538482166,85,173
1538483288,104,0
1538484126,122,351
1538485256,95,121
1538486414,72,0
1538487907,86,291
1538489413,103,178
1538491327,105,370
1538492457,48,294
1538493246,23,2
1538494507,50,303
1538496185,101,350
1538497335,97,0
1538498707,101,365
1538499913,70,255
1538501063,66,3
1538502966,102,493
1538504911,116,218
1538506566,148,752
1538507646,61,220
1538508498,52,0
1538509326,44,187
1538510475,116,66
1538511619,62,0
1538512927,54,130
1538514306,54,60
1538515807,70,66
1538517165,63,18
1538518447,48,48
1538519287,25,0
1538521507,119,138
1538523307,66,66
1538525646,89,115
1538526489,46,0
1538528167,157,145
1538529247,74,77
1538530762,87,86
1538532847,102,94
1538534529,119,139
1538535907,86,120
1538537435,46,160
1538540416,110,153
1538540886,19,0
1538542567,76,181
1538543707,59,111
1538544488,39,0
1538545812,62,146
1538547247,92,148
1538548808,87,112
1538550307,80,120
1538551692,70,1
1538553306,70,189
1538554446,62,95
1538556475,89,136
1538557813,80,129
1538558892,73,0
1538559732,57,180
1538560566,40,0
1538561707,55,89
1538562869,45,176
1538564705,92,188
1538565246,45,1
1538566094,85,0
1538567412,100,256
1538568846,115,292
1538570526,145,275
1538571366,70,0
1538572506,77,138
1538573289,55,1
1538574480,338,236
1538575811,525,92
1538577053,126,156
1538578566,166,59
1538579646,68,104
1538581327,115,214
1538582166,182,0
1538584089,252,120
1538584934,47,171
1538585767,39,0
1538586846,41,187
1538587693,34,0
1538589366,97,160
1538591308,134,166
1538592782,87,187
1538594890,135,104
1538596314,71,185
1538597706,135,160
1538599212,84,215
1538600706,75,93
1538602206,83,74
1538602927,32,0
1538603773,43,0
1538604906,38,91
1538606414,66,114
1538607366,48,0
1538608453,60,89
1538610012,116,73
1538611811,99,77
1538613025,87,65
1538614567,120,31
1538615707,54,59
1538616491,69,0
1538617327,38,88
1538619246,135,66
1538620516,60,103
1538622316,66,88
1538622847,30,0
1538624109,53,86
1538625367,57,25
1538626447,63,50
1538628135,78,123
1538629257,62,67
1538630046,45,0
1538630890,33,0
1538632778,99,202
1538634487,111,6
1538636707,110,265
1538638214,78,145
1538640081,157,138
1538641211,53,1
1538642526,81,130
1538643906,53,66
1538645559,53,98
1538646126,31,0
1538647544,67,120
1538648707,36,0
1538649913,50,96
1538651106,114,107
1538651647,46,0
1538655246,227,419
1538656091,55,1
1538657411,97,186
1538658607,52,79
1538659691,111,0
1538660526,58,163
1538662139,90,72
1538663713,120,89
1538664966,97,0
1538666045,59,88
1538667307,70,169
1538669406,138,129
1538670611,93,110
1538671327,51,21
1538672167,44,0
