DateTime,Entries,UniqueIPs
1538382780,600,600
1538384024,602,602
1538385341,600,600
1538386962,596,596
1538388631,598,598
1538389992,594,594
1538390560,598,598
1538391836,598,598
1538393545,596,596
1538394707,596,596
1538395846,598,598
1538397759,597,597
1538398594,598,598
1538399739,598,598
1538401354,592,592
1538402204,594,594
1538404127,590,590
1538404960,586,586
1538406338,585,585
1538407740,587,587
1538408552,584,584
1538409390,587,587
1538411335,585,585
1538412928,582,582
1538414070,580,580
1538415339,575,575
1538416542,575,575
1538417668,572,572
1538419382,573,573
1538420192,574,574
1538421342,574,574
1538422531,572,572
1538423655,572,572
1538425732,628,628
1538427402,693,693
1538428549,699,699
1538429812,701,701
1538431003,705,705
1538432084,705,705
1538434795,702,702
1538435678,703,703
1538436539,707,707
1538437984,706,706
1538439346,702,702
1538440121,704,704
1538441736,698,698
1538442952,701,701
1538444137,697,697
1538446485,693,693
1538447387,688,688
1538448644,688,688
1538449850,683,683
1538451333,681,681
1538453450,679,679
1538455375,675,675
1538456202,678,678
1538457288,677,677
1538458976,663,663
1538460344,657,657
1538461723,662,662
1538463032,663,663
1538464483,666,666
1538465730,664,664
1538466929,660,660
1538468068,660,660
1538469769,656,656
1538471134,651,651
1538472640,647,647
1538473359,647,647
1538474202,649,649
1538475342,650,650
1538476132,652,652
1538477262,644,644
1538478646,646,646
1538479843,646,646
1538480979,643,643
1538482189,642,642
1538483330,645,645
1538484149,644,644
1538485530,646,646
1538487106,645,645
1538489738,646,646
1538491350,643,643
1538493282,643,643
1538494535,640,640
1538496223,640,640
1538498745,639,639
1538499940,637,637
1538501090,641,641
1538502989,641,641
1538504980,639,639
1538506590,640,640
1538508543,641,641
1538509351,641,641
1538510503,643,643
1538511648,645,645
1538512951,643,643
1538514334,643,643
1538515847,644,644
1538517204,645,645
1538518482,646,646
1538519333,647,647
1538521543,651,651
1538523346,651,651
1538525671,651,651
1538526541,653,653
1538528199,650,650
1538529287,647,647
1538530811,646,646
1538532883,649,649
1538534556,646,646
1538535948,642,642
1538537465,643,643
1538538635,646,646
1538539854,645,645
1538542597,639,639
1538543750,637,637
1538544535,639,639
1538545838,640,640
1538547284,639,639
1538548841,641,641
1538550341,639,639
1538551733,642,642
1538553336,644,644
1538554483,642,642
1538556516,642,642
1538557838,636,636
1538558932,637,637
1538559755,633,633
1538560588,637,637
1538561737,634,634
1538562897,632,632
1538565269,639,639
1538566138,640,640
1538567442,646,646
1538568875,647,647
1538570560,644,644
1538571388,645,645
1538572531,645,645
1538574515,695,695
