DateTime,AddedIPs,RemovedIPs
1538411334,105,43
1538412927,90,48
1538414069,55,24
1538415337,77,19
1538416540,78,14
1538417667,42,22
1538419381,78,24
1538420186,32,3
1538421341,47,18
1538422530,42,64
1538423654,38,20
1538425730,77,42
1538427401,128,91
1538428547,77,43
1538429811,41,36
1538431002,21,27
1538432083,12,20
1538434794,23,51
1538435676,8,7
1538436537,9,3
1538437983,14,28
1538439344,11,21
1538440120,8,5
1538441735,11,32
1538442950,11,21
1538444136,9,22
1538446483,17,71
1538447338,13,0
1538448642,12,70
1538449848,48,15
1538450084,1,2
1538451332,36,22
1538453448,13,27
1538455373,17,14
1538456200,5,2
1538457286,25,13
1538458970,43,24
1538460342,29,12
1538461721,29,8
1538463030,20,34
1538464481,19,31
1538465729,32,51
1538466928,33,19
1538468067,19,70
1538469763,69,23
1538471133,50,15
1538472639,19,29
1538473358,5,13
1538474201,5,2
1538475341,9,20
1538476131,6,5
1538477260,13,57
1538478645,15,11
1538479842,15,34
1538480977,12,26
1538482187,45,47
1538483329,60,1
1538484148,91,56
1538485528,70,32
1538487104,74,28
1538488533,43,22
1538489736,39,18
1538491349,30,71
1538493281,23,28
1538494534,14,65
1538496221,32,65
1538497365,50,4
1538498744,53,40
1538499939,41,14
1538501089,21,4
1538502988,36,65
1538504941,53,24
1538506589,98,36
1538507678,35,27
1538508541,33,3
1538509349,14,28
1538510501,45,16
1538511647,19,6
1538512949,19,60
1538514333,21,26
1538515846,18,23
1538517200,20,13
1538518481,10,21
1538519331,10,13
1538521541,21,20
1538523345,10,19
1538525669,22,25
1538526539,22,8
1538528197,56,29
1538529285,44,11
1538530805,29,20
1538532881,36,16
1538534555,71,50
1538535946,40,42
1538537463,6,70
1538538634,10,20
1538539853,18,32
1538540911,6,5
1538542595,20,58
1538543749,16,25
1538544533,9,4
1538545836,18,46
1538547282,40,46
1538548839,23,20
1538550339,28,29
1538551731,38,10
1538553335,26,49
1538554482,13,28
1538556515,22,42
1538557837,43,32
1538558930,43,6
1538559754,34,47
1538560587,15,3
1538561736,14,22
1538562894,14,76
1538565268,31,91
1538566136,8,7
1538567441,15,175
1538568874,26,206
1538570559,41,175
1538571387,35,35
1538572528,83,96
1538573326,42,7
1538574513,74,135
1538575834,68,53
1538577089,37,98
1538578586,30,33
1538579673,14,68
1538581347,40,132
1538582194,20,8
1538584123,23,67
1538584965,14,88
1538585796,13,7
1538586879,14,101
1538587726,15,8
1538589386,79,72
1538591341,77,72
1538592801,33,98
1538594926,62,52
1538596358,29,110
1538597739,87,103
1538599239,36,152
1538600735,43,29
1538602230,56,17
1538602953,22,8
1538603804,20,2
