DateTime,Entries,UniqueIPs
1538411334,5484,5484
1538412927,5526,5526
1538414069,5557,5557
1538415337,5615,5615
1538416540,5679,5679
1538417667,5699,5699
1538419381,5753,5753
1538420186,5782,5782
1538421341,5811,5811
1538422530,5789,5789
1538423654,5807,5807
1538425730,5842,5842
1538427401,5879,5879
1538428547,5913,5913
1538429811,5918,5918
1538431002,5912,5912
1538432083,5904,5904
1538434794,5876,5876
1538435676,5877,5877
1538436537,5883,5883
1538437983,5869,5869
1538439344,5859,5859
1538440120,5862,5862
1538441735,5841,5841
1538442950,5831,5831
1538444136,5818,5818
1538446483,5764,5764
1538447338,5777,5777
1538448642,5719,5719
1538449848,5752,5752
1538450084,5751,5751
1538451332,5765,5765
1538453448,5751,5751
1538455373,5754,5754
1538456200,5757,5757
1538457286,5769,5769
1538458970,5788,5788
1538460342,5805,5805
1538461721,5826,5826
1538463030,5812,5812
1538464481,5800,5800
1538465729,5781,5781
1538466928,5795,5795
1538468067,5744,5744
1538469763,5790,5790
1538471133,5825,5825
1538472639,5815,5815
1538473358,5807,5807
1538474201,5810,5810
1538475341,5799,5799
1538476131,5800,5800
1538477260,5756,5756
1538478645,5760,5760
1538479842,5741,5741
1538480977,5727,5727
1538482187,5725,5725
1538483329,5784,5784
1538484148,5819,5819
1538485528,5857,5857
1538487104,5903,5903
1538488533,5924,5924
1538489736,5945,5945
1538491349,5904,5904
1538493281,5899,5899
1538494534,5848,5848
1538496221,5815,5815
1538497365,5861,5861
1538498744,5874,5874
1538499939,5901,5901
1538501089,5918,5918
1538502988,5889,5889
1538504941,5918,5918
1538506589,5980,5980
1538507678,5988,5988
1538508541,6018,6018
1538509349,6004,6004
1538510501,6033,6033
1538511647,6046,6046
1538512949,6005,6005
1538514333,6000,6000
1538515846,5995,5995
1538517200,6002,6002
1538518481,5991,5991
1538519331,5988,5988
1538521541,5989,5989
1538523345,5980,5980
1538525669,5977,5977
1538526539,5991,5991
1538528197,6018,6018
1538529285,6051,6051
1538530805,6060,6060
1538532881,6080,6080
1538534555,6101,6101
1538535946,6099,6099
1538537463,6035,6035
1538538634,6025,6025
1538539853,6011,6011
1538540911,6012,6012
1538542595,5974,5974
