DateTime,AddedIPs,RemovedIPs
1538409382,45,2
1538411317,143,82
1538412921,107,118
1538414062,66,55
1538415329,93,73
1538416534,93,24
1538417661,56,62
1538419375,101,90
1538420179,39,1
1538421334,61,53
1538422522,61,115
1538423647,53,37
1538425716,102,57
1538427394,152,126
1538428535,84,50
1538429804,48,56
1538430996,26,32
1538432076,22,52
1538434787,65,157
1538435670,26,8
1538436521,23,2
1538437976,42,80
1538439333,23,73
1538440114,24,3
1538441722,35,100
1538442943,28,70
1538444129,28,74
1538446476,46,136
1538447320,26,0
1538448629,29,147
1538449836,61,61
1538450073,4,0
1538451326,55,82
1538453441,52,83
1538455367,25,101
1538456194,24,2
1538457276,35,55
1538458963,63,121
1538460335,44,60
1538461713,58,2
1538463023,39,112
1538464474,50,92
1538465722,57,207
1538466921,71,71
1538468062,45,154
1538469757,103,253
1538471127,72,172
1538472632,33,216
1538473352,18,81
1538474191,19,0
1538475333,39,158
1538476116,16,3
1538477253,29,354
1538478639,46,158
1538479834,41,228
1538480960,32,76
1538482181,60,148
1538483310,83,2
1538484140,104,280
1538485523,90,90
1538487097,79,159
1538488523,75,77
1538489730,58,135
1538491341,62,309
1538493268,48,218
1538494528,32,252
1538496207,57,304
1538497359,71,0
1538498734,82,282
1538499932,55,130
1538501082,41,5
1538502981,71,358
1538504932,84,162
1538506582,117,427
1538507671,50,194
1538508530,42,1
1538509342,31,133
1538510495,58,39
1538511630,42,2
1538512942,22,83
1538514327,44,29
1538515835,44,40
1538517184,41,15
1538518475,30,31
1538519315,16,6
1538521534,67,80
1538523334,43,43
1538525662,55,82
1538526522,37,6
1538528189,86,105
1538529277,58,46
1538530792,56,61
1538532873,67,69
1538534546,105,113
1538535938,62,95
1538537454,29,120
1538538626,25,44
1538539840,33,78
1538540903,27,0
1538542588,43,141
1538543741,39,77
1538544517,24,2
1538545829,40,114
1538547275,68,119
1538548832,56,85
1538550331,41,91
1538551717,53,3
1538553328,46,156
1538554472,44,75
1538556497,49,110
1538557831,67,89
1538558914,58,4
1538559747,43,141
1538560580,28,2
1538561728,38,59
1538562883,37,133
1538565260,67,147
1538566121,16,1
1538567434,26,222
1538568867,48,259
1538570552,71,246
1538571380,43,10
1538572520,79,121
1538573316,63,3
1538574496,268,197
1538575827,510,72
1538577075,117,140
1538578579,136,52
1538579667,46,86
1538581341,81,194
1538582188,172,3
1538584111,212,96
1538584959,21,125
1538585789,22,4
1538586873,21,138
1538587711,27,2
1538589379,81,96
1538591330,105,90
1538592795,54,132
1538594911,89,82
1538596336,39,140
1538597730,97,127
1538599232,52,181
1538600729,53,41
1538602222,63,27
1538602947,25,2
1538603797,31,0
1538604928,22,59
1538606439,50,66
1538607395,38,5
1538608476,45,53
1538610033,87,47
1538611829,86,48
1538613046,82,46
1538614583,111,22
1538615742,37,34
1538616510,32,1
1538617344,28,51
1538619271,90,51
1538620533,37,70
1538622871,50,42
1538624132,29,32
1538625385,34,12
1538626463,39,37
1538628156,52,85
1538629526,47,32
1538630063,20,0
1538630918,22,2
1538632793,49,142
1538634522,48,14
1538636734,53,185
1538638238,43,120
1538640095,107,118
1538641231,37,5
1538642552,51,79
1538643927,36,44
1538645576,38,60
1538646140,22,1
1538647558,48,78
1538648721,29,5
1538649935,24,66
1538651133,66,80
1538651661,39,6
1538655271,153,368
1538656114,43,4
1538657430,72,151
1538658635,32,72
1538659712,82,5
1538660550,49,119
1538662159,45,55
1538663750,100,61
1538664980,83,4
1538666059,43,55
1538667321,47,121
1538669434,101,104
1538670625,75,64
1538671352,36,13
1538672179,34,2
1538673270,44,58
1538674836,42,84
1538675786,22,16
1538676871,25,96
1538677723,31,1
1538679925,78,158
1538681120,28,2
1538682150,20,67
1538682987,60,1
1538684126,45,47
1538684918,29,3
1538686580,77,46
1538688507,110,57
1538689966,51,63
1538691334,45,39
1538692114,24,2
1538693781,54,59
1538694941,43,36
1538697395,92,79
1538699322,112,57
1538700533,83,106
1538701832,64,34
1538703042,50,54
1538704525,74,31
1538705726,89,133
1538707347,56,65
1538708597,41,40
1538710120,47,7
1538711594,60,63
1538713721,60,51
1538715389,73,66
1538716476,47,48
1538717334,39,5
1538718971,97,105
1538720133,56,44
1538721309,67,68
1538722528,82,30
1538723677,61,44
1538724931,102,52
1538726125,82,26
1538727338,112,60
1538728535,30,85
1538730308,67,103
1538731507,68,0
1538733400,71,78
1538734538,50,50
1538735726,47,59
1538736876,33,23
1538738919,96,51
1538739740,40,83
1538741439,66,67
1538742838,62,72
1538744645,96,699
1538745268,28,1
1538746106,74,3
1538747782,133,132
1538748862,66,212
1538750547,139,111
1538751928,100,218
1538752649,28,2
1538754982,158,202
1538756430,68,38
1538757634,41,41
1538757754,5,30
1538759669,74,63
1538760777,53,84
1538762041,69,2
1538763272,58,69
1538764134,37,8
1538764949,70,73
1538766334,197,106
1538768553,140,127
1538769873,60,59
1538771423,66,100
1538772639,47,29
1538774062,80,63
1538774917,26,8
1538776226,42,81
1538777679,35,57
1538778524,17,3
1538780129,63,118
1538782125,89,74
1538782946,41,142
1538783794,38,10
1538784871,49,186
1538786439,112,70
1538787937,67,85
1538789729,115,77
1538792075,57,90
1538793639,96,68
1538794607,50,13
1538796527,83,68
1538799267,122,173
1538800852,42,75
1538801798,50,31
1538802933,48,60
1538803725,29,3
1538805383,52,70
1538806540,55,82
1538807732,49,62
1538809081,41,34
1538810433,74,59
1538811640,44,86
1538813679,76,84
1538814520,22,3
1538815822,41,72
1538817275,89,73
1538818917,50,108
1538820864,57,52
1538822558,71,164
1538823396,38,2
1538824462,36,60
1538826158,61,128
1538827799,145,79
1538828930,154,2
1538830588,95,116
1538831729,108,127
1538832924,74,114
1538834191,56,66
1538835339,74,94
1538836627,69,70
1538838183,63,90
1538839833,84,113
1538842830,125,123
1538843963,54,96
1538846062,83,79
1538846903,36,6
1538847751,60,81
1538848919,69,45
1538849667,28,5
1538850524,48,6
1538851823,46,68
1538853262,64,75
1538854829,49,68
1538856640,73,102
1538856872,6,1
