DateTime,Entries,UniqueIPs
1538409382,36048,36048
1538411317,36109,36109
1538412921,36098,36098
1538414062,36109,36109
1538415329,36129,36129
1538416534,36198,36198
1538417661,36192,36192
1538419375,36203,36203
1538420179,36241,36241
1538421334,36249,36249
1538422522,36195,36195
1538423647,36211,36211
1538425716,36256,36256
1538427394,36282,36282
1538428535,36316,36316
1538429804,36308,36308
1538430996,36302,36302
1538432076,36272,36272
1538434787,36180,36180
1538435670,36198,36198
1538436521,36219,36219
1538437976,36181,36181
1538439333,36131,36131
1538440114,36152,36152
1538441722,36087,36087
1538442943,36045,36045
1538444129,35999,35999
1538446476,35909,35909
1538447320,35935,35935
1538448629,35817,35817
1538449836,35817,35817
1538450073,35821,35821
1538451326,35794,35794
1538453441,35763,35763
1538455367,35687,35687
1538456194,35709,35709
1538457276,35689,35689
1538458963,35631,35631
1538460335,35615,35615
1538461713,35671,35671
1538463023,35598,35598
1538464474,35556,35556
1538465722,35406,35406
1538466921,35406,35406
1538468062,35297,35297
1538469757,35147,35147
1538471127,35047,35047
1538472632,34864,34864
1538473352,34801,34801
1538474191,34820,34820
1538475333,34701,34701
1538476116,34714,34714
1538477253,34389,34389
1538478639,34277,34277
1538479834,34090,34090
1538480960,34046,34046
1538482181,33958,33958
1538483310,34039,34039
1538484140,33863,33863
1538485523,33863,33863
1538487097,33783,33783
1538488523,33781,33781
1538489730,33704,33704
1538491341,33457,33457
1538493268,33287,33287
1538494528,33067,33067
1538496207,32820,32820
1538497359,32891,32891
1538498734,32691,32691
1538499932,32616,32616
1538501082,32652,32652
1538502981,32365,32365
1538504932,32287,32287
1538506582,31977,31977
1538507671,31833,31833
1538508530,31874,31874
1538509342,31772,31772
1538510495,31791,31791
1538511630,31831,31831
1538512942,31770,31770
1538514327,31785,31785
1538515835,31789,31789
1538517184,31815,31815
1538518475,31814,31814
1538519315,31824,31824
1538521534,31811,31811
1538523334,31811,31811
1538525662,31784,31784
1538526522,31815,31815
1538528189,31796,31796
1538529277,31808,31808
1538530792,31803,31803
1538532873,31801,31801
1538534546,31793,31793
1538535938,31760,31760
1538537454,31669,31669
1538538626,31650,31650
1538539840,31605,31605
1538540903,31632,31632
1538542588,31534,31534
1538543741,31496,31496
1538544517,31518,31518
1538545829,31444,31444
1538547275,31393,31393
1538548832,31364,31364
1538550331,31314,31314
1538551717,31364,31364
1538553328,31254,31254
1538554472,31223,31223
1538556497,31162,31162
1538557831,31140,31140
1538558914,31194,31194
1538559747,31096,31096
1538560580,31122,31122
1538561728,31101,31101
1538562883,31005,31005
1538565260,30925,30925
1538566121,30940,30940
1538567434,30744,30744
1538568867,30533,30533
1538570552,30358,30358
1538571380,30391,30391
1538572520,30349,30349
1538573316,30409,30409
1538574496,30480,30480
1538575827,30918,30918
1538577075,30895,30895
1538578579,30979,30979
1538579667,30939,30939
1538581341,30826,30826
1538582188,30995,30995
1538584111,31111,31111
1538584959,31007,31007
1538585789,31025,31025
1538586873,30908,30908
1538587711,30933,30933
1538589379,30918,30918
1538591330,30933,30933
1538592795,30855,30855
1538594911,30862,30862
1538596336,30761,30761
1538597730,30731,30731
1538599232,30602,30602
1538600729,30614,30614
1538602222,30650,30650
1538602947,30673,30673
1538603797,30704,30704
1538604928,30667,30667
1538606439,30651,30651
1538607395,30684,30684
1538608476,30676,30676
1538610033,30716,30716
1538611829,30754,30754
1538613046,30790,30790
1538614583,30879,30879
1538615742,30882,30882
1538616510,30913,30913
1538617344,30890,30890
1538619271,30929,30929
1538620533,30896,30896
1538622871,30904,30904
1538624132,30901,30901
1538625385,30923,30923
1538626463,30925,30925
1538628156,30892,30892
1538629526,30907,30907
1538630063,30927,30927
1538630918,30947,30947
1538632793,30854,30854
1538634522,30888,30888
1538636734,30756,30756
1538638238,30679,30679
1538640095,30668,30668
1538641231,30700,30700
1538642552,30672,30672
1538643927,30664,30664
1538645576,30642,30642
1538646140,30663,30663
1538647558,30633,30633
1538648721,30657,30657
1538649935,30615,30615
1538651133,30601,30601
1538651661,30634,30634
1538655271,30419,30419
1538656114,30458,30458
1538657430,30379,30379
1538658635,30339,30339
1538659712,30416,30416
1538660550,30346,30346
1538662159,30336,30336
1538663750,30375,30375
1538664980,30454,30454
1538666059,30442,30442
1538667321,30368,30368
1538669434,30365,30365
1538670625,30376,30376
1538671352,30399,30399
1538672179,30431,30431
1538673270,30417,30417
1538674836,30375,30375
1538675786,30381,30381
1538676871,30310,30310
1538677723,30340,30340
1538679925,30260,30260
1538681120,30286,30286
1538682150,30239,30239
1538682987,30298,30298
1538684126,30296,30296
1538684918,30322,30322
1538686580,30353,30353
1538688507,30406,30406
1538689966,30394,30394
1538691334,30400,30400
1538692114,30422,30422
1538693781,30417,30417
1538694941,30424,30424
1538697395,30437,30437
1538699322,30492,30492
1538700533,30469,30469
1538701832,30499,30499
1538703042,30495,30495
1538704525,30538,30538
1538705726,30494,30494
1538707347,30485,30485
1538708597,30486,30486
1538710120,30526,30526
1538711594,30523,30523
1538713721,30532,30532
1538715389,30539,30539
1538716476,30538,30538
1538717334,30572,30572
1538718971,30564,30564
1538720133,30576,30576
1538721309,30575,30575
1538722528,30627,30627
1538723677,30644,30644
1538724931,30694,30694
1538726125,30750,30750
1538727338,30802,30802
1538728535,30747,30747
1538730308,30711,30711
1538731507,30779,30779
1538733400,30772,30772
1538734538,30772,30772
1538735726,30760,30760
1538736876,30770,30770
1538738919,30815,30815
1538739740,30772,30772
1538741439,30771,30771
1538742838,30761,30761
1538744645,30158,30158
1538745268,30185,30185
1538746106,30256,30256
1538747782,30257,30257
1538748862,30111,30111
1538750547,30139,30139
1538751928,30021,30021
1538752649,30047,30047
1538754982,30003,30003
1538756430,30033,30033
1538757634,30033,30033
1538757754,30008,30008
1538759669,30019,30019
1538760777,29988,29988
1538762041,30055,30055
1538763272,30044,30044
1538764134,30073,30073
1538764949,30070,30070
1538766334,30161,30161
1538768553,30174,30174
1538769873,30175,30175
1538771423,30141,30141
1538772639,30159,30159
1538774062,30176,30176
1538774917,30194,30194
1538776226,30155,30155
1538777679,30133,30133
1538778524,30147,30147
1538780129,30092,30092
1538782125,30107,30107
1538782946,30006,30006
1538783794,30034,30034
1538784871,29897,29897
1538786439,29939,29939
1538787937,29921,29921
1538789729,29959,29959
1538792075,29926,29926
1538793639,29954,29954
1538794607,29991,29991
1538796527,30006,30006
1538799267,29955,29955
1538800852,29922,29922
1538801798,29941,29941
1538802933,29929,29929
1538803725,29955,29955
1538805383,29937,29937
1538806540,29910,29910
1538807732,29897,29897
1538809081,29904,29904
1538810433,29919,29919
1538811640,29877,29877
1538813679,29869,29869
1538814520,29888,29888
1538815822,29857,29857
1538817275,29873,29873
1538818917,29815,29815
1538820864,29820,29820
1538822558,29727,29727
1538823396,29763,29763
1538824462,29739,29739
1538826158,29672,29672
1538827799,29738,29738
1538828930,29890,29890
1538830588,29869,29869
1538831729,29850,29850
1538832924,29810,29810
1538834191,29800,29800
1538835339,29780,29780
1538836627,29779,29779
1538838183,29752,29752
1538839833,29723,29723
1538842830,29725,29725
1538843963,29683,29683
1538846062,29687,29687
1538846903,29717,29717
1538847751,29696,29696
1538848919,29720,29720
1538849667,29743,29743
1538850524,29785,29785
1538851823,29763,29763
1538853262,29752,29752
1538854829,29733,29733
1538856640,29704,29704
