DateTime,Entries,UniqueIPs
1538411313,4858,4858
1538412915,4833,4833
1538414057,4814,4814
1538415319,4816,4816
1538416525,4831,4831
1538417656,4829,4829
1538419366,4864,4864
1538420175,4911,4911
1538421322,4943,4943
1538422517,4959,4959
1538423642,4978,4978
1538425708,5015,5015
1538427385,5003,5003
1538428527,4997,4997
1538429798,4992,4992
1538430991,4998,4998
1538432065,4988,4988
1538434781,4958,4958
1538435660,4969,4969
1538436507,4988,4988
1538437971,4969,4969
1538439321,4975,4975
1538440101,4984,4984
1538441717,4919,4919
1538442931,4900,4900
1538444120,4887,4887
1538446464,4876,4876
1538447304,4886,4886
1538448624,4852,4852
1538449822,4857,4857
1538450061,4858,4858
1538451320,4840,4840
1538453430,4823,4823
1538455346,4769,4769
1538456189,4772,4772
1538457264,4747,4747
1538458949,4728,4728
1538460329,4722,4722
1538461704,4735,4735
1538463018,4710,4710
1538464461,4711,4711
1538465717,4697,4697
1538466916,4701,4701
1538468056,4695,4695
1538469750,4647,4647
1538471118,4636,4636
1538472623,4631,4631
1538473341,4627,4627
1538474179,4639,4639
1538475327,4630,4630
1538476112,4645,4645
1538477248,4618,4618
1538478627,4610,4610
1538479823,4594,4594
1538480949,4591,4591
1538482176,4591,4591
1538483301,4609,4609
1538484136,4562,4562
1538485511,4550,4550
1538487093,4537,4537
1538488511,4530,4530
1538489719,4511,4511
1538491336,4486,4486
1538493255,4486,4486
1538494519,4464,4464
1538496202,4466,4466
1538497350,4486,4486
1538498723,4448,4448
1538499928,4403,4403
1538501078,4420,4420
1538502976,4391,4391
1538504924,4400,4400
1538506576,4386,4386
1538507663,4378,4378
1538508518,4384,4384
1538509336,4357,4357
1538510486,4382,4382
1538511636,4402,4402
1538512937,4388,4388
1538514318,4368,4368
1538515823,4372,4372
1538517175,4383,4383
1538518465,4376,4376
1538519300,4384,4384
1538521525,4374,4374
1538523321,4373,4373
1538525657,4371,4371
1538526508,4380,4380
1538528180,4411,4411
1538529265,4403,4403
1538530783,4409,4409
1538532861,4403,4403
1538534541,4391,4391
1538535920,4393,4393
1538537448,4381,4381
1538538620,4385,4385
1538539825,4384,4384
1538540897,4394,4394
1538542579,4394,4394
1538543727,4384,4384
1538544502,4394,4394
1538545824,4386,4386
1538547261,4379,4379
1538548819,4382,4382
1538550322,4396,4396
1538551704,4410,4410
1538553319,4400,4400
1538554462,4400,4400
1538556486,4411,4411
1538557826,4396,4396
1538558910,4410,4410
1538559742,4383,4383
1538560575,4390,4390
1538561718,4376,4376
1538562878,4344,4344
1538564720,4338,4338
1538565256,4359,4359
1538566116,4425,4425
1538567423,4461,4461
1538568858,4493,4493
1538570543,4542,4542
1538571375,4569,4569
1538572514,4564,4564
1538573307,4570,4570
1538574490,4553,4553
1538575822,4557,4557
1538577066,4556,4556
1538578575,4567,4567
1538579658,4565,4565
1538581336,4566,4566
1538582179,4579,4579
1538584106,4582,4582
1538584946,4567,4567
1538585780,4582,4582
1538586862,4560,4560
1538587705,4564,4564
1538589374,4518,4518
1538591320,4490,4490
1538592791,4462,4462
1538594900,4476,4476
1538596324,4455,4455
1538597719,4451,4451
1538599224,4439,4439
1538600717,4415,4415
1538602216,4385,4385
1538602937,4390,4390
1538603786,4401,4401
1538604919,4389,4389
1538606426,4360,4360
1538607384,4370,4370
1538608467,4357,4357
1538610024,4366,4366
1538611825,4349,4349
1538613042,4347,4347
1538614577,4359,4359
1538615727,4348,4348
1538616505,4376,4376
1538617338,4355,4355
1538619262,4365,4365
1538620528,4350,4350
1538622861,4340,4340
1538624121,4308,4308
1538625380,4312,4312
1538626459,4318,4318
1538628151,4304,4304
1538629513,4300,4300
1538630057,4308,4308
1538630903,4316,4316
1538632787,4314,4314
1538634507,4372,4372
1538636723,4354,4354
1538638227,4354,4354
1538640090,4378,4378
1538641221,4388,4388
1538642542,4362,4362
1538643918,4356,4356
1538645567,4340,4340
1538646135,4344,4344
1538647553,4331,4331
1538648716,4336,4336
1538649929,4325,4325
1538651121,4335,4335
1538651655,4341,4341
1538655258,4351,4351
