DateTime,AddedIPs,RemovedIPs
1538020580,29,11
1538022493,31,16
1538024424,28,26
1538028265,27,49
1538030184,27,21
1538032604,35,0
1538034759,21,0
1538036664,29,0
1538038567,23,20
1538040494,10,16
1538042448,14,16
1538044339,10,10
1538046275,34,8
1538048181,16,0
1538050116,21,25
1538052013,6,27
1538053939,12,27
1538055868,19,29
1538057780,11,28
1538059707,31,32
1538061631,18,5
1538063552,6,10
1538065471,27,7
1538067375,12,14
1538071453,8,25
1538073615,9,14
1538075548,36,28
1538077466,32,15
1538079384,18,19
1538081306,27,11
1538083216,16,14
1538085134,8,18
1538087068,33,10
1538088969,10,0
1538090897,25,7
1538092837,10,13
1538095244,10,31
1538097139,19,0
1538099068,32,20
1538100993,31,25
1538102904,21,20
1538104809,16,14
1538106737,23,25
1538108652,30,29
1538110575,30,33
1538112493,42,32
1538114434,29,0
1538116432,36,27
1538120193,20,52
1538122098,24,17
1538124024,23,30
1538125953,11,24
1538127868,11,12
1538129799,11,12
1538131940,24,9
1538133869,37,32
1538136058,15,19
1538137955,13,24
1538139862,13,7
1538141783,14,16
1538143699,12,24
1538145610,22,10
1538147539,10,31
1538149455,32,20
1538151383,23,4
1538155217,17,39
1538157130,18,0
1538159052,32,10
1538160973,8,4
1538162890,24,29
1538164835,10,32
1538166747,18,18
1538168665,15,27
1538174434,14,64
1538176349,5,9
1538178258,24,18
1538180181,24,13
1538182093,33,11
1538185949,28,57
1538187855,41,35
1538189794,36,24
1538191694,30,19
1538193634,35,24
1538195551,25,32
1538197475,22,30
1538201314,32,72
1538203226,26,34
1538205147,30,0
1538207077,27,20
1538208983,15,30
1538210897,32,29
1538212820,9,10
1538216653,20,17
1538218590,37,27
1538220486,30,39
1538222459,37,0
1538224334,13,20
1538226256,38,15
1538228179,32,11
1538230096,19,14
1538232008,11,12
1538233933,19,19
1538235848,36,10
1538237777,23,35
1538239701,29,19
1538241614,23,0
1538243524,13,15
1538245452,31,18
1538247366,10,30
1538249289,30,11
1538251462,10,34
1538253385,17,16
1538257210,10,16
1538259139,21,0
1538261055,19,11
1538262977,28,7
1538264892,23,23
1538266811,13,24
1538268731,11,31
1538270666,26,0
1538272575,17,29
1538274493,31,37
1538276439,11,30
1538278338,28,35
1538282186,34,58
1538284110,16,30
1538286010,25,0
1538289868,39,61
1538291785,38,29
1538293698,31,27
1538297547,10,47
1538299470,12,7
