DateTime,Entries,UniqueIPs
1538020580,16041,16401
1538022493,16044,16405
1538024424,16042,16402
1538028265,16027,16388
1538030184,16032,16393
1538032604,16054,16415
1538034759,16048,16409
1538036664,16046,16407
1538038567,16040,16400
1538040494,16038,16398
1538042448,16038,16398
1538044339,16039,16399
1538046275,16053,16413
1538048181,16049,16409
1538050116,16041,16402
1538052013,16044,16405
1538053939,16035,16396
1538055868,16049,16410
1538057780,16047,16408
1538059707,16053,16414
1538061631,16054,16415
1538063552,16056,16417
1538065471,16071,16432
1538067375,16064,16425
1538071453,16051,16412
1538073615,16031,16393
1538075548,16044,16406
1538077466,16050,16412
1538079384,16054,16416
1538081306,16063,16425
1538083216,16067,16429
1538085134,16066,16428
1538087068,16084,16446
1538088969,16087,16450
1538090897,16088,16453
1538092837,16078,16440
1538095244,16072,16434
1538097139,16060,16422
1538099068,16067,16432
1538100993,16075,16441
1538102904,16078,16445
1538104809,16074,16441
1538106737,16077,16445
1538108652,16087,16454
1538110575,16084,16451
1538112493,16091,16459
1538114434,16094,16463
1538116432,16107,16476
1538120193,16092,16460
1538122098,16087,16455
1538124024,16098,16467
1538125953,16084,16453
1538127868,16083,16452
1538129799,16082,16451
1538131940,16098,16467
1538133869,16121,16491
1538136058,16124,16494
1538137955,16127,16498
1538139862,16127,16498
1538141783,16119,16491
1538143699,16102,16473
1538145610,16107,16478
1538147539,16097,16468
1538149455,16115,16486
1538151383,16119,16491
1538155217,16114,16488
1538157130,16118,16494
1538159052,16126,16503
1538160973,16120,16497
1538162890,16131,16507
1538164835,16123,16498
1538166747,16131,16506
1538168665,16133,16507
1538174434,16119,16493
1538176349,16110,16483
1538178258,16112,16484
1538180181,16122,16494
1538182093,16127,16499
1538185949,16132,16504
1538187855,16150,16522
1538189794,16155,16528
1538191694,16164,16536
1538193634,16178,16551
1538195551,16184,16556
1538197475,16194,16565
1538201314,16193,16565
1538203226,16195,16567
1538205147,16194,16565
1538207077,16183,16553
1538208983,16191,16561
1538210897,16194,16564
1538212820,16182,16552
1538216653,16185,16554
1538218590,16199,16568
1538220486,16212,16584
1538222459,16219,16591
1538224334,16215,16587
1538226256,16217,16589
1538228179,16223,16595
1538230096,16231,16604
1538232008,16225,16597
1538233933,16238,16610
1538235848,16258,16632
1538237777,16265,16639
1538239701,16279,16653
1538241614,16280,16653
1538243524,16277,16650
1538245452,16284,16658
1538247366,16275,16649
1538249289,16286,16660
1538251462,16287,16661
1538253385,16282,16656
1538257210,16273,16647
1538259139,16279,16655
1538261055,16283,16659
1538262977,16293,16669
1538264892,16302,16678
1538266811,16307,16683
1538268731,16316,16692
1538270666,16323,16701
1538272575,16319,16697
1538274493,16327,16705
1538276439,16332,16711
1538278338,16345,16725
1538282186,16359,16739
1538284110,16365,16745
1538286010,16370,16750
1538289868,16387,16770
1538291785,16403,16787
1538293698,16411,16795
1538297547,16392,16776
1538299470,16382,16766
1538301373,16384,16768
1538303317,16381,16765
1538305247,16377,16760
1538307382,16385,16769
1538309314,16398,16784
1538311234,16415,16801
1538313136,16427,16814
1538315057,16435,16822
1538316993,16441,16829
1538318895,16442,16830
1538320831,16443,16831
1538322770,16442,16830
1538324662,16440,16828
1538328489,16446,16834
1538330441,16426,16814
1538334262,16427,16815
1538336189,16434,16823
1538338121,16430,16820
1538341952,16425,16816
1538343851,16450,16841
1538345783,16443,16834
1538347692,16461,16852
1538349634,16440,16830
1538351533,16443,16833
1538353471,16434,16824
1538355369,16441,16831
1538357309,16439,16829
1538359240,16433,16823
1538361161,16444,16835
1538363072,16453,16844
1538364973,16465,16856
1538366911,16467,16858
1538368824,16482,16873
1538370995,16477,16867
1538372900,16474,16864
1538374841,16468,16858
1538376738,16468,16858
1538380579,16461,16849
1538382493,16462,16849
1538388265,16444,16830
1538390192,16443,16829
1538392115,16451,16836
1538394031,16462,16847
1538398108,16464,16848
1538403853,16435,16817
1538405802,16433,16815
1538407938,16425,16806
1538410143,16415,16796
1538413935,16400,16781
1538415875,16401,16781
1538417794,16400,16780
1538419715,16406,16786
1538421629,16401,16780
1538423554,16389,16769
1538425463,16388,16768
1538427406,16382,16762
1538429550,16380,16760
1538431478,16366,16746
1538433383,16359,16739
1538435316,16372,16752
1538437224,16366,16746
1538439152,16371,16751
1538441057,16369,16747
1538442988,16364,16744
1538444903,16364,16745
1538446837,16366,16747
1538448731,16359,16740
1538450670,16359,16739
1538452585,16364,16744
1538454511,16363,16743
1538456424,16358,16738
1538458349,16361,16737
1538460252,16351,16727
1538462183,16346,16726
1538464351,16345,16724
1538466257,16357,16738
1538468434,16355,16737
1538470354,16346,16729
1538472269,16333,16714
1538474174,16338,16719
1538476108,16351,16732
1538478040,16367,16748
1538479951,16387,16768
1538482105,16399,16780
1538484012,16404,16785
1538485954,16402,16782
1538487861,16417,16797
1538489802,16425,16806
1538491703,16418,16799
1538493634,16428,16812
1538497468,16427,16811
1538501312,16434,16819
1538503235,16433,16819
1538505145,16438,16824
1538507064,16436,16822
1538509001,16432,16818
1538510900,16441,16828
1538512829,16439,16826
1538514980,16433,16819
1538516906,16431,16817
1538518832,16429,16814
1538520736,16428,16813
1538522665,16428,16812
1538524588,16423,16809
1538526492,16431,16817
1538528449,16439,16826
1538530339,16444,16832
1538532274,16443,16832
1538534424,16449,16838
1538538249,16435,16823
1538542238,16412,16802
1538544261,16401,16791
1538546186,16395,16782
1538548111,16406,16794
1538550038,16413,16802
1538551937,16413,16802
1538553863,16418,16807
1538555798,16427,16816
1538557720,16411,16801
1538559631,16424,16814
1538561549,16435,16824
1538563458,16448,16837
1538565401,16452,16841
1538567316,16454,16842
1538569461,16470,16858
1538571370,16469,16856
1538573306,16485,16874
1538575219,16491,16879
1538577151,16507,16895
1538579065,16508,16897
1538580992,16523,16913
1538582952,16543,16933
1538584824,16538,16928
1538586739,16530,16920
1538588670,16531,16922
1538590584,16548,16940
1538592493,16556,16948
1538594654,16561,16953
1538596602,16543,16934
1538598494,16555,16947
1538602339,16543,16937
1538604256,16555,16949
1538610015,16549,16943
1538611935,16547,16942
1538613867,16552,16947
1538616023,16553,16948
1538617930,16548,16944
1538619854,16554,16951
1538621787,16564,16961
1538623689,16574,16971
1538625635,16589,16986
1538627537,16597,16994
1538631613,16600,16995
1538633784,16600,16994
1538637613,16616,17010
1538639537,16613,17007
1538641457,16627,17021
1538643386,16622,17015
1538645292,16616,17010
1538647245,16625,17021
1538649136,16638,17034
1538651064,16654,17051
1538652982,16672,17069
1538654910,16674,17071
1538657070,16679,17075
1538658981,16677,17073
1538660892,16676,17072
1538662809,16676,17072
1538664732,16674,17070
1538666652,16685,17081
1538668580,16675,17072
1538670491,16676,17072
1538676270,16682,17078
1538678181,16705,17101
1538680110,16718,17115
1538682014,16717,17114
1538685868,16708,17105
1538687783,16709,17109
1538689694,16723,17124
1538691613,16730,17131
1538693537,16722,17123
1538695465,16728,17127
1538697881,16726,17125
1538699768,16729,17127
1538701705,16727,17125
1538703860,16732,17129
1538705791,16741,17139
1538707711,16737,17134
1538709615,16740,17137
1538713470,16736,17133
1538715370,16735,17131
1538717307,16728,17125
1538719240,16730,17127
1538721140,16743,17140
1538723072,16741,17138
1538724966,16755,17152
1538726906,16761,17159
1538728811,16765,17163
1538730986,16768,17166
1538732893,16773,17171
1538734823,16769,17167
1538736739,16763,17162
1538738653,16783,17182
1538740576,16783,17182
1538742509,16800,17199
1538744437,16813,17212
1538746342,16810,17209
1538748276,16820,17219
1538750414,16830,17230
1538752336,16852,17252
1538754272,16841,17241
1538756185,16856,17256
1538758335,16842,17242
1538760274,16852,17252
1538762171,16862,17263
1538764107,16871,17273
1538766043,16866,17268
1538767963,16865,17266
1538769863,16876,17278
1538773701,16890,17292
1538775634,16878,17280
1538777554,16878,17280
1538779459,16878,17281
1538781390,16885,17288
1538783318,16900,17303
1538785225,16912,17315
1538787151,16921,17325
1538789103,16922,17326
1538791013,16925,17328
1538792918,16934,17337
1538794839,16933,17339
1538796741,16941,17348
1538798661,16938,17345
1538800600,16931,17338
1538804559,16913,17320
1538808754,16905,17314
1538810654,16918,17326
1538812592,16930,17338
1538814495,16927,17335
1538816434,16930,17339
1538818332,16928,17337
1538820257,16930,17340
1538822201,16943,17355
1538826013,16933,17346
1538827937,16946,17359
1538829868,16944,17359
1538831776,16953,17367
1538833950,16947,17361
1538835865,16945,17358
1538837770,16945,17358
1538839688,16951,17364
1538841618,16961,17374
1538843548,16968,17385
1538845456,16975,17392
1538849317,16979,17396
1538851211,16990,17407
1538853136,16994,17411
1538855052,16991,17409
1538856979,16994,17412
1538858888,17011,17432
1538860827,17020,17441
1538862733,17016,17438
1538864665,17035,17457
1538866571,17039,17462
1538868487,17053,17476
1538870421,17065,17488
1538872348,17050,17473
1538874250,17058,17481
1538876170,17060,17487
1538880015,17041,17467
1538881938,17045,17471
1538883858,17060,17486
1538885793,17049,17475
1538887711,17038,17464
1538889612,17022,17448
1538891533,17024,17450
1538893453,17039,17465
1538895375,17041,17467
1538897291,17048,17475
1538899233,17055,17482
1538901135,17060,17488
1538903056,17075,17503
1538904981,17077,17505
1538906910,17076,17504
1538908810,17083,17512
1538910732,17103,17532
1538912655,17105,17534
1538916496,17104,17533
1538918421,17121,17552
1538920351,17116,17547
1538922256,17115,17546
1538924186,17108,17539
1538926089,17112,17544
1538928043,17121,17553
1538929938,17126,17558
1538931862,17135,17567
1538933772,17141,17574
1538935950,17149,17582
1538937854,17147,17581
1538939787,17158,17592
1538941705,17162,17595
1538943615,17175,17609
1538945553,17177,17611
1538947468,17169,17603
1538949369,17174,17609
1538951309,17177,17612
1538955153,17169,17602
1538957075,17170,17603
1538959726,17187,17620
1538961868,17186,17618
1538963790,17195,17627
1538965705,17191,17625
1538967628,17187,17622
1538969538,17193,17628
1538971457,17187,17621
1538973384,17184,17619
