DateTime,AddedIPs,RemovedIPs
1538020580,53,51
1538022493,49,50
1538024424,50,53
1538028265,47,49
1538030184,40,48
1538032604,54,42
1538034759,42,49
1538036664,39,47
1538038567,43,39
1538040494,25,45
1538042448,28,25
1538044339,28,26
1538046275,64,28
1538048181,39,62
1538050116,46,40
1538052013,17,44
1538053939,32,16
1538055868,38,34
1538057780,25,39
1538059707,54,26
1538061631,32,56
1538063552,14,30
1538065471,52,15
1538067375,22,50
1538071453,26,20
1538073615,20,28
1538075548,50,19
1538077466,55,51
1538079384,31,55
1538081306,54,32
1538083216,37,52
1538085134,17,39
1538087068,58,17
1538088969,21,58
1538090897,49,19
1538092837,28,46
1538095244,25,31
1538097139,34,26
1538099068,58,34
1538100993,52,55
1538102904,37,52
1538104809,34,39
1538106737,48,33
1538108652,52,46
1538110575,53,55
1538112493,63,55
1538114434,58,59
1538116432,58,59
1538120193,34,58
1538122098,46,33
1538124024,40,48
1538125953,22,41
1538127868,18,24
1538129799,24,18
1538131940,44,22
1538133869,67,44
1538136058,37,68
1538137955,20,34
1538139862,27,22
1538141783,22,24
1538143699,21,25
1538145610,40,20
1538147539,23,40
1538149455,52,25
1538151383,36,54
1538155217,26,32
1538157130,28,27
1538159052,47,28
1538160973,22,48
1538162890,37,20
1538164835,23,38
1538166747,29,22
1538168665,24,31
1538174434,23,23
1538176349,13,24
1538178258,42,12
1538180181,41,40
1538182093,48,40
1538185949,54,49
1538187855,55,51
1538189794,55,59
1538191694,51,51
1538193634,57,54
1538195551,45,57
1538197475,42,42
1538201314,56,42
1538203226,44,58
1538205147,51,47
1538207077,49,48
1538208983,24,52
1538210897,49,26
1538212820,16,47
1538216653,28,19
1538218590,58,27
1538220486,54,57
1538222459,60,54
1538224334,19,58
1538226256,64,18
1538228179,51,62
1538230096,41,52
1538232008,19,45
1538233933,33,18
1538235848,56,32
1538237777,34,56
1538239701,41,34
1538241614,36,42
1538243524,20,37
1538245452,46,20
1538247366,15,43
1538249289,51,17
1538251462,20,50
1538253385,31,23
1538257210,22,31
1538259139,36,19
1538261055,33,37
1538262977,44,33
1538264892,40,44
1538266811,29,40
1538268731,19,31
1538270666,48,19
1538272575,31,44
1538274493,47,32
1538276439,22,49
1538278338,52,22
1538282186,61,47
1538284110,24,64
1538286010,34,26
1538289868,56,32
1538291785,58,55
1538293698,52,61
1538297547,19,52
1538299470,19,21
1538301373,13,18
1538303317,26,14
1538305247,13,26
1538307382,52,13
1538309314,61,47
1538311234,59,61
1538313136,44,58
1538315057,53,43
1538316993,56,54
1538318895,54,56
1538320831,21,55
1538322770,22,21
1538324662,60,25
1538328489,52,60
1538330441,17,52
1538334262,30,16
1538336189,27,31
1538338121,24,24
1538341952,27,26
1538343851,67,26
1538345783,37,67
1538347692,56,39
1538349634,25,53
1538351533,14,24
1538353471,29,14
1538355369,29,33
1538357309,35,27
1538359240,34,35
1538361161,49,34
1538363072,42,45
1538364973,38,43
1538366911,49,39
1538368824,58,49
1538370995,34,59
1538372900,50,33
1538374841,50,54
1538376738,50,43
1538380579,36,45
1538382493,28,49
1538388265,25,27
1538390192,28,27
1538392115,32,27
1538394031,34,30
1538398108,50,36
1538403853,31,50
1538405802,31,29
1538407938,28,33
1538410143,14,25
1538413935,40,17
1538415875,44,36
1538417794,18,48
1538419715,47,18
1538421629,26,44
1538423554,23,26
1538425463,46,24
1538427406,25,46
1538429550,20,24
1538431478,28,21
1538433383,30,29
1538435316,33,29
1538437224,25,35
1538439152,32,23
1538441057,29,31
1538442988,31,28
1538444903,37,31
1538446837,43,41
1538448731,30,43
1538450670,42,26
1538452585,58,45
1538454511,40,54
1538456424,43,38
1538458349,43,43
1538460252,49,46
1538462183,44,50
1538464351,48,45
1538466257,56,49
1538468434,35,53
1538470354,46,38
1538472269,21,46
1538474174,35,21
1538476108,51,36
1538478040,64,50
1538479951,52,60
1538482105,50,53
1538484012,37,46
1538485954,56,44
1538487861,55,54
1538489802,50,52
1538491703,50,55
1538493634,44,49
1538497468,40,45
1538501312,46,37
1538503235,47,43
1538505145,45,47
1538507064,52,44
1538509001,44,56
1538510900,48,46
1538512829,42,45
1538514980,34,45
1538516906,51,33
1538518832,49,48
1538520736,49,49
1538522665,39,48
1538524588,48,41
1538526492,58,46
1538528449,50,56
1538530339,38,55
1538532274,47,37
1538534424,53,44
1538538249,53,54
1538542238,55,56
1538544261,50,56
1538546186,56,47
1538548111,59,57
1538550038,59,60
1538551937,56,61
1538553863,52,53
1538555798,60,53
1538557720,57,61
1538559631,50,55
1538561549,53,53
1538563458,51,50
1538565401,50,53
1538567316,49,54
1538569461,56,48
1538571370,49,52
1538573306,48,48
1538575219,55,51
1538577151,42,56
1538579065,37,37
1538580992,54,40
1538582952,50,54
1538584824,48,49
1538586739,43,49
1538588670,51,42
1538590584,53,50
1538592493,51,54
1538594654,39,50
1538596602,26,41
1538598494,50,25
1538602339,43,50
1538604256,34,42
1538610015,44,36
1538611935,44,43
1538613867,49,42
1538616023,27,51
1538617930,54,26
1538619854,41,55
1538621787,56,40
1538623689,48,54
1538625635,58,51
1538627537,45,54
1538631613,54,45
1538633784,54,57
1538637613,48,54
1538639537,44,45
1538641457,53,52
1538643386,52,53
1538645292,25,53
1538647245,26,24
1538649136,49,23
1538651064,50,45
1538652982,50,55
1538654910,51,50
1538657070,50,52
1538658981,55,45
1538660892,46,59
1538662809,36,42
1538664732,48,37
1538666652,47,51
1538668580,53,45
1538670491,44,51
1538676270,46,48
1538678181,57,45
1538680110,34,55
1538682014,46,34
1538685868,40,46
1538687783,53,42
1538689694,52,54
1538691613,52,46
1538693537,39,51
1538695465,49,43
1538697881,39,52
1538699768,44,31
1538701705,44,43
1538703860,50,49
1538705791,49,48
1538707711,45,48
1538709615,43,46
1538713470,50,47
1538715370,46,49
1538717307,61,49
1538719240,42,63
1538721140,54,39
1538723072,53,48
1538724966,38,54
1538726906,52,40
1538728811,54,54
1538730986,31,55
1538732893,19,35
1538734823,31,19
1538736739,42,29
1538738653,52,41
1538740576,54,52
1538742509,51,51
1538744437,45,50
1538746342,46,46
1538748276,46,49
1538750414,50,41
1538752336,44,53
1538754272,49,43
1538756185,41,48
1538758335,44,44
1538760274,50,46
1538762171,47,46
1538764107,50,47
1538766043,40,47
1538767963,34,43
1538769863,46,31
1538773701,43,49
1538775634,32,44
1538777554,43,31
1538779459,53,43
1538781390,46,56
1538783318,43,41
1538785225,43,43
1538787151,42,41
1538789103,46,42
1538791013,43,49
1538792918,46,40
1538794839,47,53
1538796741,47,44
1538798661,43,41
1538800600,46,47
1538804559,53,50
1538808754,44,49
1538810654,50,47
1538812592,61,52
1538814495,36,62
1538816434,43,36
1538818332,14,44
1538820257,26,14
1538822201,51,23
1538826013,48,47
1538827937,49,49
1538829868,54,53
1538831776,52,52
1538833950,53,54
1538835865,54,51
1538837770,55,53
1538839688,50,52
1538841618,50,52
1538843548,57,53
1538845456,54,57
1538849317,45,50
1538851211,48,44
1538853136,47,50
1538855052,46,47
1538856979,49,43
1538858888,52,53
1538860827,51,53
1538862733,46,51
1538864665,64,47
1538866571,45,66
1538868487,50,40
1538870421,53,50
1538872348,54,53
1538874250,58,57
1538876170,58,56
1538880015,46,57
1538881938,54,45
1538883858,59,59
1538885793,46,53
1538887711,45,44
1538889612,43,49
1538891533,57,45
1538893453,56,55
1538895375,51,59
1538897291,52,50
1538899233,56,52
1538901135,52,50
1538903056,48,56
1538904981,19,53
1538906910,27,20
1538908810,64,27
1538910732,51,58
1538912655,46,53
1538916496,58,45
1538918421,50,60
1538920351,36,49
1538922256,48,40
1538924186,61,44
1538926089,68,62
1538928043,62,66
1538929938,59,62
1538931862,44,57
1538933772,46,48
1538935950,48,43
1538937854,47,47
1538939787,53,48
1538941705,56,57
1538943615,61,53
1538945553,51,61
1538947468,45,49
1538949369,47,43
1538951309,51,49
1538955153,62,55
1538957075,51,56
1538959726,49,52
1538961868,52,55
1538963790,53,52
1538965705,51,46
1538967628,49,51
1538969538,57,49
1538971457,60,61
1538973384,59,58
1538975294,51,59
1538977210,56,50
1538979142,55,59
1538982990,51,54
1538984895,50,54
1538986814,36,54
1538988734,47,28
1538992574,28,53
1538994495,25,30
1538996475,46,23
1538998340,29,40
1539000270,40,31
1539002186,30,35
1539004113,39,31
1539006019,42,42
1539007931,39,41
1539009855,48,40
1539011788,42,48
1539013690,43,40
1539015624,43,44
1539017531,51,45
1539019456,44,52
1539021382,44,48
1539023287,47,43
1539027142,52,45
1539029076,46,48
1539030978,45,43
1539033410,48,50
1539035294,49,43
1539037211,54,50
1539039152,48,51
1539041058,41,54
1539042986,47,41
1539044890,48,49
1539046840,38,45
1539048737,37,38
1539050661,40,39
1539052585,46,40
1539054501,42,48
1539056415,48,41
1539058343,54,43
1539060259,47,57
1539062187,52,52
1539064109,41,48
1539066257,57,44
1539068184,49,53
1539070093,54,54
1539072267,57,52
1539074185,53,50
1539076107,44,54
1539078014,29,49
1539079940,28,33
