DateTime,AddedIPs,RemovedIPs
1538595611,255,220
1538596612,216,242
1538597535,287,266
1538598498,253,255
1538599458,285,313
1538600434,249,308
1538601392,267,264
1538602343,266,322
1538603299,240,222
1538604259,244,206
1538605215,217,226
1538606197,178,227
1538607133,77,206
1538608118,74,222
1538609068,65,239
1538610019,34,214
1538610979,44,187
1538611940,84,241
1538612897,55,237
1538613872,333,243
1538615062,274,194
1538616026,320,53
1538616973,340,29
1538617933,334,45
1538618905,340,47
1538619858,271,33
1538620816,218,23
1538621797,187,30
1538622735,210,26
1538623693,201,25
1538624679,205,215
1538625639,221,232
1538626587,226,305
1538627541,238,309
1538628499,265,292
1538629612,225,313
1538630655,232,356
1538631617,205,221
1538632849,214,268
1538633795,208,232
1538634741,228,229
1538635697,214,201
1538636667,210,193
1538637617,258,238
1538638581,218,212
1538639542,213,226
1538640506,188,231
1538641462,182,192
1538642413,236,252
1538643397,216,215
1538644334,238,249
1538645296,221,267
1538646260,215,228
1538647249,268,224
1538648189,217,240
1538649141,286,256
1538650095,260,225
1538651067,275,211
1538652021,250,142
1538652986,213,79
1538653934,217,123
1538655023,193,56
1538656114,238,209
1538657075,181,234
1538658038,219,277
1538658985,219,408
1538659944,209,380
1538660896,222,236
1538661873,262,221
1538662814,216,241
1538663792,211,273
1538664735,239,227
1538665712,271,238
1538666657,220,206
1538667615,229,225
1538668584,232,232
1538669568,222,257
1538670496,225,220
1538671463,215,265
1538672437,245,225
1538673383,220,220
1538674344,231,306
1538675295,200,253
1538676280,219,217
1538677210,246,224
1538678185,242,229
1538679143,215,211
1538680114,224,1268
1538681067,233,289
1538682019,205,258
1538682993,211,11
1538683942,213,505
1538684896,256,15
1538685879,228,501
1538686833,193,16
1538687787,224,254
1538688744,220,494
1538689698,190,20
1538690670,182,424
1538691617,184,246
1538692582,200,20
1538693541,207,122
1538694517,190,27
1538695469,222,60
1538696412,196,20
1538697892,209,119
1538699063,232,77
1538700011,223,214
1538700992,232,322
1538701932,197,198
1538702901,221,276
1538703865,232,295
1538704845,200,301
1538705794,193,273
1538706745,198,214
1538707721,199,212
1538708689,185,154
1538709625,213,213
1538710583,214,173
1538711545,200,239
1538712514,238,259
1538713473,247,234
1538714417,249,231
1538715380,234,278
1538716346,226,224
1538717312,217,247
1538718275,204,206
1538719244,194,13
1538720185,280,243
1538721145,314,449
1538722099,209,206
1538723082,212,218
1538724257,257,219
1538725212,193,212
1538726193,251,210
1538727135,232,203
1538728098,232,191
1538729077,194,217
1538730024,234,217
1538730990,234,231
1538731938,260,231
1538732897,241,206
1538733873,207,237
1538734828,223,215
1538735780,209,266
1538736744,219,257
1538737716,222,237
1538738658,265,230
1538739615,231,205
1538740583,196,206
1538741560,248,197
1538742514,205,9
1538743476,357,395
1538744441,250,233
1538745396,262,196
1538746346,251,192
1538747294,258,13
1538748279,350,436
1538749458,236,224
1538750419,261,207
1538751379,269,216
