DateTime,Entries,UniqueIPs
1538595611,192556,192556
1538596612,192542,192542
1538597535,192523,192523
1538598498,192520,192520
1538599458,192507,192507
1538600434,192486,192486
1538601392,192460,192460
1538602343,192455,192455
1538603299,192430,192430
1538604259,192401,192401
1538605215,192390,192390
1538606197,192365,192365
1538607133,192321,192321
1538608118,192284,192284
1538609068,192247,192247
1538610019,192203,192203
1538610979,192165,192165
1538611940,192167,192167
1538612897,192127,192127
1538613872,192130,192130
1538615062,192104,192104
1538616026,192133,192133
1538616973,192203,192203
1538617933,192215,192215
1538618905,192239,192239
1538619858,192149,192149
1538620816,192171,192171
1538621797,192133,192133
1538622735,192169,192169
1538623693,192163,192163
1538624679,192124,192124
1538625639,192106,192106
1538626587,192141,192141
1538627541,192090,192090
1538628499,192129,192129
1538629612,192064,192064
1538630655,192059,192059
1538631617,192038,192038
1538632849,192035,192035
1538633795,192018,192018
1538634741,192018,192018
1538635697,191993,191993
1538636667,191981,191981
1538637617,191989,191989
1538638581,192009,192009
1538639542,192030,192030
1538640506,192034,192034
1538641462,192036,192036
1538642413,192017,192017
1538643397,191994,191994
1538644334,192022,192022
1538645296,191919,191919
1538646260,191962,191962
1538647249,191892,191892
1538648189,191880,191880
1538649141,191898,191898
1538650095,191942,191942
1538651067,191961,191961
1538652021,191876,191876
1538652986,191866,191866
1538653934,191896,191896
1538655023,191863,191863
1538656114,191859,191859
1538657075,191859,191859
1538658038,191838,191838
1538658985,191812,191812
1538659944,191801,191801
1538660896,191798,191798
1538661873,191807,191807
1538662814,191796,191796
1538663792,191768,191768
1538664735,191799,191799
1538665712,191806,191806
1538666657,191798,191798
1538667615,191802,191802
1538668584,191785,191785
1538669568,191778,191778
1538670496,191764,191764
1538671463,191744,191744
1538672437,191730,191730
1538673383,191666,191666
1538674344,191572,191572
1538675295,191531,191531
1538676280,191480,191480
1538677210,191434,191434
1538678185,191409,191409
1538679143,191386,191386
1538680114,191007,191007
1538681067,190997,190997
1538682019,191027,191027
1538682993,191017,191017
1538683942,190963,190963
1538684896,191007,191007
1538685879,190970,190970
1538686833,190959,190959
1538687787,190980,190980
1538688744,190984,190984
1538689698,190933,190933
1538690670,190947,190947
1538691617,190881,190881
1538692582,190875,190875
1538693541,190864,190864
1538694517,190895,190895
1538695469,190866,190866
1538696412,190832,190832
1538697892,190799,190799
1538699063,190792,190792
1538700011,190780,190780
1538700992,190772,190772
1538701932,190764,190764
1538702901,190751,190751
1538703865,190740,190740
1538704845,190717,190717
1538705794,190683,190683
1538706745,190663,190663
1538707721,190636,190636
1538708689,190631,190631
1538709625,190635,190635
1538710583,190629,190629
1538711545,190611,190611
1538712514,190594,190594
1538713473,190586,190586
1538714417,190575,190575
1538715380,190560,190560
1538716346,190539,190539
1538717312,190545,190545
1538718275,190546,190546
1538719244,190530,190530
1538720185,190525,190525
1538721145,190579,190579
1538722099,190555,190555
1538723082,190559,190559
1538724257,190545,190545
1538725212,190576,190576
1538726193,190610,190610
1538727135,190613,190613
1538728098,190627,190627
1538729077,190615,190615
1538730024,190607,190607
1538730990,190580,190580
1538731938,190549,190549
