DateTime,Entries,UniqueIPs
1538595611,2874,2874
1538596612,2885,2885
1538597535,2892,2892
1538598498,2890,2890
1538599458,2882,2882
1538600434,2871,2871
1538601392,2864,2864
1538602343,2867,2867
1538603299,2865,2865
1538604259,2866,2866
1538605215,2874,2874
1538606197,2871,2871
1538607133,2879,2879
1538608118,2895,2895
1538609068,2899,2899
1538610019,2893,2893
1538610979,2880,2880
1538611940,2848,2848
1538612897,2834,2834
1538613872,2772,2772
1538615062,2787,2787
1538616026,2846,2846
1538616973,2874,2874
1538617933,2879,2879
1538618905,2889,2889
1538619858,2925,2925
1538620816,2894,2894
1538621797,2917,2917
1538622735,2923,2923
1538623693,2947,2947
1538624679,2963,2963
1538625639,2900,2900
1538626587,2896,2896
1538627541,2857,2857
1538628499,2860,2860
1538629612,2837,2837
1538630655,2816,2816
1538631617,2805,2805
1538632849,2807,2807
1538633795,2814,2814
1538634741,2808,2808
1538635697,2806,2806
1538636667,2819,2819
1538637617,2816,2816
1538638581,2803,2803
1538639542,2786,2786
1538640506,2803,2803
1538641462,2786,2786
1538642413,2796,2796
1538643397,2788,2788
1538644334,2797,2797
1538645296,2792,2792
1538646260,2797,2797
1538647249,2804,2804
1538648189,2798,2798
1538649141,2827,2827
1538650095,2829,2829
1538651067,2829,2829
1538652021,2846,2846
1538652986,2851,2851
1538653934,2857,2857
1538655023,2859,2859
1538656114,2887,2887
1538657075,2897,2897
1538658038,2875,2875
1538658985,2869,2869
1538659944,2859,2859
1538660896,2859,2859
1538661873,2872,2872
1538662814,2867,2867
1538663792,2876,2876
1538664735,2883,2883
1538665712,2885,2885
1538666657,2889,2889
1538667615,2894,2894
1538668584,2901,2901
1538669568,2899,2899
1538670496,2896,2896
1538671463,2888,2888
1538672437,2891,2891
1538673383,2899,2899
1538674344,2898,2898
1538675295,2887,2887
1538676280,2891,2891
1538677210,2891,2891
1538678185,2884,2884
1538679143,2889,2889
1538680114,2889,2889
1538681067,2896,2896
1538682019,2895,2895
1538682993,2895,2895
1538683942,2897,2897
1538684896,2909,2909
1538685879,2913,2913
1538686833,2912,2912
1538687787,2907,2907
1538688744,2910,2910
1538689698,2906,2906
1538690670,2904,2904
1538691617,2916,2916
1538692582,2911,2911
1538693541,2918,2918
1538694517,2931,2931
1538695469,2936,2936
1538696412,2936,2936
1538697892,2945,2945
1538699063,2954,2954
1538700011,2967,2967
1538700992,2913,2913
1538701932,2900,2900
1538702901,2886,2886
1538703865,2838,2838
1538704845,2819,2819
1538705794,2791,2791
1538706745,2781,2781
1538707721,2781,2781
1538708689,2771,2771
1538709625,2780,2780
1538710583,2764,2764
1538711545,2784,2784
1538712514,2792,2792
1538713473,2807,2807
1538714417,2799,2799
1538715380,2805,2805
1538716346,2804,2804
1538717312,2800,2800
1538718275,2791,2791
1538719244,2769,2769
1538720185,2801,2801
1538721145,2799,2799
1538722099,2783,2783
1538723082,2809,2809
1538724257,2795,2795
1538725212,2792,2792
1538726193,2796,2796
1538727135,2803,2803
1538728098,2823,2823
1538729077,2793,2793
1538730024,2784,2784
1538730990,2813,2813
1538731938,2813,2813
1538732897,2823,2823
1538733873,2838,2838
1538734828,2863,2863
1538735780,2853,2853
1538736744,2859,2859
1538737716,2859,2859
1538738658,2855,2855
1538739615,2873,2873
1538740583,2865,2865
1538741560,2865,2865
1538742514,2860,2860
1538743476,2877,2877
1538744441,2855,2855
1538745396,2891,2891
1538746346,2861,2861
1538747294,2894,2894
1538748279,2885,2885
1538749458,2885,2885
1538750419,2887,2887
1538751379,2884,2884
1538752340,2890,2890
1538753295,2871,2871
1538754282,2901,2901
1538755229,2906,2906
1538756188,2878,2878
1538757144,2909,2909
1538758339,2915,2915
1538759324,2916,2916
1538760278,2943,2943
1538761212,2963,2963
1538762183,2940,2940
1538763413,2954,2954
1538764582,2953,2953
1538765539,2954,2954
1538766502,2960,2960
1538767455,2960,2960
1538768433,2947,2947
1538769410,2962,2962
1538770355,2951,2951
1538771298,2971,2971
1538772254,2960,2960
1538773220,2961,2961
1538774200,2956,2956
1538775141,2964,2964
1538776095,2948,2948
1538777082,2951,2951
1538778019,2949,2949
1538778996,2949,2949
1538779967,2943,2943
1538780939,2939,2939
1538781877,2939,2939
1538782813,2932,2932
1538783773,2922,2922
1538784756,2913,2913
1538785715,2930,2930
1538786676,2878,2878
1538787645,2889,2889
1538788584,2871,2871
1538789536,2876,2876
1538790494,2869,2869
1538791461,2879,2879
1538792411,2876,2876
1538793399,2883,2883
