DateTime,AddedIPs,RemovedIPs
1538595609,10,10
1538596611,11,10
1538597533,10,5
1538598496,8,16
1538599456,11,11
1538600433,6,8
1538601390,9,16
1538602341,12,14
1538603297,10,12
1538604258,9,9
1538605212,7,10
1538606196,2,10
1538607131,0,9
1538608115,0,11
1538609067,0,21
1538610018,0,12
1538610977,0,24
1538611939,0,24
1538612895,0,19
1538613869,6,25
1538615061,69,6
1538616025,52,29
1538616970,36,14
1538617932,32,24
1538618902,42,20
1538619856,28,18
1538620814,13,16
1538621795,23,13
1538622733,13,20
1538623691,17,12
1538624676,17,2
1538625637,10,9
1538626585,15,4
1538627540,14,16
1538628496,14,6
1538629610,11,1
1538630653,19,9
1538631615,17,25
1538632847,12,24
1538633793,16,12
1538634739,16,22
1538635695,13,11
1538636666,15,9
1538637615,21,17
1538638578,14,10
1538639539,18,11
1538640505,13,4
1538641459,15,14
1538642411,16,11
1538643395,7,8
1538644332,17,3
1538645294,13,16
1538646257,12,8
1538647247,21,12
1538648187,4,9
1538649138,21,17
1538650093,11,8
1538651066,18,7
1538652019,18,22
1538652984,14,12
1538653931,9,22
1538655021,17,14
1538656111,14,7
1538657072,15,11
1538658036,10,10
1538658983,19,8
1538659942,14,12
1538660894,12,10
1538661871,6,11
1538662812,10,2
1538663790,12,11
1538664734,9,12
1538665710,13,6
1538666654,8,17
1538667614,8,17
1538668582,14,17
1538669566,16,13
1538670493,11,9
1538671460,11,9
1538672436,14,4
1538673381,10,13
1538674343,7,13
1538675293,11,2
1538676278,6,10
1538677209,9,12
1538678183,8,8
1538679141,6,22
1538680112,9,18
1538681065,14,1
1538682016,13,9
1538682991,10,0
1538683940,15,18
1538684894,13,0
1538685877,15,30
1538686830,7,0
1538687785,10,8
1538688742,9,24
1538689696,10,0
1538690669,7,16
1538691615,8,10
1538692580,11,0
1538693539,8,19
1538694516,16,17
1538695467,4,0
1538696410,15,15
1538697889,23,48
1538699061,34,14
1538700009,18,23
1538700990,40,24
1538701930,26,0
1538702899,19,0
1538703863,20,0
1538704843,8,0
1538705793,15,0
1538706743,18,0
1538707719,18,0
1538708687,10,0
1538709623,14,0
1538710582,19,3
1538711542,9,72
1538712513,16,38
1538713471,8,42
1538714415,29,36
1538715378,12,32
1538716344,11,20
1538717309,17,17
1538718272,15,30
1538719242,11,0
1538720183,16,10
1538721142,13,23
1538722097,13,10
1538723080,20,18
1538724255,18,26
1538725210,17,22
1538726190,11,14
1538727134,12,23
1538728095,9,25
1538729074,10,19
1538730022,22,11
1538730988,14,13
1538731936,18,10
1538732895,21,16
1538733871,12,12
1538734825,15,12
1538735778,14,8
1538736741,11,14
1538737714,13,6
1538738655,25,0
1538739613,11,0
1538740581,13,0
1538741558,4,3
1538742511,2,0
1538743473,5,32
1538744439,8,44
1538745395,9,14
1538746344,10,17
1538747292,11,0
1538748278,14,20
1538749456,6,10
1538750416,10,4
1538751377,8,11
1538752338,9,10
1538753293,8,6
1538754280,26,10
1538755226,18,20
1538756186,16,11
1538757141,15,12
1538758337,21,10
1538759322,11,8
1538760277,26,10
1538761210,11,11
1538762180,24,11
1538763412,13,11
1538764580,14,8
1538765537,10,5
1538766500,13,10
1538767453,9,7
1538768431,11,21
1538769408,7,7
1538770353,11,13
1538771295,10,12
1538772252,13,0
1538773218,12,7
1538774199,12,19
1538775139,14,0
1538776094,6,6
1538777080,8,16
1538778017,8,8
1538778994,8,0
1538779964,6,0
1538780938,11,0
1538781876,13,0
1538782811,18,1
1538783771,23,0
1538784754,16,0
1538785713,30,3
1538786673,23,69
1538787643,33,47
1538788582,13,46
1538789534,22,53
1538790492,18,41
1538791459,24,30
1538792410,21,25
1538793397,46,20
1538794355,22,11
1538795321,10,11
1538796269,16,16
1538797234,14,11
1538798195,10,11
1538799156,11,16
1538800089,5,7
1538801055,17,16
1538802017,10,8
1538802981,14,20
1538803942,15,22
1538804896,17,15
1538805860,6,11
1538806828,8,16
1538807796,21,10
1538808756,12,13
1538809696,14,27
1538810656,4,12
1538811613,14,11
1538812594,12,11
1538813536,16,9
1538814497,8,6
1538815477,7,16
1538816437,0,16
1538817378,1,0
1538818334,0,9
1538819293,0,16
1538820259,3,9
1538821210,28,12
1538822209,54,26
1538823132,25,0
1538824096,29,12
1538825051,14,10
1538826015,8,23
1538826982,11,20
1538827940,12,0
1538828892,6,15
1538829870,15,11
1538830814,15,9
1538831778,8,14
1538832736,10,12
1538833952,9,25
1538834910,10,6
1538835866,13,14
1538836809,10,0
1538837779,12,22
1538838747,13,8
1538839690,8,0
1538840656,13,6
1538841621,8,20
1538842578,7,14
1538843550,8,22
1538844489,10,0
1538845458,13,5
1538846416,8,8
1538847370,5,3
1538848331,9,11
1538849319,10,12
1538850252,4,8
1538851212,12,13
1538852171,10,9
1538853137,4,7
1538854093,10,12
1538855054,6,8
1538856016,8,13
1538856981,15,11
1538857938,13,11
1538858890,9,12
1538859858,9,12
1538860829,3,9
1538861777,10,12
1538862735,4,9
1538863716,4,10
1538864667,7,8
1538865622,18,13
1538866579,11,14
1538867541,10,18
1538868488,8,14
1538869454,12,25
1538870423,14,26
1538871385,12,19
1538872350,21,24
1538873289,19,31
1538874259,17,25
1538875247,14,25
1538876172,21,21
1538877153,21,15
1538878112,17,10
1538879051,11,22
1538880017,14,15
1538881005,13,19
1538881940,16,14
1538882888,11,23
1538883872,11,20
1538884828,14,13
1538885795,8,8
1538886752,14,18
1538887712,8,6
1538888661,15,20
1538889614,5,20
1538890590,14,12
1538891536,17,18
1538892499,8,21
1538893456,17,21
1538894416,17,16
1538895378,17,18
1538896344,12,19
1538897293,8,13
1538898253,8,16
1538899235,8,17
1538900183,12,10
1538901137,16,13
1538902121,12,13
1538903058,12,10
1538904008,12,14
1538904983,23,9
1538905931,10,14
1538906918,9,12
1538907851,8,16
1538908813,16,11
1538909768,14,15
1538910734,8,19
1538911708,10,8
1538912657,17,12
1538913658,10,8
1538914587,9,8
1538915551,11,3
1538916498,13,5
1538917476,8,5
1538918423,13,5
1538919379,13,9
1538920353,15,15
1538921294,5,0
1538922257,8,6
1538923213,10,14
1538924194,16,8
1538925130,15,0
1538926091,6,51
1538927052,15,0
1538928044,5,31
1538928982,8,19
1538929940,12,0
1538930891,8,27
1538931864,6,19
1538932814,12,0
1538933773,11,35
1538935490,11,17
1538936408,9,6
1538937382,8,9
1538938336,5,7
1538939307,7,15
1538940271,6,6
1538941209,2,7
1538942176,9,8
1538943130,7,8
1538944104,5,11
1538945065,12,16
1538946070,14,8
1538946986,7,6
1538947933,5,7
1538948891,3,12
1538949879,9,4
1538950810,13,3
1538951777,5,9
1538952732,8,14
1538953719,9,14
1538954649,10,7
1538955620,9,25
1538956569,10,19
1538957543,7,29
1538958491,14,21
1538959735,10,48
1538960916,13,23
1538961870,15,25
1538962825,19,55
1538963798,20,21
1538964733,10,4
1538965707,11,26
1538966659,5,10
1538967630,17,14
1538968590,26,12
1538969539,12,13
1538970495,20,10
1538971466,8,12
1538972407,7,14
1538973385,15,13
1538974357,25,10
1538975296,67,5
1538976254,26,18
1538977212,22,10
1538978172,13,8
1538979144,13,9
1538980099,26,18
1538981059,12,10
1538982017,15,8
1538982992,6,1
1538983941,14,9
1538984897,6,11
1538985854,9,9
1538986816,12,7
1538987790,15,5
1538988735,13,0
1538989696,22,0
1538990660,36,0
1538991611,16,0
1538992576,19,8
1538993538,19,26
1538994497,17,49
1538995471,16,36
1538996477,23,30
1538997394,9,10
1538998342,12,17
1538999291,12,13
1539000278,12,7
1539001219,19,10
1539002188,8,10
1539003131,9,9
1539004220,19,10
1539005284,12,12
1539006273,13,9
1539007224,12,6
1539008175,17,15
1539009137,8,11
1539010094,12,18
1539011079,14,7
1539012008,16,10
1539012969,12,9
1539013934,12,7
1539014943,21,17
1539015851,14,9
1539016810,18,2
1539017789,12,9
1539018731,6,11
1539019687,10,13
1539020671,12,17
1539021618,11,0
1539022584,12,21
1539023537,13,9
1539024511,6,6
1539025714,18,17
1539026686,13,9
1539027608,15,0
1539028574,11,7
1539029533,6,25
1539030505,8,9
1539031459,12,0
1539032419,11,9
1539033420,17,17
1539034338,19,5
1539035295,5,9
1539036264,7,0
1539037213,13,25
1539038189,13,4
1539039160,8,5
1539040094,11,0
1539041060,9,27
1539042009,19,0
1539042995,19,44
1539043942,26,0
1539044892,19,40
1539045852,25,0
1539046842,36,27
1539047778,16,23
1539048739,34,23
1539049694,27,19
1539050663,29,16
1539051613,22,13
1539052593,19,13
1539053531,9,15
1539054503,22,11
1539055452,21,13
1539056417,9,6
1539057372,23,10
1539058350,20,11
1539059300,15,16
1539060261,21,7
1539061232,21,12
1539062189,26,12
1539063134,8,14
1539064118,19,13
1539065303,21,17
1539066259,19,18
1539067211,17,3
1539068186,19,17
1539069132,21,16
1539070103,17,13
1539071051,12,8
1539072269,12,23
1539073215,16,0
1539074187,18,16
1539075130,14,16
1539076116,14,28
1539077052,15,0
1539078016,12,25
1539078971,15,0
1539079942,5,21
