DateTime,Entries,UniqueIPs
1538595609,2063,2070
1538596611,2064,2071
1538597533,2069,2076
1538598496,2061,2068
1538599456,2061,2068
1538600433,2059,2066
1538601390,2052,2059
1538602341,2050,2057
1538603297,2048,2055
1538604258,2048,2055
1538605212,2045,2052
1538606196,2037,2044
1538607131,2028,2035
1538608115,2017,2024
1538609067,1996,2003
1538610018,1984,1991
1538610977,1960,1967
1538611939,1936,1943
1538612895,1917,1924
1538613869,1898,1905
1538615061,1960,1968
1538616025,1983,1991
1538616970,2005,2013
1538617932,2013,2021
1538618902,2035,2043
1538619856,2045,2053
1538620814,2042,2050
1538621795,2052,2060
1538622733,2045,2053
1538623691,2050,2058
1538624676,2065,2073
1538625637,2066,2074
1538626585,2077,2085
1538627540,2075,2083
1538628496,2083,2091
1538629610,2093,2101
1538630653,2103,2111
1538631615,2095,2103
1538632847,2083,2091
1538633793,2087,2095
1538634739,2081,2089
1538635695,2083,2091
1538636666,2089,2097
1538637615,2093,2101
1538638578,2097,2105
1538639539,2104,2112
1538640505,2113,2121
1538641459,2114,2122
1538642411,2119,2127
1538643395,2118,2126
1538644332,2132,2140
1538645294,2129,2137
1538646257,2133,2141
1538647247,2142,2150
1538648187,2137,2145
1538649138,2141,2149
1538650093,2144,2152
1538651066,2155,2163
1538652019,2151,2159
1538652984,2153,2161
1538653931,2140,2148
1538655021,2143,2151
1538656111,2150,2158
1538657072,2154,2162
1538658036,2154,2162
1538658983,2165,2173
1538659942,2167,2175
1538660894,2169,2177
1538661871,2164,2172
1538662812,2172,2180
1538663790,2173,2181
1538664734,2170,2178
1538665710,2177,2185
1538666654,2168,2176
1538667614,2159,2167
1538668582,2156,2164
1538669566,2159,2167
1538670493,2161,2169
1538671460,2163,2171
1538672436,2173,2181
1538673381,2170,2178
1538674343,2164,2172
1538675293,2173,2181
1538676278,2169,2177
1538677209,2166,2174
1538678183,2166,2174
1538679141,2150,2158
1538680112,2141,2149
1538681065,2154,2162
1538682016,2158,2166
1538682991,2168,2176
1538683940,2165,2173
1538684894,2178,2186
1538685877,2163,2171
1538686830,2170,2178
1538687785,2172,2180
1538688742,2157,2165
1538689696,2167,2175
1538690669,2158,2166
1538691615,2156,2164
1538692580,2167,2175
1538693539,2156,2164
1538694516,2155,2163
1538695467,2159,2167
1538696410,2159,2167
1538697889,2134,2142
1538699061,2154,2162
1538700009,2149,2157
1538700990,2165,2173
1538701930,2190,2199
1538702899,2209,2218
1538703863,2229,2238
1538704843,2237,2246
1538705793,2252,2261
1538706743,2270,2279
1538707719,2288,2297
1538708687,2298,2307
1538709623,2312,2321
1538710582,2328,2337
1538711542,2265,2274
1538712513,2243,2252
1538713471,2209,2218
1538714415,2202,2211
1538715378,2182,2191
1538716344,2173,2182
1538717309,2173,2182
1538718272,2158,2167
1538719242,2169,2178
1538720183,2175,2184
1538721142,2165,2174
1538722097,2168,2177
1538723080,2170,2179
1538724255,2162,2171
1538725210,2157,2166
1538726190,2160,2163
1538727134,2149,2152
1538728095,2133,2136
1538729074,2125,2127
1538730022,2136,2138
1538730988,2137,2139
1538731936,2146,2147
1538732895,2151,2152
1538733871,2151,2152
1538734825,2154,2155
1538735778,2160,2161
1538736741,2157,2158
1538737714,2164,2165
1538738655,2189,2190
1538739613,2199,2201
1538740581,2212,2214
1538741558,2213,2215
1538742511,2215,2217
1538743473,2188,2190
