DateTime,AddedIPs,RemovedIPs
1538595609,10,1
1538596611,11,9
1538597533,10,3
1538598496,8,15
1538599456,11,12
1538600433,6,18
1538601390,9,8
1538602341,12,15
1538603297,10,9
1538604258,9,8
1538605212,7,8
1538606196,2,10
1538607131,0,10
1538608115,0,9
1538609067,0,17
1538610018,0,15
1538610977,0,16
1538611939,0,32
1538612895,0,14
1538613869,6,23
1538615061,69,24
1538616025,52,0
1538616970,36,0
1538617932,32,0
1538618902,42,0
1538619856,28,0
1538620814,13,0
1538621795,23,0
1538622733,13,0
1538623691,17,0
1538624676,17,3
1538625637,10,72
1538626585,15,38
1538627540,14,42
1538628496,14,36
1538629610,11,32
1538630653,19,20
1538631615,17,17
1538632847,12,30
1538633793,16,10
1538634739,16,10
1538635695,13,13
1538636666,15,10
1538637615,21,18
1538638578,14,26
1538639539,18,22
1538640505,13,14
1538641459,15,23
1538642411,16,25
1538643395,7,19
1538644332,17,11
1538645294,13,13
1538646257,12,10
1538647247,21,16
1538648187,4,12
1538649138,21,12
1538650093,11,8
1538651066,18,14
1538652019,18,6
1538652984,14,0
1538653931,9,0
1538655021,17,0
1538656111,14,3
1538657072,15,8
1538658036,10,24
1538658983,19,44
1538659942,14,14
1538660894,12,17
1538661871,6,13
1538662812,10,7
1538663790,12,10
1538664734,9,4
1538665710,13,11
1538666654,8,10
1538667614,8,6
1538668582,14,10
1538669566,16,20
1538670493,11,11
1538671460,11,12
1538672436,14,10
1538673381,10,8
1538674343,7,10
1538675293,11,11
1538676278,6,11
1538677209,9,11
1538678183,8,8
1538679141,6,5
1538680112,9,10
1538681065,14,7
1538682016,13,11
1538682991,10,10
1538683940,15,7
1538684894,13,13
1538685877,15,12
1538686830,7,7
1538687785,10,13
1538688742,9,6
1538689696,10,6
1538690669,7,12
1538691615,8,4
1538692580,11,8
1538693539,8,0
1538694516,16,0
1538695467,4,0
1538696410,15,0
1538697889,23,1
1538699061,34,0
1538700009,18,3
1538700990,40,69
1538701930,26,47
1538702899,19,46
1538703863,20,53
1538704843,8,41
1538705793,15,30
1538706743,18,25
1538707719,18,20
1538708687,10,11
1538709623,14,11
1538710582,19,16
1538711542,9,11
1538712513,16,11
1538713471,8,16
1538714415,29,7
1538715378,12,16
1538716344,11,8
1538717309,17,20
1538718272,15,22
1538719242,11,15
1538720183,16,11
1538721142,13,16
1538722097,13,10
1538723080,20,13
1538724255,18,27
1538725210,17,12
1538726190,11,11
1538727134,12,11
1538728095,9,9
1538729074,10,6
1538730022,22,16
1538730988,14,16
1538731936,18,9
1538732895,21,16
1538733871,12,9
1538734825,15,12
1538735778,14,16
1538736741,11,10
1538737714,13,12
1538738655,25,10
