DateTime,Entries,UniqueIPs
1538595609,972,972
1538596611,974,974
1538597533,981,981
1538598496,974,974
1538599456,973,973
1538600433,961,961
1538601390,962,962
1538602341,959,959
1538603297,960,960
1538604258,961,961
1538605212,960,960
1538606196,952,952
1538607131,942,942
1538608115,933,933
1538609067,916,916
1538610018,901,901
1538610977,885,885
1538611939,853,853
1538612895,839,839
1538613869,822,822
1538615061,867,867
1538616025,919,919
1538616970,955,955
1538617932,987,987
1538618902,1029,1029
1538619856,1057,1057
1538620814,1070,1070
1538621795,1093,1093
1538622733,1106,1106
1538623691,1123,1123
1538624676,1137,1137
1538625637,1075,1075
1538626585,1052,1052
1538627540,1024,1024
1538628496,1002,1002
1538629610,981,981
1538630653,980,980
1538631615,980,980
1538632847,962,962
1538633793,968,968
1538634739,974,974
1538635695,974,974
1538636666,979,979
1538637615,982,982
1538638578,970,970
1538639539,966,966
1538640505,965,965
1538641459,957,957
1538642411,948,948
1538643395,936,936
1538644332,942,942
1538645294,942,942
1538646257,944,944
1538647247,949,949
1538648187,941,941
1538649138,950,950
1538650093,953,953
1538651066,957,957
1538652019,969,969
1538652984,983,983
1538653931,992,992
1538655021,1009,1009
1538656111,1020,1020
1538657072,1027,1027
1538658036,1013,1013
1538658983,988,988
1538659942,988,988
1538660894,983,983
1538661871,976,976
1538662812,979,979
1538663790,981,981
1538664734,986,986
1538665710,988,988
1538666654,986,986
1538667614,988,988
1538668582,992,992
1538669566,988,988
1538670493,988,988
1538671460,987,987
1538672436,991,991
1538673381,993,993
1538674343,990,990
1538675293,990,990
1538676278,985,985
1538677209,983,983
1538678183,983,983
1538679141,984,984
1538680112,983,983
1538681065,990,990
1538682016,992,992
1538682991,992,992
1538683940,1000,1000
1538684894,1000,1000
1538685877,1003,1003
1538686830,1003,1003
1538687785,1000,1000
1538688742,1003,1003
1538689696,1007,1007
1538690669,1002,1002
1538691615,1006,1006
1538692580,1009,1009
1538693539,1017,1017
1538694516,1033,1033
1538695467,1037,1037
1538696410,1052,1052
1538697889,1074,1074
1538699061,1108,1108
1538700009,1123,1123
1538700990,1094,1094
1538701930,1073,1073
1538702899,1046,1046
1538703863,1013,1013
1538704843,980,980
1538705793,965,965
1538706743,958,958
1538707719,956,956
1538708687,955,955
1538709623,958,958
1538710582,961,961
1538711542,959,959
1538712513,964,964
1538713471,956,956
1538714415,978,978
1538715378,974,974
1538716344,977,977
1538717309,974,974
1538718272,967,967
1538719242,963,963
1538720183,968,968
1538721142,965,965
1538722097,968,968
1538723080,975,975
1538724255,966,966
1538725210,971,971
1538726190,971,971
1538727134,972,972
1538728095,972,972
1538729074,976,976
1538730022,982,982
1538730988,980,980
1538731936,989,989
1538732895,994,994
1538733871,997,997
1538734825,1000,1000
1538735778,998,998
1538736741,999,999
1538737714,1000,1000
1538738655,1015,1015
1538739613,1017,1017
1538740581,1016,1016
1538741558,1000,1000
1538742511,987,987
1538743473,981,981
1538744439,980,980
1538745395,975,975
1538746344,973,973
1538747292,977,977
1538748278,973,973
1538749456,973,973
1538750416,969,969
1538751377,969,969
1538752338,964,964
1538753293,964,964
1538754280,984,984
