DateTime,Entries,UniqueIPs
1538595611,33727,35504
1538596612,33699,35455
1538597535,33719,35470
1538598498,33720,35458
1538599458,33698,35410
1538600434,33644,35356
1538601392,33653,35370
1538602343,33582,35293
1538603299,33603,35312
1538604259,33645,35356
1538605215,33640,35353
1538606197,33600,35319
1538607133,33461,35159
1538608118,33319,35002
1538609068,33153,34831
1538610019,32968,34640
1538610979,32827,34479
1538611940,32674,34318
1538612897,32488,34121
1538613872,32586,34227
1538615062,32630,34272
1538616026,32904,34571
1538616973,33235,34926
1538617933,33566,35285
1538618905,33902,35661
1538619858,34168,35951
1538620816,34388,36183
1538621797,34571,36392
1538622735,34780,36615
1538623693,34968,36825
1538624679,34939,36798
1538625639,34921,36788
1538626587,34843,36713
1538627541,34772,36644
1538628499,34744,36614
1538629612,34642,36527
1538630655,34511,36399
1538631617,34502,36389
1538632849,34449,36344
1538633795,34442,36356
1538634741,34436,36347
1538635697,34452,36364
1538636667,34466,36380
1538637617,34486,36408
1538638581,34492,36410
1538639542,34466,36379
1538640506,34421,36335
1538641462,34408,36318
1538642413,34380,36286
1538643397,34370,36273
1538644334,34362,36279
1538645296,34311,36219
1538646260,34291,36204
1538647249,34319,36228
1538648189,34290,36199
1538649141,34309,36222
1538650095,34343,36250
1538651067,34392,36297
1538652021,34519,36438
1538652986,34665,36594
1538653934,34784,36723
1538655023,34930,36877
1538656114,34929,36845
1538657075,34865,36783
1538658038,34784,36687
1538658985,34571,36463
1538659944,34374,36246
1538660896,34363,36236
1538661873,34403,36269
1538662814,34370,36234
1538663792,34301,36165
1538664735,34313,36171
1538665712,34347,36200
1538666657,34370,36207
1538667615,34387,36232
1538668584,34378,36215
1538669568,34331,36161
1538670496,34335,36157
1538671463,34281,36094
1538672437,34296,36101
1538673383,34300,36104
1538674344,34222,36027
1538675295,34156,35956
1538676280,34163,35962
1538677210,34167,35945
1538678185,34179,35947
1538679143,34189,35963
1538680114,33152,34931
1538681067,33084,34854
1538682019,33028,34805
1538682993,33231,35024
1538683942,32926,34696
1538684896,33174,34967
1538685879,32905,34684
1538686833,33095,34895
1538687787,33060,34861
1538688744,32771,34548
1538689698,32959,34758
1538690670,32701,34497
1538691617,32647,34449
1538692582,32836,34665
1538693541,32934,34769
1538694517,33122,34974
1538695469,33305,35172
1538696412,33496,35373
1538697892,33597,35467
1538699063,33774,35665
1538700011,33777,35634
1538700992,33698,35562
1538701932,33696,35568
1538702901,33623,35501
1538703865,33556,35444
1538704845,33417,35295
1538705794,33313,35189
1538706745,33282,35146
1538707721,33264,35129
1538708689,33293,35157
1538709625,33289,35161
1538710583,33323,35192
1538711545,33327,35203
1538712514,33315,35182
1538713473,33350,35227
1538714417,33374,35252
1538715380,33341,35209
1538716346,33340,35204
1538717312,33310,35169
1538718275,33315,35174
1538719244,33505,35378
1538720185,33545,35434
1538721145,33414,35285
1538722099,33425,35297
1538723082,33418,35288
1538724257,33463,35333
1538725212,33451,35342
1538726193,33494,35386
1538727135,33524,35408
1538728098,33568,35456
1538729077,33538,35421
1538730024,33545,35429
1538730990,33540,35419
1538731938,33568,35441
1538732897,33584,35450
1538733873,33549,35422
1538734828,33543,35402
1538735780,33470,35330
1538736744,33432,35299
1538737716,33397,35257
1538738658,33414,35270
1538739615,33428,35292
1538740583,33413,35288
1538741560,33460,35342
1538742514,33664,35558
1538743476,33629,35522
1538744441,33679,35567
