DateTime,AddedIPs,RemovedIPs
1538595611,93,64
1538596612,45,63
1538597535,78,79
1538598498,80,97
1538599458,81,70
1538600434,75,51
1538601392,66,79
1538602343,63,68
1538603299,65,71
1538604259,51,80
1538605215,65,65
1538606197,47,67
1538607133,21,64
1538608118,27,70
1538609068,30,54
1538610019,9,72
1538610979,14,72
1538611940,30,61
1538612897,26,60
1538613872,87,69
1538615062,69,71
1538616026,97,92
1538616973,112,62
1538617933,122,55
1538618905,134,53
1538619858,77,57
1538620816,75,68
1538621797,65,63
1538622735,78,53
1538623693,63,54
1538624679,68,72
1538625639,66,82
1538626587,68,50
1538627541,55,67
1538628499,79,70
1538629612,52,56
1538630655,71,56
1538631617,52,78
1538632849,80,65
1538633795,58,67
1538634741,82,69
1538635697,70,73
1538636667,79,71
1538637617,89,60
1538638581,48,0
1538639542,47,63
1538640506,66,52
1538641462,43,59
1538642413,54,188
1538643397,50,73
1538644334,74,0
1538645296,64,77
1538646260,71,130
1538647249,90,0
1538648189,61,33
1538649141,110,0
1538650095,97,20
1538651067,86,20
1538652021,82,62
1538652986,61,70
1538653934,62,106
1538655023,67,93
1538656114,73,94
1538657075,51,142
1538658038,55,78
1538658985,59,77
1538659944,67,79
1538660896,61,99
1538661873,76,62
1538662814,73,74
1538663792,60,84
1538664735,67,69
1538665712,85,80
1538666657,71,70
1538667615,65,74
1538668584,63,87
1538669568,68,71
1538670496,62,55
1538671463,60,85
1538672437,86,72
1538673383,60,71
1538674344,61,65
1538675295,54,47
1538676280,79,56
1538677210,62,58
1538678185,66,53
1538679143,71,54
1538680114,95,45
1538681067,60,177
1538682019,63,52
1538682993,42,59
1538683942,67,42
1538684896,84,72
1538685879,63,45
1538686833,63,48
1538687787,46,59
1538688744,52,62
1538689698,55,51
1538690670,43,42
1538691617,56,50
1538692582,61,56
1538693541,55,54
1538694517,56,49
1538695469,76,59
1538696412,44,72
1538697892,68,122
1538699063,81,63
1538700011,48,0
1538700992,73,118
1538701932,73,0
1538702901,77,128
1538703865,64,0
1538704845,52,126
1538705794,54,0
1538706745,63,118
