DateTime,AddedIPs,RemovedIPs
1538595611,1139,1139
1538596612,1132,1132
1538597535,1152,1152
1538598498,1160,1160
1538599458,1113,1113
1538600434,1137,1137
1538601392,1136,1136
1538602343,1162,1162
1538603299,1098,1098
1538604259,1079,1079
1538605215,1123,1123
1538606197,1085,1085
1538607133,372,372
1538608118,365,365
1538609068,281,281
1538610019,139,139
1538610979,178,178
1538611940,276,276
1538612897,173,173
1538613872,1579,1579
1538615062,1478,1478
1538616026,1355,1355
1538616973,1596,1596
1538617933,1684,1684
1538618905,1585,1585
1538619858,1500,1500
1538620816,1233,1233
1538621797,1128,1128
1538622735,1140,1140
1538623693,1155,1155
1538624679,1147,1147
1538625639,1163,1163
1538626587,1193,1193
1538627541,1135,1135
1538628499,1184,1184
1538629612,1247,1247
1538630655,1210,1210
1538631617,1154,1154
1538632849,1170,1170
1538633795,1184,1184
1538634741,1191,1191
1538635697,1181,1181
1538636667,1173,1173
1538637617,1195,1195
1538638581,1125,1125
1538639542,1146,1146
1538640506,1147,1147
1538641462,1132,1132
1538642413,1148,1148
1538643397,1176,1176
1538644334,1197,1197
1538645296,1215,1215
1538646260,1178,1178
1538647249,1189,1189
1538648189,1164,1164
1538649141,1172,1172
1538650095,1199,1199
1538651067,1163,1163
1538652021,1171,1171
1538652986,1186,1186
1538653934,1156,1156
1538655023,1189,1189
1538656114,1178,1178
1538657075,1159,1159
1538658038,1152,1152
1538658985,1145,1145
1538659944,1139,1139
1538660896,1163,1163
1538661873,1178,1178
1538662814,1224,1224
1538663792,1184,1184
1538664735,1158,1158
1538665712,1171,1171
1538666657,1222,1222
1538667615,1143,1143
1538668584,1150,1150
1538669568,1146,1146
1538670496,1113,1113
1538671463,1116,1116
1538672437,1141,1141
1538673383,1129,1129
1538674344,1173,1173
1538675295,1163,1163
1538676280,1170,1170
1538677210,1169,1169
1538678185,1168,1168
1538679143,1134,1134
1538680114,1119,1119
1538681067,1121,1121
1538682019,1137,1137
1538682993,1152,1152
1538683942,1143,1143
1538684896,1195,1195
1538685879,1191,1191
1538686833,1159,1159
1538687787,1166,1166
1538688744,1160,1160
1538689698,1148,1148
1538690670,1138,1138
1538691617,1119,1119
1538692582,1095,1095
1538693541,1119,1119
1538694517,1153,1153
1538695469,1166,1166
1538696412,1144,1144
1538697892,1150,1150
1538699063,1155,1155
1538700011,1126,1126
1538700992,1108,1108
1538701932,1115,1115
1538702901,1155,1155
1538703865,1134,1134
1538704845,1151,1151
1538705794,1146,1146
1538706745,1151,1151
1538707721,1149,1149
1538708689,1155,1155
1538709625,1176,1176
1538710583,1192,1192
1538711545,1155,1155
1538712514,1141,1141
1538713473,1251,1251
1538714417,1237,1237
1538715380,1151,1151
1538716346,1137,1137
1538717312,1155,1155
1538718275,1146,1146
1538719244,1107,1107
1538720185,1173,1173
1538721145,1208,1208
1538722099,1170,1170
1538723082,1162,1162
1538724257,1185,1185
1538725212,1178,1178
1538726193,1151,1151
1538727135,1190,1190
1538728098,1187,1187
1538729077,1160,1160
1538730024,1147,1147
1538730990,1154,1154
1538731938,1148,1148
1538732897,1204,1204
1538733873,1192,1192
1538734828,1161,1161
1538735780,1185,1185
1538736744,1161,1161
1538737716,1216,1216
1538738658,1218,1218
1538739615,1168,1168
1538740583,1157,1157
1538741560,1209,1209
1538742514,1267,1267
1538743476,1494,1494
1538744441,1492,1492
1538745396,1286,1286
1538746346,1620,1620
1538747294,1454,1454
1538748279,1756,1756
1538749458,1338,1338
1538750419,1506,1506
1538751379,1368,1368
1538752340,1667,1667
1538753295,1566,1566
1538754282,1399,1399
1538755229,1539,1539
1538756188,1536,1536
1538757144,1415,1415
1538758339,1538,1538
1538759324,1558,1558
1538760278,1554,1554
1538761212,1598,1598
1538762183,1521,1521
1538763413,1241,1241
1538764582,1162,1162
1538765539,1180,1180
1538766502,1192,1192
1538767455,1201,1201
1538768433,1172,1172
1538769410,1175,1175
1538770355,1160,1160
1538771298,1223,1223
1538772254,1219,1219
1538773220,1145,1145
1538774200,1176,1176
1538775141,1240,1240
1538776095,1261,1261
1538777082,1208,1208
1538778019,1200,1200
1538778996,1241,1241
1538779967,1217,1217
1538780939,1201,1201
1538781877,1169,1169
1538782813,1181,1181
1538783773,1206,1206
1538784756,1245,1245
1538785715,1303,1303
1538786676,1262,1262
1538787645,1212,1212
1538788584,1230,1230
1538789536,1268,1268
1538790494,1239,1239
1538791461,1227,1227
1538792411,1242,1242
1538793399,1247,1247
1538794358,1214,1214
1538795323,1244,1244
1538796271,1279,1279
1538797236,1268,1268
1538798198,1309,1309
1538799158,1298,1298
1538800092,1331,1331
1538801057,1325,1325
1538802019,1261,1261
1538802983,1315,1315
1538803944,1261,1261
1538804898,1237,1237
1538805862,1260,1260
1538806831,1250,1250
1538807798,1285,1285
1538808759,1285,1285
1538809699,1276,1276
1538810660,1174,1174
1538811615,1350,1350
1538812596,1652,1652
1538813538,1563,1563
1538814498,1338,1338
1538815481,1312,1312
1538816441,139,139
1538817380,155,155
1538818336,196,196
1538819294,199,199
1538820260,1510,1510
1538821212,1636,1636
1538822210,1624,1624
1538823137,1637,1637
1538824098,1436,1436
1538825054,1215,1215
1538826016,1178,1178
1538826983,1165,1165
1538827942,1210,1210
1538828894,1236,1236
1538829873,1231,1231
1538830817,1202,1202
1538831779,1186,1186
1538832737,1217,1217
1538833955,1207,1207
1538834911,1194,1194
1538835868,1213,1213
1538836812,1208,1208
1538837780,1208,1208
1538838748,1205,1205
1538839691,1188,1188
1538840658,1193,1193
1538841623,1235,1235
1538842579,1232,1232
1538843551,1168,1168
1538844490,1136,1136
1538845460,1145,1145
1538846418,1171,1171
1538847372,1177,1177
1538848332,1181,1181
1538849321,1192,1192
1538850253,1221,1221
1538851214,1212,1212
1538852173,1160,1160
1538853139,1172,1172
1538854095,1230,1230
1538855057,1214,1214
1538856017,1255,1255
1538856983,1229,1229
1538857940,1237,1237
1538858891,1216,1216
1538859860,1214,1214
1538860831,1206,1206
1538861779,1181,1181
1538862738,1171,1171
1538863718,1191,1191
1538864669,1238,1238
1538865624,1212,1212
1538866581,1192,1192
1538867543,1160,1160
1538868490,1228,1228
1538869457,1219,1219
1538870426,1195,1195
1538871386,1179,1179
1538872352,1215,1215
1538873291,1201,1201
1538874265,1219,1219
1538875249,1172,1172
1538876174,1181,1181
1538877155,1196,1196
1538878115,1183,1183
1538879053,1195,1195
1538880018,1208,1208
1538881006,1167,1167
1538881941,1167,1167
1538882889,1206,1206
1538883874,1231,1231
1538884830,1183,1183
1538885797,1225,1225
1538886754,1256,1256
1538887714,1263,1263
1538888663,1226,1226
1538889616,1248,1248
1538890592,1212,1212
1538891539,1227,1227
1538892501,1223,1223
1538893458,1237,1237
1538894418,1227,1227
1538895380,1197,1197
1538896345,1185,1185
1538897295,1192,1192
1538898256,1218,1218
1538899237,1238,1238
1538900185,1283,1283
1538901138,1267,1267
