DateTime,AddedIPs,RemovedIPs
1537038246,1,1
1537041858,1,0
1537045467,0,1
1537049062,0,1
1537052658,4,1
1537056242,1,2
1537059872,0,1
1537063430,1,0
1537067060,1,0
1537077822,1,0
1537085060,1,0
1537088660,1,1
1537095870,0,1
1537099459,1,1
1537103072,3,2
1537106645,7,1
1537110233,1,1
1537113873,0,1
1537117418,2,1
1537121077,0,1
1537124659,0,2
1537128194,1,3
1537131838,4,3
1537135444,1,2
1537139068,3,3
1537142647,1,1
1537153434,1,0
1537157033,0,2
1537167855,2,0
1537171443,1,0
1537178669,3,4
1537182195,0,2
1537185839,0,1
1537189458,0,3
1537193033,0,5
1537196636,0,4
1537200257,1,0
1537203869,4,0
1537207436,0,2
1537211060,2,1
1537214653,0,2
1537218259,0,4
1537221855,0,1
1537225432,2,0
1537229048,1,0
1537236228,1,2
1537239836,0,1
1537243449,0,1
1537247052,3,0
1537250641,2,0
1537257850,1,0
1537265018,1,1
1537268646,2,1
1537272254,1,3
1537275943,0,3
1537283056,1,2
1537290265,3,0
1537293879,3,1
1537297387,3,1
1537301031,6,1
1537304651,2,1
1537308258,0,1
1537311851,2,1
1537315447,1,3
1537319041,1,1
1537322665,2,2
1537326272,1,1
1537329866,1,0
1537333461,0,3
1537337034,1,0
1537340664,1,1
1537344287,0,1
1537347857,2,1
1537351400,0,2
1537358609,2,0
1537362233,0,5
1537365851,11,1
1537369441,4,2
1537373052,3,1
1537376627,2,3
1537380255,3,2
1537387457,1,2
1537391050,2,1
1537394666,4,2
1537398252,5,1
1537401848,5,3
1537405422,1,6
1537409062,5,2
1537412683,3,1
1537419836,1,2
1537423439,1,2
1537427044,0,1
1537430642,1,3
1537434269,1,2
1537437868,0,1
1537441468,1,1
1537445051,2,0
1537448635,2,0
1537452258,0,2
1537455827,2,1
1537459458,1,1
1537463057,1,1
1537466660,0,2
1537473849,1,3
1537477481,9,1
1537481074,5,4
1537484667,4,0
1537488272,4,0
1537491886,0,3
1537495477,2,1
1537506239,3,3
1537509857,1,1
1537520639,1,0
1537527856,2,0
1537531442,1,2
1537535067,0,4
1537538638,1,0
1537542241,2,1
1537545847,2,2
1537549452,3,0
1537553042,2,1
1537556598,2,0
1537560231,4,1
1537563850,5,1
1537567476,1,5
1537571051,2,1
1537574672,4,0
1537578272,3,5
1537581862,2,0
1537585468,1,2
1537589042,0,1
1537592679,0,2
1537596279,1,0
1537599872,1,3
1537603471,1,0
1537607043,1,0
1537610659,1,1
1537614273,1,1
1537617867,2,1
1537621458,2,3
1537625045,4,2
1537628681,1,1
1537632278,2,0
1537635859,4,1
1537639453,1,0
1537646645,1,0
1537650285,1,0
1537653869,2,1
1537657451,1,1
1537661074,1,0
1537664674,0,3
1537668275,1,1
1537671853,2,2
1537675485,2,1
1537679039,1,1
1537682652,1,1
1537689859,0,2
1537693444,2,1
1537697054,1,2
1537700652,2,0
1537704252,1,1
1537707856,3,3
1537711456,1,7
1537722250,2,1
1537725845,1,2
1537729451,0,4
1537733042,1,3
1537736663,2,2
