DateTime,AddedIPs,RemovedIPs
1537283559,45,45
1537287157,41,80
1537290761,55,87
1537294365,37,67
1537297966,40,67
1537301567,77,40
1537305168,71,38
1537308766,52,58
1537312365,34,71
1537315965,31,41
1537319563,29,75
1537323155,56,55
1537326765,57,49
1537330351,19,69
1537333957,60,78
1537337539,21,61
1537341155,30,52
1537344755,65,49
1537348353,67,37
1537351960,56,70
1537355553,39,62
1537359164,57,31
1537362750,61,71
1537366358,44,39
1537369953,40,86
1537373555,48,67
1537377142,80,57
1537380752,50,88
1537384348,49,54
1537387945,61,39
1537391543,64,50
1537395156,83,39
1537398754,81,50
1537402350,30,50
1537405957,196,59
1537409568,186,59
1537413174,98,46
1537416767,52,82
1537420378,65,82
1537423940,59,111
1537427561,39,81
1537431164,64,45
1537434767,85,34
1537438371,93,32
1537441968,64,56
1537445573,63,44
1537449171,64,40
1537452772,38,53
1537456359,47,41
1537459973,94,85
1537463571,34,88
1537467170,102,78
1537470762,38,72
1537474369,29,37
1537477977,73,72
1537481576,66,37
1537485174,68,50
1537488783,167,46
1537492393,91,32
1537495981,59,58
1537499574,50,41
1537503185,58,36
1537506777,40,70
1537510378,49,73
1537513967,37,67
1537517584,32,52
1537521174,58,50
1537524777,56,57
1537528378,69,56
1537531971,43,64
1537535566,44,56
1537539176,33,59
1537542761,40,45
1537546375,52,50
1537549970,47,85
1537553566,62,60
1537557169,38,90
1537560769,36,55
1537564366,56,54
1537567975,79,49
1537571577,114,47
1537575171,46,62
1537578773,85,43
1537582376,32,46
1537585978,45,47
1537589571,60,38
1537593173,59,41
1537596792,28,78
1537600372,61,104
1537603972,35,55
1537607573,31,55
1537611174,75,33
1537614776,97,44
1537618375,100,47
1537621979,127,66
1537625581,70,36
1537629180,46,83
1537632779,57,83
1537636382,64,67
1537639968,47,73
1537643575,71,105
1537647172,54,76
1537650780,85,47
1537654381,60,43
1537657974,59,37
1537661581,96,84
1537665177,42,49
1537668778,49,42
1537672375,42,57
1537675976,56,56
1537679570,49,62
1537683176,43,60
1537686771,47,59
1537690369,33,71
1537693967,39,40
1537697559,29,81
1537701168,79,39
1537704769,82,38
1537708368,41,55
1537711964,41,64
1537715568,27,59
1537719165,45,72
1537722768,66,38
1537726363,38,40
1537729974,110,90
1537733573,114,79
1537737170,49,57
1537740767,51,36
1537744371,68,39
1537747964,65,39
1537751571,63,61
1537755171,41,49
1537758770,40,27
1537762374,47,60
1537765974,49,73
1537769570,51,52
1537773177,34,69
1537776769,60,84
1537780370,58,61
1537783975,60,73
1537787577,59,41
1537791176,53,33
1537794778,70,56
1537798360,43,54
1537801981,32,36
1537805569,42,62
1537809176,67,55
1537812774,118,39
1537816373,55,59
1537819972,69,57
1537823572,56,73
1537827171,40,67
1537830766,63,62
1537834375,60,49
1537837967,81,74
1537841574,49,53
1537845170,77,92
1537848758,61,58
1537852375,37,48
1537855981,75,38
1537859574,114,41
1537863216,54,89
