DateTime,AddedIPs,RemovedIPs
1537283539,25,26
1537287139,26,57
1537290739,44,64
1537294347,26,42
1537297952,29,56
1537301555,67,27
1537305156,50,22
1537308754,37,47
1537312353,25,42
1537315953,23,27
1537319551,18,51
1537323164,35,43
1537326752,40,34
1537330340,11,58
1537333957,52,57
1537337548,15,40
1537341143,26,49
1537344744,58,41
1537348362,44,28
1537351948,39,59
1537355574,30,49
1537359146,51,21
1537362737,52,48
1537366346,31,21
1537369941,31,73
1537373544,29,52
1537377151,69,36
1537380760,35,63
1537384357,37,42
1537387954,54,36
1537391552,41,35
1537395137,60,31
1537398739,60,44
1537402359,27,22
1537405944,122,49
1537409546,86,32
1537413157,79,33
1537416748,34,65
1537420344,41,59
1537423960,39,90
1537427541,27,68
1537431146,45,34
1537434755,69,34
1537438348,76,23
1537441945,49,46
1537445552,47,23
1537449144,51,29
1537452757,24,37
1537456337,36,32
1537459948,78,73
1537463553,20,67
1537467158,95,60
1537470771,30,46
1537474357,22,26
1537477959,60,62
1537481570,45,23
1537485160,44,45
1537488768,91,36
1537492380,58,18
1537495960,40,52
1537499555,37,33
1537503163,44,30
1537506748,26,63
1537510353,47,46
1537513943,26,50
1537517563,27,35
1537521160,54,37
1537524756,42,39
1537528351,48,38
1537531945,25,39
1537535543,37,33
1537539143,19,52
1537542734,25,35
1537546347,42,33
1537549945,30,65
1537553539,46,47
1537557142,33,76
1537560754,19,40
1537564344,46,49
1537567958,61,36
1537571549,87,28
1537575150,29,50
1537578755,73,23
1537582356,21,33
1537585959,36,42
1537589556,55,27
1537593157,36,35
1537596764,20,70
1537600357,43,89
1537603959,30,42
1537607551,24,43
1537611151,57,26
1537614754,76,28
1537618350,64,39
1537621954,68,47
1537625553,38,29
1537629153,22,69
1537632749,42,78
1537636345,49,35
1537639945,27,56
1537643553,64,77
1537647152,36,46
1537650758,73,33
1537654368,53,36
1537657951,41,20
1537661557,71,56
1537665150,25,43
1537668756,44,31
1537672352,31,54
1537675953,45,42
1537679547,40,51
1537683145,25,52
1537686740,44,40
1537690340,25,53
1537693939,40,31
1537697529,25,71
1537701135,63,18
1537704737,62,35
1537708333,31,51
1537711935,35,36
1537715540,23,47
1537719140,25,45
1537722737,50,35
1537726339,24,26
1537729940,92,65
1537733545,105,64
1537737141,43,37
1537740742,38,30
1537744345,57,27
1537747943,55,19
1537751545,39,50
1537755145,33,26
1537758749,30,19
1537762346,18,43
1537765944,40,71
1537769544,42,40
1537773148,13,58
1537776746,50,59
1537780356,41,45
1537783956,57,42
1537787561,52,33
1537791160,36,14
1537794758,52,45
1537798369,30,40
1537802016,26,17
1537805552,23,50
1537809150,51,40
1537812747,72,37
1537816349,32,45
1537819952,42,37
1537823546,38,50
1537827144,28,58
1537830740,51,48
1537834342,37,39
1537837938,58,65
1537841536,28,46
1537845143,63,69
1537848746,43,39
1537852348,26,35
1537855955,73,32
1537859583,91,29
1537863244,47,73
1537866843,53,74
1537870440,42,34
1537873962,19,30
1537877566,63,33
1537881162,78,16
1537884755,25,47
1537888355,32,17
1537891960,19,16
1537895563,18,49
1537899155,40,30
1537902763,35,30
1537906362,26,65
1537909958,39,47
1537913566,52,34
1537917171,16,24
1537920769,50,30
1537924357,51,22
1537927963,34,36
1537931554,32,35
1537935165,26,11
1537938766,17,51
1537942361,39,21
1537945958,39,24
1537949564,13,58
1537953164,48,47
1537956782,22,39
1537960371,50,32
1537963964,52,53
1537967557,34,52
1537971150,45,33
1537974762,28,30
1537978355,46,26
1537981959,21,41
1537985570,57,35
1537989174,116,36
1537992767,50,47
1537996382,57,39
1537999978,48,54
1538003574,43,53
1538007182,29,38
1538010772,73,34
1538014375,59,43
1538017981,60,56
1538021576,39,24
1538025173,24,40
1538028771,32,45
1538032370,47,29
1538035961,30,45
1538039567,66,68
1538043170,42,72
1538046776,58,52
1538050371,29,44
1538053976,130,58
1538057566,44,22
1538061154,46,37
1538064772,40,84
1538068365,32,16
1538071984,47,108
1538075561,57,36
1538079163,35,22
1538082753,33,61
1538086357,65,52
1538089961,25,45
1538093556,30,32
1538097157,58,48
1538100757,42,32
1538104354,50,41
1538107952,27,34
1538111564,31,35
1538115156,22,53
1538118760,30,27
1538122358,34,37
1538125958,26,48
1538129563,89,47
1538133155,79,51
1538136758,41,30
1538140361,55,34
1538143962,42,23
1538147564,65,31
1538151161,40,51
1538154759,35,31
1538158363,25,43
1538161958,21,41
1538165570,54,32
1538169158,22,50
1538172756,42,57
1538176358,101,83
1538179971,104,30
1538183572,64,72
1538187176,125,23
1538190777,74,36
1538194377,37,57
1538197967,45,35
1538201586,33,27
1538205171,30,42
1538208764,39,38
1538212371,50,20
1538215968,22,54
1538219567,50,78
1538223169,35,36
1538226767,21,31
1538230361,49,34
1538233958,59,14
1538237572,35,49
1538241172,32,51
1538244779,27,27
1538248375,19,64
1538251973,47,29
1538255576,54,75
1538259195,83,49
1538262783,45,40
1538266390,58,69
1538269976,55,31
1538273577,89,39
1538277190,34,38
1538280798,45,43
1538284383,35,47
1538287997,36,26
1538291589,23,44
1538295188,27,30
1538298784,50,36
1538302375,26,28
1538305984,36,67
1538309578,53,60
1538313187,37,30
1538316769,27,30
1538320375,64,25
1538323977,55,27
1538327572,26,54
1538331171,31,23
1538334773,24,28
1538338369,23,44
1538341976,41,35
1538345574,17,33
1538349168,23,57
1538352772,45,52
1538356369,20,40
1538359970,20,26
1538363577,82,38
1538367177,48,17
1538370772,37,49
1538374376,33,44
1538377966,27,22
1538381569,14,53
1538385169,38,46
1538388780,36,54
1538392368,11,63
1538395967,41,33
1538399573,27,55
1538403160,41,33
1538406759,71,32
1538410364,39,38
1538413970,46,43
1538417592,32,66
1538421190,24,27
1538424789,20,51
1538428391,61,34
1538431985,49,33
1538435589,20,55
1538439185,45,41
1538442776,30,61
1538446367,37,32
1538449961,42,62
1538453572,36,45
1538457166,52,32
1538460759,33,72
1538464355,27,95
1538467963,25,58
1538471569,23,58
1538475153,51,51
1538478753,30,25
1538482368,40,65
1538485952,36,87
1538489577,25,27
1538493149,66,30
1538496756,71,24
1538500351,67,25
1538503956,31,39
1538507567,31,36
1538511170,36,24
1538514773,19,42
1538518375,41,47
1538521972,41,17
1538525567,31,54
1538529167,47,55
1538532761,28,29
1538536363,21,32
1538539957,58,29
1538543560,54,17
1538547158,37,38
1538550747,27,43
1538554350,22,19
1538557948,16,54
1538561550,35,23
1538565141,38,53
1538568754,87,50
1538572357,76,36
1538575955,33,43
1538579530,42,28
1538583160,58,50
1538586759,42,19
1538590353,38,33
1538593941,28,54
1538597549,27,34
1538601151,21,59
1538604752,29,41
1538608355,46,36
1538611953,22,31
1538615551,45,72
1538619145,32,60
1538622743,28,60
1538626345,46,40
1538629942,40,42
1538633550,46,28
1538637147,27,51
1538640739,21,37
1538644349,56,72
1538647952,32,47
1538651547,42,65
1538655142,27,27
1538658743,41,118
1538662342,40,42
1538665941,18,53
1538669552,44,38
1538673171,67,32
1538676743,91,51
1538680350,29,55
1538683947,49,39
1538687565,31,24
1538691152,28,62
1538694751,41,29
1538698361,36,32
1538701946,33,58
1538705551,43,36
1538709162,31,50
1538712763,21,31
1538716352,72,39
1538719962,47,24
1538723561,44,35
1538727161,30,39
1538730759,29,23
1538734348,17,44
1538737947,40,37
1538741549,36,38
1538745160,14,56
1538748749,43,52
1538752354,48,64
1538755955,54,46
1538759564,49,40
1538763161,44,31
1538766755,48,30
1538770358,27,50
1538773955,19,26
1538777553,19,50
1538781133,32,79
1538784748,30,46
1538788341,25,45
1538791938,49,121
1538795564,61,71
1538799136,38,49
1538802750,47,54
1538806347,34,40
1538809937,78,31
1538813540,28,45
1538817153,28,56
1538820755,16,34
1538824354,33,55
1538827957,63,46
1538831564,30,30
1538835162,48,54
1538838755,24,66
1538842354,24,40
1538845935,24,28
1538849538,62,35
1538853144,72,29
1538856745,29,56
1538860335,42,58
1538863932,27,99
1538867530,38,56
1538871133,73,85
1538874731,18,59
1538878325,19,105
1538881926,71,55
1538885529,28,60
1538889133,21,48
1538892740,62,46
1538896327,48,40
1538899924,32,41
1538903520,36,62
1538907123,26,48
1538910715,13,56
1538914315,37,66
1538917910,37,56
1538921520,16,58
1538925130,45,82
1538928707,28,82
1538932313,37,54
1538935919,48,56
1538939510,39,69
1538943106,44,61
1538946714,36,78
1538950309,15,48
1538953908,22,23
1538957509,37,39
1538961101,34,30
1538964712,24,25
1538968304,47,77
1538971914,26,53
1538975511,31,47
1538979112,49,36
1538982711,41,23
1538986316,46,19
1538989915,39,39
1538993515,38,40
1538997104,85,14
1539000712,60,48
1539004310,55,36
1539007914,28,42
1539011495,37,85
1539015110,28,42
1539018706,30,52
1539022307,20,30
1539025910,69,26
1539029519,49,24
1539033108,28,68
1539036710,23,53
1539040307,24,18
1539043902,24,48
1539047506,40,28
1539051106,33,41
1539054704,41,43
1539058298,28,40
1539061895,44,67
1539065500,34,38
1539069094,52,30
1539072697,73,38
1539076296,25,27
1539079899,26,47
