DateTime,AddedIPs,RemovedIPs
1537352162,132,119
1537354084,63,50
1537357922,88,59
1537361763,76,66
1537363683,66,76
1537365610,132,125
1537367523,65,98
1537373523,85,74
1537375444,94,76
1537379522,98,88
1537383363,91,89
1537385522,103,88
1537389363,91,95
1537393203,91,101
1537397044,61,119
1537398964,119,61
1537400883,122,191
1537404723,56,81
1537406642,67,57
1537410484,90,88
1537416242,144,173
1537422002,88,71
1537423923,84,52
1537429682,80,66
1537433763,77,75
1537437613,70,63
1537439524,68,62
1537441443,62,68
1537443362,111,94
1537447202,84,63
1537451044,74,68
1537454882,80,66
1537458723,92,85
1537462562,77,76
1537466415,88,84
1537468322,104,89
1537472162,94,82
1537476004,89,107
1537479843,78,107
1537483682,69,121
1537487522,86,94
1537491362,54,82
1537495219,63,77
1537497604,75,96
1537501444,81,108
1537503362,108,81
1537505282,145,178
1537509122,91,56
1537512967,96,73
1537516808,79,66
1537518722,66,57
1537520642,0,33
1537522562,96,60
1537526644,80,62
1537530482,72,59
1537532415,68,62
1537538163,74,65
1537542017,81,77
1537543923,77,85
1537548722,91,70
1537552563,98,72
1537556413,78,84
1537558323,86,77
1537562163,86,89
1537566002,53,89
1537571763,55,116
1537573684,85,107
1537577763,67,68
1537581842,60,66
1537583763,69,89
1537587602,77,98
1537591444,63,80
1537595283,83,65
1537599123,73,50
1537602962,78,60
1537606815,88,67
1537608723,76,55
1537612562,92,69
1537616402,86,66
1537620244,71,69
1537624082,84,78
1537626002,81,79
1537631763,79,81
1537633682,141,127
1537635613,71,72
1537639442,147,132
1537645203,89,96
1537649044,75,84
1537650963,67,96
1537656722,52,115
1537660562,100,90
1537664410,50,85
1537668243,68,67
1537670163,78,97
1537674002,82,87
1537677844,62,84
1537681682,74,57
1537685522,79,51
1537691283,67,49
1537695122,153,88
1537698962,96,57
1537702802,79,92
1537706643,74,64
1537710482,73,59
1537714322,100,69
1537718162,90,93
1537720084,132,160
1537722010,192,162
1537723922,114,77
1537727762,64,84
1537731602,88,99
1537735682,88,97
1537739522,97,88
1537741442,137,182
1537745284,57,131
1537747210,92,90
1537749123,49,76
1537752962,63,72
1537756803,68,102
1537760643,88,103
1537764483,103,88
1537766402,150,171
1537768323,90,56
1537772163,91,69
1537776014,94,72
1537777923,75,65
1537781762,77,56
1537785602,77,76
1537789445,53,61
1537793282,77,63
1537797122,98,57
1537800963,69,72
1537804809,74,77
1537806722,91,61
1537810803,113,103
1537814644,103,85
1537818722,93,93
1537822563,95,107
1537824485,73,111
1537828322,64,130
1537830242,85,91
1537836002,57,102
1537839843,73,68
1537843685,73,88
1537847522,83,98
1537851363,72,90
1537855214,101,77
1537857123,85,52
1537860962,84,65
1537864803,85,62
1537866722,73,74
1537870803,71,47
1537876563,68,56
1537878723,74,64
1537882802,88,74
1537886646,64,68
1537890963,78,71
1537894815,97,76
1537896722,109,69
1537900562,91,83
1537904402,97,91
1537906322,74,103
1537912082,71,120
1537915923,48,135
1537917842,96,82
1537923616,64,79
1537925522,63,77
1537929363,79,105
1537933202,78,101
1537937043,85,85
1537938962,85,64
1537940882,64,85
1537942803,85,64
1537944723,73,55
1537948562,74,65
1537950482,82,55
1537956242,74,62
1537958162,76,56
1537960083,71,58
1537966083,80,76
1537970163,101,51
1537974016,84,81
1537975923,78,83
1537979762,89,75
1537981682,86,99
1537987444,109,87
1537991282,87,88
1537995122,91,111
1538000883,129,209
1538004722,97,101
1538008563,62,98
1538012883,69,66
1538014803,65,90
1538020563,93,108
1538024412,65,82
1538026323,93,68
1538028242,84,53
1538034745,80,71
1538038563,82,66
1538042416,63,66
1538044323,72,55
1538048162,68,58
1538052002,78,71
1538055844,69,71
1538059682,69,70
1538063523,89,69
1538067362,94,74
1538069523,105,84
1538073602,105,70
1538077443,94,95
1538081285,79,121
1538085122,93,108
1538087042,61,116
1538092814,98,91
1538095203,52,93
1538099044,53,68
1538102882,74,93
1538104803,96,122
1538110563,71,82
1538112483,85,68
1538116322,74,52
1538120162,80,74
1538124004,73,77
1538127843,67,58
1538131923,57,45
1538137922,71,69
1538139842,78,71
1538141762,89,82
1538145602,80,68
1538149443,89,87
1538153282,69,76
1538157122,97,74
1538160962,100,72
1538164814,76,84
1538166723,96,94
1538170562,84,91
1538174403,63,120
1538178243,76,95
1538182082,52,64
1538185922,55,67
1538187842,66,97
1538193614,88,106
1538195523,72,96
1538199362,74,59
1538203204,79,49
1538207045,86,48
1538208962,48,86
1538210882,148,87
1538214722,77,77
1538216642,85,65
1538222411,68,80
1538224323,83,72
1538228162,88,61
1538230083,87,89
1538235843,87,78
1538239682,92,59
1538243521,84,78
1538247362,94,83
1538251443,94,77
1538255282,57,93
1538257202,72,92
1538261045,73,111
1538264882,100,101
1538268723,51,91
1538270642,69,79
1538276416,67,91
1538278322,91,97
1538282162,66,86
1538287922,92,57
1538289843,59,46
1538293684,46,59
1538295603,120,101
1538297527,88,52
1538301363,91,66
1538307363,137,107
1538311203,73,83
1538315044,84,67
1538318882,79,67
1538322722,100,65
1538324642,93,98
1538330418,95,91
1538332322,85,92
1538338083,99,93
1538340003,86,107
1538343843,80,104
1538349603,61,119
1538351522,138,110
1538355362,62,94
1538359213,105,66
1538361123,70,89
1538364962,91,111
1538368803,99,81
1538372884,107,75
1538376723,83,73
1538378643,63,65
1538384416,81,56
1538388242,92,55
1538390162,55,92
1538392082,127,96
1538394003,79,80
1538398082,77,64
1538401922,72,70
1538403842,79,69
1538407922,89,80
1538412002,100,76
1538415848,100,71
1538419686,111,81
1538423523,98,103
1538429523,138,185
1538433363,59,135
1538435283,90,115
1538441044,60,91
1538444882,86,69
1538448722,68,103
1538452563,91,120
1538456414,84,83
1538460242,93,78
1538462162,86,69
1538466244,83,69
1538470322,90,80
1538474162,69,68
1538476083,74,77
1538479922,101,54
1538484003,88,74
1538485923,82,70
1538489763,94,87
1538497442,83,74
1538499363,84,96
1538503218,118,73
1538505123,89,91
1538508963,118,92
1538512802,93,105
1538516882,66,111
1538522642,68,134
1538524562,100,102
1538528410,62,101
1538530322,78,79
1538534402,78,87
1538538243,74,93
1538542083,99,97
1538546162,104,76
1538550018,64,73
1538551922,79,64
1538553842,101,61
1538555762,61,101
1538557683,101,61
1538559606,72,73
1538563445,73,56
1538565363,70,78
1538569453,77,68
1538575205,81,61
1538577123,92,78
1538580963,79,73
1538584802,111,75
1538588643,95,84
1538592482,89,78
1538596562,86,84
1538602322,117,171
1538606162,72,132
1538610002,79,113
1538613845,60,89
1538617922,86,61
1538621763,84,90
1538627523,85,109
1538629442,82,90
1538631604,90,82
1538633763,167,139
1538635682,78,71
1538641442,63,68
1538643362,93,53
1538647216,61,57
1538651043,73,69
1538652963,87,59
1538657044,70,79
1538660882,72,79
1538664722,83,66
1538668562,77,76
1538670482,93,77
1538674322,96,1292
1538676242,1312,78
1538682003,92,77
1538685843,96,100
1538689682,79,129
1538693522,76,124
1538697843,101,115
1538699762,56,85
1538703844,75,81
1538707683,82,103
1538711522,86,106
1538715362,83,71
1538717283,109,55
1538721122,78,70
1538723042,74,80
1538728803,97,83
1538730962,83,97
1538732883,152,103
1538734803,65,65
1538738642,79,68
1538744413,81,66
1538746323,74,109
1538750402,90,77
1538754243,99,73
1538758322,87,104
1538762163,96,81
1538764084,108,65
1538767922,94,98
1538771762,89,97
1538775602,72,111
1538781362,74,116
1538783283,86,109
1538787122,52,88
1538790963,79,74
1538794816,72,97
1538796723,87,106
1538800562,85,87
1538802483,81,72
1538806323,77,51
1538812084,85,67
1538814003,92,71
1538819763,94,67
1538823615,111,63
1538825523,86,76
1538829362,79,94
1538833443,100,73
1538837282,66,61
1538841123,89,89
1538844963,84,93
1538848818,92,72
1538850724,71,1791
1538852642,1722,0
1538854562,108,74
1538858403,78,112
1538860322,83,106
1538862244,106,83
1538864163,108,167
1538869922,80,99
1538874015,52,89
1538875922,74,79
1538880002,71,92
1538883843,83,100
1538887682,75,78
1538891522,83,77
1538895363,65,57
1538899215,79,58
1538903042,79,56
1538904963,94,63
1538908802,101,61
1538912644,108,82
1538916482,99,80
1538920322,81,88
1538922242,75,80
1538928017,98,70
1538929922,105,87
1538933762,87,95
1538937844,109,83
1538941682,87,97
1538943602,74,113
1538945522,113,74
1538947442,97,193
1538953214,50,113
1538955123,108,101
1538957042,50,76
1538963762,71,66
1538967618,80,101
1538969523,90,108
1538971442,79,98
1538977202,93,78
1538981043,82,57
1538984882,83,54
1538988722,86,77
1538992562,74,53
1538996447,59,72
1538998322,72,74
1539002163,84,61
1539006005,74,62
1539007922,86,84
1539013682,95,71
1539017522,84,80
1539021362,102,81
1539023282,449,566
1539025219,593,454
1539027122,107,94
1539029043,94,107
1539030962,107,94
1539033363,83,114
1539035283,84,92
1539039123,61,130
1539042963,97,120
1539044882,120,97
1539046818,128,168
1539048723,82,82
1539052562,96,106
1539056403,85,98
1539062164,80,95
1539064083,82,80
1539068162,90,62
1539072242,88,62
1539074164,102,80
1539078002,68,75
1539079923,60,79
