DateTime,AddedIPs,RemovedIPs
1538642133,2,0
1538643333,1,0
1538643937,2,0
1538644529,2,0
1538645136,1,0
1538645727,2,0
1538646632,1,0
1538646935,4,0
1538647537,1,0
1538648134,2,0
1538649634,1,0
1538650526,3,0
1538651433,2,0
1538651728,7,0
1538652335,2,0
1538652929,4,0
1538653529,3,0
1538654726,2,0
1538655927,3,0
1538657729,1,0
1538658932,5,0
1538660427,1,0
1538660733,2,0
1538661330,2,0
1538662230,4,0
1538663730,1,0
1538665230,3,0
1538667029,4,0
1538667333,1,0
1538667930,2,0
1538670913,5,0
1538672713,3,0
1538673913,1,0
1538674814,2,0
1538676614,1,0
1538676913,4,0
1538679014,2,0
1538680513,2,0
1538681416,1,0
1538682313,1,0
1538682913,53,0
1538683217,29,0
1538684414,3,0
1538686213,76,0
1538686513,16,0
1538687713,2,0
1538688614,15,0
1538689213,1,0
1538690113,49,0
1538691313,14,0
1538693413,1,0
1538696113,48,0
1538696414,37,0
1538697313,27,0
1538698514,38,0
1538699414,2,0
1538699713,1,0
1538700314,8,0
1538701514,10,0
1538702715,2,0
1538703313,39,0
1538703613,11,0
1538704213,8,0
1538705112,3,0
1538706914,7,0
1538708113,1,0
1538709312,1,0
1538709913,41,0
1538710513,17,0
1538711413,10,0
1538712313,2,0
1538712914,1,0
1538714115,36,0
1538715913,2,0
1538717713,2,0
1538718912,1,0
1538722514,18,0
1538723113,24,0
1538723714,2,0
1538724913,27,0
1538725513,38,0
1538725814,9,0
1538726715,16,0
1538728515,3,0
1538730914,1,0
1538731815,22,0
1538735713,1,0
1538737515,2,0
1538738413,0,1
1538739615,1,0
1538739914,9,0
1538741114,9,0
1538742015,5,0
1538742914,38,0
1538743215,5,0
1538746813,27,0
1538747116,1,0
1538748314,4,0
1538748913,1,0
1538749816,2,0
1538750713,8,0
1538751314,1,0
1538752213,1,0
1538752814,29,0
1538753714,6,0
1538754615,3,0
1538754914,7,0
1538756113,7,0
1538757313,4,0
1538758215,1,0
1538758815,1,0
1538759113,1,0
1538759713,1,0
1538760616,1,0
1538760916,9,0
1538761513,1,0
1538764216,1,0
1538764814,240,0
1538765414,445,0
1538766015,158,0
1538766316,1,0
1538767214,93,0
1538768414,2,0
1538768713,3,0
1538769313,1,0
1538770517,6,0
1538772614,14,0
1538774113,2,0
1538775915,1,0
1538776513,3,0
1538778313,18,0
1538778615,239,0
1538778914,240,0
1538779213,234,0
1538779815,401,0
1538780415,438,0
1538780714,205,0
1538781314,407,0
1538781614,199,0
1538782213,419,0
1538782513,223,0
1538782814,213,0
1538783114,221,0
1538783713,435,0
1538784313,421,0
1538784615,210,0
1538785213,365,0
1538785515,216,0
1538786113,394,8
1538786413,211,10
1538787016,413,7
1538787614,385,13
1538787913,202,7
1538788513,396,8
1538789114,422,0
1538789415,194,0
1538790014,420,0
1538790313,201,0
1538790913,406,0
1538791215,209,0
1538791814,404,0
1538792115,203,0
1538792414,195,0
1538792713,208,0
1538793312,405,0
1538793615,211,0
1538794213,410,0
1538794814,413,0
1538795113,202,0
1538795713,409,0
1538796014,205,0
1538796615,429,0
1538797213,435,0
1538797513,219,0
1538798113,435,0
1538798414,221,0
1538799013,437,0
1538799613,438,0
1538799914,211,0
1538800513,394,0
1538800813,216,0
1538801414,430,0
1538801714,221,0
1538802015,179,0
1538802313,200,0
1538802913,418,0
1538803213,210,0
1538803815,425,0
1538804413,69,0
1538804714,13,0
1538806213,272,0
1538806814,320,0
1538807116,167,0
1538807713,327,0
1538808014,155,0
1538808615,320,0
1538809215,310,0
1538809513,149,0
1538810115,321,0
1538810413,159,0
1538811016,316,0
1538811614,304,0
1538811913,158,0
1538812513,305,0
1538812815,162,0
1538813413,342,0
1538814014,284,0
1538815813,26,0
1538817313,1,0
1538818215,9,0
1538818814,1,0
1538819113,1,0
1538821513,28,0
1538822113,2,0
1538823314,28,0
1538824514,1,0
1538825415,2,0
1538826013,3,0
1538826915,20,0
1538828414,3,0
1538828713,25,0
1538829313,21,0
1538830214,2,0
1538830514,2,0
1538831713,4,0
1538832913,58,0
1538834414,26,0
1538835313,1,0
1538836214,4,0
1538837114,13,0
1538837415,258,0
1538837713,175,0
1538838016,1,0
1538839514,17,0
1538841014,0,1
1538841313,0,2
1538841615,1,0
1538841914,1,0
1538842513,26,0
1538844315,1,0
1538845514,5,0
1538846413,8,0
1538847313,1,0
1538848214,5,0
1538849113,1,0
1538850013,1,0
1538850613,6,0
1538851214,2,0
1538851513,6,0
1538852113,3,0
1538852713,389,0
1538853013,216,0
1538853614,432,0
1538853913,219,0
1538854513,448,0
1538854814,215,0
1538855414,424,2
1538856016,428,0
1538856314,227,0
1538856913,430,0
1538857216,1,0
1538857815,12,0
1538858714,1,0
1538859313,1,0
1538860213,1,0
1538860814,11,0
1538861114,3,0
1538861714,2,0
1538863217,2,0
1538864113,1,0
1538865013,3,0
1538865314,1,0
1538865913,3,0
1538866513,2,0
1538867113,40,0
1538867413,3,0
1538868014,2,0
1538868314,1,0
1538869215,1,0
1538869813,2,0
1538870115,3,0
1538871313,3,0
1538871615,1,0
1538872213,8,0
1538872814,4,0
1538873114,2,0
1538873415,2,0
1538874014,5,0
1538874614,3,0
1538875214,2,0
1538875516,2,0
1538876114,2,0
1538876415,1,0
1538877014,5,0
1538877615,9,0
1538877913,2,0
1538878513,7,0
1538879414,1,0
1538879714,1,0
1538881813,2,0
1538883313,3,0
1538884214,5,0
1538885113,2,0
1538887514,1,0
1538889013,32,0
1538890513,4,0
1538892313,9,0
1538892913,8,0
1538893813,3,0
1538894414,4,0
1538894714,13,0
1538895313,3,0
1538897115,3,0
1538897713,1,0
1538898615,1,0
1538898913,1,0
1538899514,1,0
1538900113,1,0
1538900714,3,0
1538901313,4,0
1538901913,42,0
1538902513,25,0
1538903714,2,0
1538904313,7,0
1538904913,15,0
1538905513,4,0
1538906113,8,0
1538908514,42,0
1538908813,10,0
1538910313,4,0
1538910914,1,0
1538912113,1,0
1538914513,4,0
1538916013,10,0
1538916314,2,0
1538917814,1,0
1538918414,1,0
1538918713,3,0
1538920815,2,0
1538921713,4,0
1538922913,1,0
1538924114,2,0
1538924714,3,0
1538925915,1,0
1538927713,5,0
1538928014,3,0
1538929213,1,0
1538929814,4,0
1538930414,1,0
1538930713,1,0
1538931313,7,0
1538932214,1,0
1538932513,1,0
1538935214,1,0
1538936113,1,0
1538937015,1,0
1538937914,3,0
1538938214,2,0
1538938814,7,0
1538939114,2,0
1538941514,2,0
1538941813,1,0
1538942113,8,0
1538944814,1,0
1538945414,3,0
1538946014,5,0
1538946315,11,0
1538948413,16,0
1538949617,1,0
1538950513,10,0
1538951713,2,0
1538952313,3,0
1538953514,2,0
1538954113,2,0
1538954714,3,0
1538955016,1,0
1538955913,1,0
1538956513,11,0
1538956816,1,0
1538957413,43,0
1538958013,4,0
1538959213,103,0
1538959514,1,0
1538960415,27,0
1538960714,4,0
1538961313,8,0
1538962214,4,0
1538964313,4,0
1538964913,2,0
1538966113,1,0
1538967314,2,0
1538967913,1,0
1538971814,1,0
1538973314,38,0
1538973614,66,0
1538975115,1,0
1538978113,1,0
1538980513,3,0
1538982314,21,0
1538984413,8,0
1538986213,32,0
1538987414,0,1
1538988014,1,0
1538989214,5,0
1538990113,2,0
1538991013,13,0
1538991613,1,0
1538993413,5,0
1538994014,1,0
1538994313,14,0
1538995813,1,0
1538996414,14,0
1538996713,1,0
1538998216,0,1
1538998814,21,2
1539000615,4,1
1539000913,5,0
1539001513,1,0
1539002113,2,0
1539003314,1,0
1539004213,5,0
1539005714,2,0
1539006914,2,0
1539008113,1,0
1539008414,1,0
1539009014,39,0
1539009614,3,0
1539011113,32,0
1539011713,5,0
1539012914,14,0
1539014113,34,0
1539014714,34,0
1539015314,2,0
1539017114,4,0
1539019514,1,0
1539021014,34,0
1539021914,29,0
1539022513,1,0
1539024913,187,0
1539025215,223,0
1539025513,226,0
1539026113,428,0
1539026415,230,0
1539027015,455,0
1539027315,211,0
1539027614,216,0
1539027916,82,0
1539028215,181,0
1539028513,171,0
1539028816,42,0
1539029714,24,0
1539030914,1,2
1539031214,0,3
1539031813,1,15
1539032113,0,11
1539032713,1,18
1539033313,0,5
1539033614,0,7
1539033914,0,5
1539034514,0,9
1539034815,0,9
1539035115,0,5
1539035713,0,6
1539036016,0,2
1539036913,3,0
1539037514,1,0
1539038114,1,0
1539039014,2,0
1539039615,2,0
1539040214,0,1
1539042015,1,0
1539042314,1,0
1539043514,3,0
1539044717,1,0
1539045615,1,0
1539046215,3,0
1539046816,48,0
1539047414,5,0
1539047715,1,0
1539048316,1,0
1539049214,3,0
1539051913,11,0
1539054015,5,0
1539054313,29,0
1539054915,1,0
1539057315,18,0
1539058214,1,0
1539058814,1,0
1539059114,14,0
1539059715,9,0
1539061217,3,0
1539063314,8,0
1539064514,8,0
1539066914,1,0
1539070513,8,0
1539071115,1,0
1539072615,3,0
1539073515,7,0
1539075314,1,0
1539078018,1,0
