DateTime,AddedIPs,RemovedIPs
1538699768,3,6
1538700011,192,234
1538700992,224,300
1538701202,182,0
1538701705,7,7
1538701932,202,184
1538702901,214,257
1538703865,230,278
1538704845,181,295
1538705794,354,272
1538706745,176,205
1538707721,190,202
1538708689,332,147
1538709625,212,197
1538710583,200,163
1538711545,189,225
1538712002,146,0
1538712514,219,251
1538713473,240,227
1538714417,234,223
1538715380,212,280
1538715602,136,0
1538716346,200,208
1538717312,212,243
1538718275,187,194
1538719244,201,10
1538720185,415,217
1538721145,309,446
1538722099,199,190
1538723082,321,196
1538724257,242,205
1538724966,6,13
1538725212,198,185
1538726193,231,191
1538726402,123,0
1538726906,4,9
1538727135,212,194
1538728098,216,180
1538728811,8,10
1538729077,176,208
1538729768,26,36
1538730024,218,200
1538730990,331,230
1538731938,244,216
1538732897,230,197
1538733873,329,201
1538734828,201,214
1538735780,178,254
1538736744,224,240
1538737202,473,0
1538737716,202,227
1538738658,253,231
1538739615,219,186
1538740583,203,189
1538740802,146,0
1538741560,231,165
1538742514,205,10
1538743476,337,363
1538744441,242,220
1538745396,710,177
1538746346,245,178
1538747294,247,0
1538748279,442,407
1538749458,221,208
1538750419,244,190
1538751379,246,207
1538751603,107,0
1538752340,282,235
1538753295,246,199
1538754282,297,231
1538755229,252,206
1538756188,403,185
1538757144,249,184
1538758339,305,184
1538759324,426,192
1538760278,377,192
1538761212,360,201
1538762183,288,180
1538762403,68,0
1538763413,273,191
1538764107,8,7
1538764582,220,184
1538765539,206,189
1538766043,5,9
1538766502,427,176
1538767455,239,205
1538767963,2,4
1538768433,219,357
1538769410,232,189
1538769863,375,3
1538770355,177,180
1538771298,221,222
1538772254,213,0
1538773220,201,187
1538773701,70,8
1538774200,181,354
1538775141,227,0
1538775634,2,4
1538776095,230,196
1538777082,272,385
1538777554,3,8
1538778019,210,167
1538778996,184,192
1538779459,11,4
1538779967,187,165
1538780421,32,0
1538780939,231,152
1538781390,7,4
1538781877,175,217
1538782813,164,170
1538783318,7,4
1538783773,201,0
1538784256,127,2511
1538784756,213,173
1538785225,9,1
1538785715,236,189
1538786676,205,185
1538787151,8,4
1538787645,179,222
1538788091,90,24
1538788584,204,199
1538789103,8,6
1538789536,216,202
1538790494,201,206
1538791013,7,4
1538791461,291,203
1538792411,216,175
1538792918,7,5
1538793399,212,154
1538794358,176,162
1538794839,4,2
1538795323,269,169
1538796271,179,208
1538796741,5,2
1538797236,210,167
1538798198,232,174
1538798661,60,0
1538799158,203,208
1538800092,215,200
1538800600,5,7
1538801057,205,221
1538802019,188,182
1538802983,297,188
1538803944,222,180
1538804559,11,16
1538804898,171,188
1538805862,277,164
1538806831,189,282
1538807798,199,264
1538808759,198,213
1538809202,107,0
1538809699,189,182
1538810660,199,212
1538811615,257,185
1538812596,296,195
1538812802,207,0
1538813538,203,180
1538814498,179,213
1538815481,202,167
1538816441,33,199
