DateTime,AddedIPs,RemovedIPs
1538766026,0,112
1538766205,2,3
1538766724,9,0
1538767325,2,0
1538767924,96,0
1538768524,4,0
1538769123,5,0
1538769804,8,0
1538771763,81,171
1538772124,2,0
1538772725,2,0
1538774524,4,0
1538775125,3,0
1538775602,72,0
1538775724,4,0
1538776324,5,1
1538776942,6,1
1538778124,1,0
1538779445,2,101
1538779925,3,0
1538780547,1,0
1538781363,76,113
1538781725,4,0
1538783283,105,0
1538783524,4,0
1538784145,1,3
1538784725,14,0
1538785323,4,0
1538785924,1,0
1538786525,1,0
1538787123,116,187
1538787745,5,1
1538788326,5,0
1538788924,6,0
1538790124,4,1
1538790963,83,0
1538791347,0,1
1538792524,12,0
1538793123,6,0
1538793723,2,0
1538794324,1,0
1538794816,68,9
1538795004,3,1
1538795763,5,151
1538796124,6,0
1538796725,87,1
1538797324,5,0
1538797924,13,0
1538798544,14,1
1538799125,1,0
1538799723,11,0
1538800562,86,13
1538800924,0,1
1538802484,81,162
1538802723,1,0
1538803324,5,0
1538803925,1,0
1538804523,3,0
1538805123,23,0
1538805745,31,0
1538806323,73,9
1538806924,21,1
1538807523,1,0
1538808245,31,67
1538808724,7,0
1538809323,11,0
1538809347,1,2
1538809924,3,0
1538810523,2,0
1538811124,5,0
1538812085,95,45
1538812323,8,0
1538813003,32,1
1538813525,4,0
1538814003,81,22
1538814123,120,0
1538814724,15,0
1538815323,3,0
1538815923,0,97
1538816546,8,3
1538817124,14,0
1538817723,24,0
1538818923,28,0
1538819763,98,0
1538820203,7,3
1538821324,24,0
1538821683,0,63
1538822524,16,0
1538823615,106,0
1538823724,5,1
1538823807,0,2
1538824324,7,0
1538824924,2,0
1538825523,76,24
1538826485,11,101
1538826723,21,0
1538827405,7,2
1538828523,13,1
1538829362,87,0
1538829724,4,3
1538831008,9,1
1538831526,10,0
1538832123,7,0
1538832723,3,0
1538833443,98,18
1538833923,11,0
1538834524,7,0
1538834603,0,1
1538835363,7,130
1538835725,13,0
1538836923,5,0
1538837282,66,0
1538838144,10,2
1538838723,8,0
1538839323,1,0
1538839923,6,0
1538840526,9,0
1538841123,78,10
1538841805,17,1
1538842325,11,0
1538843043,9,125
1538843523,2,0
1538844123,4,0
1538844963,88,0
1538845404,4,1
1538845923,2,0
1538846523,2,0
1538847123,5,0
1538847723,8,0
1538848823,80,79
1538848946,5,1
1538849525,6,0
1538850124,5,0
1538850724,62,31
1538851324,17,0
1538851923,7,0
1538852643,41,135
1538853723,10,0
1538854562,116,0
1538854923,11,0
1538855523,5,0
1538856148,4,1
1538856723,3,0
1538857324,2,1
1538857924,7,0
1538858403,73,28
1538858524,6,0
1538859124,1,0
1538859804,5,0
1538860324,63,128
1538860923,6,0
1538861524,8,0
1538862244,5,80
1538863347,5,5
1538864163,113,0
1538864524,5,0
1538865723,7,0
1538866945,2,0
1538868006,0,164
1538868124,3,0
1538868723,3,0
1538869323,9,0
1538869922,77,0
1538870552,2,0
1538871125,11,0
1538871724,8,0
1538872323,12,0
1538872923,9,0
1538873523,5,0
1538874015,48,11
1538874123,7,0
1538875205,13,93
1538875324,4,0
1538875924,65,8
1538876523,3,0
1538877123,2,0
1538877809,9,0
1538878324,5,0
1538879042,2,148
1538880002,70,0
1538880123,10,0
1538880724,5,1
1538881405,28,1
1538881925,1,0
1538882523,20,0
1538883843,78,11
1538884948,5,1
1538885763,2,169
1538886124,7,0
1538886723,6,0
1538887324,5,0
1538887682,74,0
1538887923,6,0
1538888546,3,0
1538889723,5,0
1538890923,6,0
1538891523,82,145
1538892147,3,1
1538892724,5,0
1538893323,8,0
1538893924,5,0
1538894523,3,0
1538895363,71,0
1538895743,5,1
1538896324,2,0
1538896923,7,0
1538897284,0,56
1538897524,1,0
1538898124,6,0
1538899215,76,0
1538899406,1,2
1538899924,4,0
1538900523,3,0
1538901724,4,1
1538902323,9,0
1538903042,73,13
1538904003,0,88
1538904123,5,0
1538904963,94,1
1538905324,4,0
1538906525,5,0
1538907123,4,0
1538907723,5,0
1538908323,5,0
1538908802,96,19
1538908923,7,0
1538909762,0,99
1538910209,1,1
1538911323,4,0
1538911923,9,0
1538912644,114,0
1538913810,4,1
1538914563,6,80
1538914924,12,0
1538915523,5,0
1538916123,4,0
1538916482,98,0
1538916723,4,0
1538917409,3,5
1538918525,1,0
1538919123,3,0
1538919723,3,0
1538920323,71,64
1538920924,3,0
1538920948,0,1
1538921523,7,0
1538922242,63,20
1538923324,7,0
1538923924,5,0
1538924548,4,3
1538925723,3,0
1538926083,0,127
1538926324,4,0
1538926923,4,0
1538928017,97,0
1538928151,7,1
1538928723,9,0
1538929323,3,0
1538929922,88,24
1538930523,3,0
1538931124,5,1
1538931747,3,1
1538932804,0,115
1538932924,8,1
1538933762,86,0
1538934125,20,0
1538935323,8,0
1538935408,0,1
1538936643,4,91
1538937844,109,0
1538938323,3,0
1538938924,4,0
1538939524,4,0
1538940123,22,0
1538940723,8,0
1538941323,5,0
1538941683,72,160
1538941923,2,0
1538942608,4,1
1538943602,70,0
1538943723,12,0
1538944923,4,0
1538945523,4,70
1538946209,8,0
1538947442,95,0
1538947924,3,0
1538948523,3,1
1538949363,20,101
1538949812,3,0
1538951284,7,107
1538951523,5,0
1538952124,5,0
1538952723,4,0
1538953214,48,0
1538953325,3,0
1538953410,0,1
1538955123,98,18
1538956085,21,101
1538956324,12,0
1538957042,45,20
1538957523,2,0
1538958123,2,0
1538958724,37,0
1538959323,35,0
1538959923,9,0
1538960609,3,1
1538961365,1,141
1538961724,12,0
1538962323,3,0
1538962923,1,1
1538963762,65,0
1538964207,45,0
1538965324,2,0
1538965923,2,0
1538966524,1,0
1538967123,3,66
1538967618,79,0
1538967806,6,3
1538968323,1,1
1538968924,2,0
1538969523,83,17
1538970124,5,0
1538970724,4,0
1538971442,72,22
1538972525,3,0
1538972883,21,175
1538973723,21,0
1538974324,11,0
1538974923,13,0
1538975762,20,95
1538976125,8,0
1538977202,90,0
1538977323,3,0
1538977923,5,0
1538978550,12,2
1538979723,5,0
1538981043,75,9
1538981524,3,0
1538981762,0,111
1538982125,12,0
1538982147,0,2
1538982724,2,0
1538983323,15,1
1538983923,7,0
1538984523,1,0
1538984882,80,0
1538985123,8,0
1538985746,6,0
1538986924,5,0
1538988123,3,2
1538988484,0,52
1538988723,88,0
1538989324,12,0
1538989408,0,3
1538989924,7,2
1538990523,4,0
1538991124,6,0
1538991723,3,0
1538992563,77,115
1538992947,4,5
1538994123,13,0
1538994723,19,0
1538995324,5,0
1538995922,4,0
1538996447,55,0
1538996610,7,1
1538997123,7,0
1538997724,13,0
1538998323,60,58
1538998923,21,0
1538999524,5,0
1539000145,6,0
1539001323,2,1
1539002164,64,47
