DateTime,AddedIPs,RemovedIPs
1537901045,1,0
1537901702,1,0
1537902964,2,4
1537906803,1,1
1537908726,1,0
1537910102,1,4
1537913702,4,7
1537914488,256,256
1537916411,1,0
1537917302,5,6
1537920902,6,2
1537922402,256,256
1537924345,12,1
1537928102,4,9
1537931764,3,25
1537935604,2,13
1537938904,10,2
1537942504,5,5
1537946107,2,10
1537947903,1,0
1537949705,4,2
1537952883,0,1
1537953304,4,2
1537954802,1,0
1537956903,5,5
1537958885,0,1
1537960807,4,4
1537963956,3,2
1537964644,1024,1024
1537966565,2,0
1537967703,2051,160770
1537968724,256,256
1537970647,2,0
1537971375,3,6
1537974485,3,0
1537974903,4,1
1537976408,1,0
1537977640,1,0
1537978325,3,0
1537978502,3,4
1537982166,5,5
1537984084,0,1
1537986008,6,3
1537986902,256,256
1537989174,3,5
1537989844,257,256
1537992767,1,3
1537996503,6,4
1537997523,1,0
1538000104,2,2
1538003704,4,8
1538007123,1,0
1538007189,6,2
1538010968,18,3
1538014809,4,0
1538018102,5,5
1538021702,2,21
1538025302,3,4
1538028902,5,3
1538032569,2,6
1538036103,6,1
1538036643,1,0
1538037001,0,1
1538039703,2,2
1538043303,3,15
1538046246,7,0
1538046756,7,3
1538048164,1,0
1538050085,4,1
1538050503,4,4
1538051433,1,1
1538052003,1,0
1538052302,1,0
1538053202,256,28160
1538054102,7,1
1538057765,5,5
1538061605,6,3
1538064902,4,6
1538067365,1,0
1538068504,3,3
1538069525,1,0
1538072102,2,2
1538073036,768,768
1538075525,1,0
1538075703,0,6
1538079365,0,3
1538082904,2,3
1538086504,3,1
1538087444,256,256
1538090102,2,4
1538093704,24,2
1538095208,512,512
1538097304,6,3
1538100964,9,9
1538104353,4,20
1538108103,12,7
1538111702,1,4
1538115303,257,267
1538118902,3,5
1538122380,1,3
1538126102,3,2
1538129766,3,1
1538133302,6,3
1538136903,6,4
1538139603,5632,30464
1538140503,6,3
1538144103,6,3
1538145037,1,1
1538147525,2,0
1538147703,7,4
1538149444,1024,1024
1538151366,1,3
1538154903,3,8
1538155207,1,0
1538157124,3,0
1538158503,4,11
1538159408,256,256
1538162102,4,8
1538165529,7,2
1538168646,1,0
1538169170,4,3
1538172904,1,2
1538173839,256,256
1538174407,1,0
1538176504,5,6
1538180165,20,3
1538183704,7,0
1538187115,1,4
1538190903,6,15
1538195527,4,5
1538198102,5,9
1538201702,8,4
1538205303,1,7
1538207049,1,1
1538208302,1,0
1538208965,3,3
1538212504,2,2
1538212809,2,0
1538214725,1025,131072
1538216103,3,5
1538216644,1,0
1538218566,1,0
1538219702,4,7
1538222426,1,0
1538223303,6,9
1538225702,3072,28672
1538226903,6,6
1538227831,256,256
1538228702,1,0
1538230502,2,4
1538232004,256,256
1538234102,10,6
1538235340,256,256
1538237402,256,256
1538237764,2,3
1538239202,512,512
1538241302,1,5
1538244033,256,256
1538244903,12,3
1538246102,256,256
1538248302,1,4
1538251947,2,3
1538253602,512,512
1538255702,5,0
1538257503,256,256
1538259302,2,9
1538260502,256,256
1538262965,8,9
1538266331,8,6
1538267857,512,512
1538270103,23,3
1538273702,0,1
1538277093,2,15
1538280761,4,17
1538284503,4,1
1538287252,256,256
1538288102,1,0
1538289917,256,256
1538291766,1,4
1538294702,256,256
1538295611,2,0
1538298761,65538,3
1538302503,2,3
1538306102,4,3
1538309703,6,2
1538312402,256,4096
1538313125,256,256
1538313305,2,2
1538316967,2,3
1538320807,3,4
1538324106,3,2
1538327575,2,4
1538328002,256,256
1538331179,1,1
1538334729,260,258
1538336402,256,256
1538338090,256,256
1538338506,1,5
1538340005,256,256
1538340809,256,256
1538341961,2,4
1538344245,256,256
1538345768,1,3
1538347685,1,0
1538348417,256,256
1538349605,3,3
1538350502,1024,1024
1538352903,8,2
1538356502,24,1
1538360402,9,1
1538363705,4,4
1538367602,0,16
