DateTime,Entries,UniqueIPs
1538606703,29099,44364
1538607366,29147,44412
1538608115,29501,44777
1538609448,29472,44750
1538610017,29477,44757
1538611937,29515,44795
1538612112,29532,44818
1538613869,29554,44841
1538616025,29622,44913
1538616491,29688,44980
1538617932,29688,44980
1538619304,29642,44932
1538619856,29730,45020
1538620516,29693,44979
1538621789,29702,44989
1538622316,29684,44967
1538622902,29713,44996
1538623691,29720,45005
1538624109,29690,44974
1538625637,29684,44969
1538626507,29712,45000
1538627539,29726,45015
1538628135,29682,44967
1538629603,29689,44975
1538630103,29683,44969
1538631002,29759,45046
1538631615,29766,45053
1538632839,29670,44953
1538633786,29678,44963
1538634487,29776,45064
1538635695,29789,45077
1538637613,29631,44910
1538638246,29566,44845
1538639537,29564,44842
1538640081,29586,44861
1538641457,29644,44920
1538642526,29594,44870
1538643386,29579,44856
1538643906,29567,44844
1538645292,29578,44857
1538645559,29539,44816
1538646126,29570,44847
1538647245,28755,43994
1538648107,28701,43940
1538649136,28705,43944
1538649904,28740,43980
1538651064,29043,44287
1538651106,29052,44294
1538651920,29097,44340
1538652982,29107,44350
1538654910,29122,44366
1538656091,28997,44231
1538657070,29020,44254
1538657411,28933,44164
1538658981,28944,44174
1538659803,29021,44252
1538660893,29028,44259
1538661631,28927,44155
1538662139,28944,44174
1538662810,28950,44178
1538663713,28982,44211
1538664732,28988,44218
1538664966,29081,44312
1538666128,29081,44567
1538666653,29090,44575
1538667027,29065,44297
1538668581,28971,44205
1538669702,28976,43956
1538670491,28984,43963
1538670627,28961,44194
1538671503,28990,44224
1538672434,29032,44268
1538674341,29046,44281
1538675103,29007,44243
1538675766,29029,44266
1538676271,29037,44273
1538676993,28974,44203
1538678182,29037,44267
1538680111,29054,44284
1538680511,28980,44209
1538682015,29041,44278
1538682303,28995,44229
1538682966,29070,44305
1538683939,29076,44315
1538684891,29095,44334
1538685033,29105,44089
1538685868,29100,44084
1538686566,29136,44113
1538687784,29138,44116
1538688608,29246,44225
1538689695,29248,44229
1538690435,29254,44237
1538691614,29257,44241
1538692237,29312,44043
1538693538,29307,44040
1538693767,29312,44044
1538695466,29636,44374
1538695803,29638,44378
1538697882,29680,44419
1538699404,29725,44211
1538699769,29729,44215
1538701245,29688,44176
1538701706,29696,44184
1538702104,29738,44224
1538703861,29747,44234
1538704112,29793,44280
1538705792,29790,44280
1538706645,29755,44246
1538707712,29736,44230
1538709616,29746,44240
1538709907,29813,44310
1538711541,29821,44319
1538712042,29822,44320
1538713471,29825,44323
1538713803,29866,44366
1538715371,29864,44364
1538715627,29860,44360
1538717308,29864,44367
1538717443,29911,44417
1538719242,29908,44420
1538721141,29917,44430
1538721294,29917,44426
1538723072,29924,44433
1538723707,29994,44510
1538724649,30025,44542
1538724966,30029,44546
1538725504,30068,44590
1538726907,30141,44668
1538728812,30179,44707
1538729150,30138,44665
1538730987,30106,44629
1538731207,30189,44715
1538732894,30184,44710
1538733648,30208,44734
1538734824,29258,43747
1538735208,29251,43741
1538736739,29219,43705
1538736861,29234,43719
1538738653,29636,44138
1538739004,29691,44196
1538739905,29573,44076
1538740577,29589,44092
1538742510,29598,44098
1538742821,29572,44073
1538744438,29586,44087
1538744630,28986,43418
1538746343,29117,43550
1538748276,29118,43540
1538749845,29005,43380
1538750415,28992,43368
1538752337,29020,43377
1538752764,28985,44293
1538754273,28995,44302
1538754967,28950,44237
1538756185,28959,44245
1538757003,28980,44266
1538757607,28961,44251
1538758336,28957,44248
1538759114,28925,44212
1538760275,28941,44227
1538760761,28904,44186
1538762172,28901,44184
1538763305,28981,44266
1538764108,28928,44213
1538764114,28967,44252
1538766044,28900,44185
1538766307,28867,44149
1538767964,28863,44145
1538768703,28883,44169
1538769864,28875,44162
1538771800,28885,44171
1538772303,28881,44168
1538773702,28925,44213
1538774894,28999,44287
1538775636,28997,44287
1538776837,28968,44256
1538777556,28962,44249
1538778489,28967,44255
1538779460,28967,44001
1538780107,28887,43916
1538781391,29253,44300
1538782239,29293,44335
1538783320,29182,44226
1538783766,29225,44273
1538785226,29224,44272
1538785845,29077,44380
1538787152,29094,44403
1538788503,29067,44375
1538789105,29067,44376
1538789712,29083,44400
1538791014,29088,44403
1538792920,29091,44406
1538793616,29127,44448
1538794840,29186,44510
1538796742,29200,44523
1538798663,29207,44529
1538799313,29139,44465
1538800602,29145,44469
1538801103,29122,44446
1538802524,29122,44443
1538802903,29143,44467
1538802909,29144,44465
1538803803,29185,44506
1538804561,29168,44489
1538805367,29135,44457
1538806828,29126,44449
1538807441,29089,44411
1538808756,29057,44377
1538810104,29049,44372
1538810654,29067,44396
1538812593,29022,44350
1538813710,29005,44333
1538814495,28999,44327
1538814641,29036,44364
1538816435,28999,44326
1538818333,29002,44331
1538818859,28965,44294
1538820257,28163,43464
1538822201,28136,43441
1538822534,28011,43311
1538823370,28057,43358
1538824095,28435,43741
1538825410,28394,43701
1538826013,28410,43716
1538827252,28278,43591
1538827938,28288,43603
1538828896,28390,43712
1538829869,28401,43723
1538830567,28395,43727
1538831777,28404,43737
1538832602,28373,43707
1538832907,28305,43639
1538833951,28309,43643
1538835342,28295,43634
1538835866,28304,43642
1538836242,28298,43632
1538836607,28284,43622
1538837771,28298,43639
1538838164,28263,43598
1538838910,28266,43091
1538839689,28270,43096
1538839808,28245,43076
1538841619,28249,43080
1538841651,28218,43053
1538843549,28288,42869
1538844303,28221,42804
1538845458,28234,42818
1538846046,28251,42835
